                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 42 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-1025.569
                ,+ 8 factors in 7 blocks,  AIC                ,2519.139
                ,+ AR(1) idiosyncratic  ,  BIC                ,2947.041
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2679.433
Time:           ,00:20:15               ,  EM Iterations      ,295
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.02   ,-0.07   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.51                   ,0.71
Cases2          ,0.06    ,0.17    ,.       ,-0.15   ,.    ,.          ,.         ,.        ,0.13                   ,0.72
Cases3          ,-0.03   ,-0.02   ,.       ,-0.41   ,.    ,.          ,.         ,.        ,0.66                   ,0.00
Cases4          ,0.17    ,-0.04   ,.       ,-0.25   ,.    ,.          ,.         ,.        ,0.60                   ,0.24
Cases5          ,-0.01   ,-0.01   ,.       ,-0.41   ,.    ,.          ,.         ,.        ,0.85                   ,0.07
Hosp1           ,-0.09   ,-0.01   ,.       ,-0.36   ,.    ,.          ,.         ,.        ,0.62                   ,0.03
Hosp2           ,0.10    ,-0.03   ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.63                   ,0.12
Deaths1         ,-0.07   ,-0.19   ,.       ,0.18    ,.    ,.          ,.         ,.        ,-0.08                  ,0.67
Deaths2         ,-0.08   ,-0.18   ,.       ,0.18    ,.    ,.          ,.         ,.        ,-0.14                  ,0.67
Deaths3         ,-0.09   ,-0.22   ,.       ,0.13    ,.    ,.          ,.         ,.        ,0.38                   ,0.20
Deaths4         ,-0.09   ,-0.23   ,.       ,0.01    ,.    ,.          ,.         ,.        ,0.11                   ,0.33
Deaths5         ,-0.07   ,-0.23   ,.       ,0.11    ,.    ,.          ,.         ,.        ,0.19                   ,0.24
Vax1            ,-0.21   ,0.17    ,-0.04   ,.       ,.    ,.          ,.         ,.        ,0.60                   ,0.00
Vax3            ,-0.24   ,0.14    ,0.05    ,.       ,.    ,.          ,.         ,.        ,0.73                   ,0.00
Gather1         ,-0.25   ,0.12    ,0.09    ,.       ,.    ,.          ,.         ,.        ,0.79                   ,0.00
Gather2         ,-0.26   ,0.07    ,0.15    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.01
Gather3         ,-0.25   ,0.05    ,0.13    ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.04
Gather4         ,-0.24   ,0.05    ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.14
Curfew          ,0.20    ,0.04    ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.34                   ,0.19
Mask1           ,0.20    ,0.05    ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.39                   ,0.18
Mask2           ,0.20    ,0.06    ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.40                   ,0.17
School          ,0.14    ,0.03    ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.36
