Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2019-03-01,-2.1452945686292355,4.5210138689506145,-5.0039239510925375,1.737538488990136,0.11973862367492633,0.3854091579549434,-0.9258109205215278,0.40649951752328856,69995.61415531373,5404.0,40940.90074285244,4595.177398280383,8211.67182917135,28133.98298657749,12806.849227451734,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,210.1839742148881,12.16808899,93.508,62.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,,DE,2019-03-01
2019-04-01,-2.5039021889756783,3.0896080584121375,-4.804021614701602,2.0745693065986868,0.837785647937153,0.9977042294121665,-0.4866784988845425,0.04589846744769033,70279.46802696302,4270.0,40921.38823100746,4591.668184854554,8194.388777555108,28135.27054108216,12786.056962409635,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,210.50234359628345,12.24564511,93.508,62.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,,DE,2019-04-01
2019-05-01,-1.5475760596676635,3.2320015475925654,-4.398920765916362,0.8489531216917752,1.6018133873954568,0.3175645325810786,-0.3322549346862141,0.08797496706058236,70729.22735217011,3873.0,40999.17164287796,4599.081221477817,8196.639236819108,28203.39808476551,12795.720458296952,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,211.32141667273524,12.32336019,93.508,62.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,,DE,2019-05-01
2019-06-01,-1.0516522650581246,2.4718328449157356,-3.8148384609956345,1.0195844110813952,1.5914332267332734,0.06638128226742303,-0.19829635410622692,0.05113024034474745,71176.42243143676,4714.0,41075.72656569791,4606.358302633375,8198.662846227317,28270.65993541638,12805.021148860693,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,212.13534825123932,12.40123424,93.508,62.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,,DE,2019-06-01
2019-07-01,-1.0031774451927762,1.8815938676373438,-3.584454538596672,1.534994220360889,1.30671322634115,0.28161599239238966,-0.08923880743459939,0.01829040416699989,71502.564475206,5260.0,41122.26824350101,4610.272433859547,8194.724508147583,28317.233455047503,12804.996942007105,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,212.63774556288263,12.44972615,93.508,62.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,,DE,2019-07-01
2019-08-01,-0.4284110597063302,1.7260076655689898,-3.179905358915389,0.9996344364030779,1.683927513668979,-0.16891052853447594,-0.04958761951342756,0.017100210341020074,71906.68167895498,5239.0,41213.906948026,4619.244785045827,8199.796607707114,28394.83528856281,12819.041392752968,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,213.3736143900047,12.49826317,93.508,62.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,,DE,2019-08-01
2019-09-01,-0.48530231612433666,1.345716710591578,-3.0864582582915436,1.2463162111041883,1.4313322156775647,0.02162459658096363,0.032354511410782806,-0.005279928475314716,72286.24316059779,3735.0,41291.61487019881,4626.65710889508,8202.11057373851,28462.82450298076,12828.767682633592,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,214.03784106272744,12.54684528,93.508,61.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,,DE,2019-09-01
2019-10-01,-0.33315517737562766,0.6974213040896085,-2.687140501771052,2.0760809032911625,1.198210242680842,0.029112972572096434,0.038569983311920825,-0.038172473772849866,72314.16160280621,3784.0,41316.3924182462,4628.142083925749,8193.945102016789,28494.29013882977,12822.087185942511,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,214.3356763536582,12.53443826,93.508,61.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,,DE,2019-10-01
2019-11-01,0.005134518108670605,0.6846429304774442,-2.470923547193038,1.2274272165224624,1.4634727944663,-0.14550818871504634,0.07536995365317076,-0.03552529973647398,72453.29760687008,4362.0,41404.6927192244,4636.7457537106975,8198.40860331858,28569.53081860069,12835.154357029303,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,214.9627964406304,12.52202822,93.508,61.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,,DE,2019-11-01
2019-12-01,-0.049155568694644214,0.5170159129496397,-2.442417738736031,2.4287522848559218,1.3291455128185312,-0.13918116082261875,0.11739352373976251,-0.04576863158980168,72447.44256610316,4836.0,41410.11053315995,4636.071376968645,8186.497615951451,28587.541540239847,12822.568992920098,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,215.1592857787892,12.50961517,93.508,61.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,,DE,2019-12-01
2020-01-01,0.39594699466518346,0.7231698804556368,-2.472516426637971,2.0140473528732965,1.7993235228287865,0.04434120261198593,0.11785398580884712,-0.028670249687814488,71818.4249110662,5702.0,41243.908338140594,4635.131237381021,8185.15797759831,28423.6266344582,12820.28921497936,158543.0,152098.0,113.5356958,113.008,110.944,1.53,1.56,1.53,1.56,1.76,2.22,215.0402435462936,12.44777802,98.485,61.1,3.7,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5645303,1.55,0.0,0.0,0.0,0.0,0.0,0.0,DE,2020-01-01
2020-02-01,0.5092746652609752,0.6388762885052159,-2.360533082474875,1.6081869893580623,1.8464358433999792,-0.967131046249732,0.17070780690761816,-0.03203018605233935,71244.32039854748,5921.0,41108.65520242487,4637.615917889619,8189.865250142549,28281.18903994481,12827.481168032142,158749.0,152371.0,113.6783385,113.206,111.07,1.58,1.51,1.41,1.32,1.5,1.97,215.0764812280544,12.38609394,98.485,60.8,3.7,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6962248,1.58,0.0,0.0,0.0,0.0,0.0,0.0,DE,2020-02-01
2020-03-01,8.357105527243785,4.84011069982132,1.0585600605688876,0.26942387226722847,-8.083488074321014,2.300642053515776,-0.7487706957428639,-1.715765799011224,70908.73817945571,5296.0,41111.24395437812,4655.67025193099,8222.068324550639,28233.52793618711,12877.73857648163,155451.0,150944.0,113.3087842,113.143,110.824,0.37,0.3,0.33,0.59,0.87,1.46,215.830854598282,12.32456292,98.485,61.4,5.0,0.0,0.0,0.0,345.0,343.0,11.0,11.0,319.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,113.3450395,0.65,600.0,598.0,36.0,36.0,0.0,0.0,DE,2020-03-01
