                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 45 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-1117.735
                ,+ 8 factors in 7 blocks,  AIC                ,2733.469
                ,+ AR(1) idiosyncratic  ,  BIC                ,3188.801
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2904.039
Time:           ,00:21:04               ,  EM Iterations      ,256
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.07   ,-0.08   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.46                   ,0.68
Cases2          ,0.09    ,0.20    ,.       ,-0.19   ,.    ,.          ,.         ,.        ,-0.12                  ,0.59
Cases3          ,-0.05   ,-0.01   ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.81                   ,0.05
Cases4          ,0.12    ,-0.09   ,.       ,-0.31   ,.    ,.          ,.         ,.        ,0.59                   ,0.09
Cases5          ,0.00    ,-0.03   ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.43                   ,0.00
Hosp1           ,-0.10   ,0.02    ,.       ,-0.33   ,.    ,.          ,.         ,.        ,0.79                   ,0.11
Hosp2           ,0.06    ,-0.06   ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.57                   ,0.02
Deaths1         ,-0.10   ,-0.21   ,.       ,0.19    ,.    ,.          ,.         ,.        ,-0.16                  ,0.51
Deaths2         ,-0.11   ,-0.20   ,.       ,0.18    ,.    ,.          ,.         ,.        ,-0.20                  ,0.51
Deaths3         ,-0.11   ,-0.20   ,.       ,0.01    ,.    ,.          ,.         ,.        ,0.25                   ,0.31
Deaths4         ,-0.12   ,-0.20   ,.       ,-0.08   ,.    ,.          ,.         ,.        ,-0.05                  ,0.35
Deaths5         ,-0.10   ,-0.20   ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.02                   ,0.35
Vax1            ,-0.20   ,0.18    ,-0.18   ,.       ,.    ,.          ,.         ,.        ,0.68                   ,0.02
Vax3            ,-0.23   ,0.17    ,-0.09   ,.       ,.    ,.          ,.         ,.        ,0.65                   ,0.00
Gather1         ,-0.24   ,0.16    ,-0.05   ,.       ,.    ,.          ,.         ,.        ,0.58                   ,0.00
Gather2         ,-0.25   ,0.11    ,0.01    ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.04
Gather3         ,-0.25   ,0.09    ,-0.03   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.08
Gather4         ,-0.24   ,0.09    ,-0.08   ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.14
Curfew          ,0.20    ,-0.02   ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.67                   ,0.00
Mask1           ,0.19    ,-0.01   ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.87                   ,0.00
Mask2           ,0.20    ,-0.01   ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.80                   ,0.00
School          ,0.14    ,-0.01   ,-0.14   ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.37
ARP             ,0.21    ,0.04    ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.64                   ,0.32
PPP             ,0.01    ,-0.05   ,-0.02   ,.       ,.    ,.          ,.         ,.        ,-0.07                  ,0.95
CARES           ,0.12    ,0.18    ,0.22    ,.       ,.    ,.          ,.         ,.        ,-0.19                  ,0.55
Cons1           ,0.06    ,0.14    ,.       ,.       ,.    ,-0.10      ,.         ,.        ,-0.26                  ,0.92
Cons2           ,0.20    ,0.03    ,.       ,.       ,.    ,0.36       ,.         ,.        ,0.13                   ,0.00
