Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2019-03-01,-2.7146698178164828,3.811705955397929,-5.81975547044824,2.4773929576119884,-2.9832555389126667,-2.7183811375535254,-1.348697251461303,0.11827475486950531,526501.6492603455,71612.0,340578.52032564895,31516.611386749264,63810.545215317565,245251.2951947589,95327.22513089006,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,1620.6548669170252,93.82386419,108.473,67.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,,MA,2019-03-01
2019-04-01,-2.5576814002892956,2.924167822267973,-5.3841979173187005,2.2334883345222476,-2.518825983694363,-1.503368940607994,-0.9500484110221001,0.04434960445822225,527462.7436691565,55760.0,340446.80269630166,31471.397340134816,63785.17641343295,245190.1682152186,95256.63448108306,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,1620.308107123337,94.25889375,108.473,67.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,,MA,2019-04-01
2019-05-01,-2.1477871047982244,2.4849699809117185,-5.041085980077278,0.5576606403412353,-2.728915090795467,-1.442607056286335,-0.8005603421625561,0.018937645947854333,529673.3906204486,45612.0,341124.4265219924,31501.124198951355,63911.44619623262,245711.8030269926,95412.62349499982,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,1623.807507100204,94.69350101,108.473,67.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,,MA,2019-05-01
2019-06-01,-1.6955436563856887,1.6985015362692208,-4.341473020346258,0.4597540035848782,-2.8160991358949645,-1.0533594796379888,-0.6173561495202794,-0.01843481327237719,531866.466548415,45276.0,341791.7860553964,31529.949515622862,64035.79387820076,246225.9971801519,95565.78887524446,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,1627.2529321872014,95.12768597,108.473,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,,MA,2019-06-01
2019-07-01,-1.4529147356785765,1.2753629968637963,-3.9957084277464,0.8996353770711633,-2.864992029938339,-0.8750718528092456,-0.512354213142575,-0.035470622518516036,533879.2910300897,51811.0,342209.33929187787,31535.801224408235,64113.34102373126,246560.15919729232,95649.18009458554,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,1629.5733573128418,95.40988123,108.473,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,,MA,2019-07-01
2019-08-01,-1.0836221691904377,0.8909810391116544,-3.570219499892958,0.1726628688531628,-3.0954613561993383,-0.6395312538622848,-0.37308498698027087,-0.050592960704229285,536475.0783907792,51736.0,343002.12472305953,31576.290269857986,64261.18960277966,247164.61458371137,95837.51013934823,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,1633.6757491010785,95.69181967,108.473,66.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,,MA,2019-08-01
2019-09-01,-1.0146514321767688,0.6084067794604708,-3.385886190399269,0.3539466536957584,-3.014955571973522,-0.5551666205727819,-0.3336810281036517,-0.06228428805703511,538888.0924079233,40243.0,343678.94053916726,31606.13663378915,64387.31205821772,247685.46916257587,95993.47137659132,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,1637.221193753573,95.97350126,108.473,66.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,,MA,2019-09-01
2019-10-01,-0.7276290822580194,0.10799170594413932,-2.8708805415199,1.1759039481012732,-3.0765835787418805,-0.3341084988883731,-0.2190727447028022,-0.08762331011793456,539572.2811370819,39314.0,343915.1263776568,31595.54621772638,64430.8854737389,247888.679592718,96026.44678493885,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,1639.2377539099643,95.86329611,108.473,66.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,,MA,2019-10-01
2019-11-01,-0.4898115325128707,-0.035386179769077764,-2.6512200659707665,0.18543918412836122,-3.2865850051394276,-0.2038623199374326,-0.13008354584062504,-0.0887949590471307,541085.191320642,41396.0,344680.0007241851,31633.60309227023,64573.507801585336,248472.8822867348,96207.11843745034,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,1643.7716092297387,95.75310155,108.473,66.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,,MA,2019-11-01
2019-12-01,-0.44739487365157693,-0.1349793598056892,-2.573952651595255,1.4835389905305632,-3.2807048268893744,-0.16620580491898737,-0.10949886924723432,-0.08996958307470862,541513.9611327843,50407.0,344754.8222800173,31608.4200260078,64586.85522323362,248559.5470307759,96195.27524924144,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,1645.0115815994795,95.6429176,108.473,66.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,,MA,2019-12-01
