                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-763.936
                ,+ 8 factors in 7 blocks,  AIC                ,2035.872
                ,+ AR(1) idiosyncratic  ,  BIC                ,2500.347
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2209.867
Time:           ,00:22:04               ,  EM Iterations      ,326
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.07   ,-0.07   ,.       ,-0.09   ,.    ,.          ,.         ,.        ,0.45                   ,0.68
Cases2          ,0.17    ,0.17    ,.       ,0.05    ,.    ,.          ,.         ,.        ,-0.07                  ,0.22
Cases3          ,-0.03   ,0.08    ,.       ,-0.41   ,.    ,.          ,.         ,.        ,0.70                   ,0.03
Cases4          ,0.09    ,-0.05   ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.41                   ,0.05
Cases5          ,0.03    ,0.07    ,.       ,-0.42   ,.    ,.          ,.         ,.        ,-0.08                  ,0.01
Hosp1           ,-0.06   ,0.10    ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.69                   ,0.06
Hosp2           ,0.06    ,0.02    ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.39                   ,0.01
Deaths1         ,-0.18   ,-0.18   ,.       ,0.04    ,.    ,.          ,.         ,.        ,-0.27                  ,0.11
Deaths2         ,-0.19   ,-0.17   ,.       ,0.02    ,.    ,.          ,.         ,.        ,-0.40                  ,0.09
Deaths3         ,-0.15   ,-0.07   ,.       ,0.00    ,.    ,.          ,.         ,.        ,0.48                   ,0.55
Deaths4         ,-0.15   ,-0.06   ,.       ,-0.11   ,.    ,.          ,.         ,.        ,0.27                   ,0.58
Deaths5         ,-0.14   ,-0.07   ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.37                   ,0.64
Vax1            ,-0.14   ,0.15    ,-0.23   ,.       ,.    ,.          ,.         ,.        ,0.69                   ,0.01
Vax3            ,-0.16   ,0.18    ,-0.17   ,.       ,.    ,.          ,.         ,.        ,0.78                   ,0.00
Gather1         ,-0.17   ,0.19    ,-0.14   ,.       ,.    ,.          ,.         ,.        ,0.80                   ,0.00
Gather2         ,-0.18   ,0.18    ,-0.09   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.04
Gather3         ,-0.18   ,0.17    ,-0.12   ,.       ,.    ,.          ,.         ,.        ,0.90                   ,0.07
Gather4         ,-0.18   ,0.15    ,-0.16   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.13
Curfew          ,0.13    ,-0.16   ,-0.20   ,.       ,.    ,.          ,.         ,.        ,0.72                   ,0.00
Mask1           ,0.13    ,-0.15   ,-0.22   ,.       ,.    ,.          ,.         ,.        ,0.79                   ,0.00
Mask2           ,0.13    ,-0.16   ,-0.20   ,.       ,.    ,.          ,.         ,.        ,0.71                   ,0.00
School          ,0.08    ,-0.11   ,-0.17   ,.       ,.    ,.          ,.         ,.        ,0.80                   ,0.40
ARP             ,0.17    ,-0.05   ,0.08    ,.       ,.    ,.          ,.         ,.        ,0.73                   ,0.28
PPP             ,-0.00   ,-0.03   ,0.01    ,.       ,.    ,.          ,.         ,.        ,-0.05                  ,0.98
CARES           ,0.20    ,0.16    ,0.03    ,.       ,.    ,.          ,.         ,.        ,-0.50                  ,0.11
Cons1           ,0.12    ,0.13    ,.       ,.       ,.    ,-0.00      ,.         ,.        ,-0.29                  ,0.60
Cons2           ,0.16    ,-0.07   ,.       ,.       ,.    ,-0.38      ,.         ,.        ,-0.21                  ,0.00
Cons3           ,0.16    ,-0.07   ,.       ,.       ,.    ,-0.38      ,.         ,.        ,-0.21                  ,0.00
Cons4           ,0.20    ,-0.01   ,.       ,.       ,.    ,-0.33      ,.         ,.        ,-0.07                  ,0.12
Cons5           ,0.20    ,-0.01   ,.       ,.       ,.    ,-0.33      ,.         ,.        ,-0.25                  ,0.14
Employment1     ,0.14    ,-0.06   ,.       ,.       ,.    ,.          ,-0.55     ,.        ,-0.06                  ,0.07
Employment2     ,0.19    ,-0.00   ,.       ,.       ,.    ,.          ,-0.48     ,.        ,-0.02                  ,0.04
UI              ,-0.01   ,-0.06   ,.       ,.       ,.    ,.          ,0.17      ,.        ,0.55                   ,0.61
PartR           ,-0.13   ,0.11    ,.       ,.       ,.    ,.          ,-0.10     ,.        ,0.88                   ,0.14
CPI             ,0.14    ,0.13    ,.       ,.       ,.    ,.          ,.         ,-0.05    ,-0.06                  ,0.51
CPIU            ,0.09    ,0.09    ,.       ,.       ,.    ,.          ,.         ,-0.62    ,-0.23                  ,0.35
PCEC            ,0.03    ,-0.03   ,.       ,.       ,.    ,.          ,.         ,0.69     ,0.49                   ,0.26
FixAss          ,0.12    ,0.13    ,.       ,.       ,-0.13,.          ,.         ,.        ,0.03                   ,0.61
Prod            ,0.03    ,-0.00   ,.       ,.       ,0.06 ,.          ,.         ,.        ,-0.05                  ,0.95
GDP             ,-0.15   ,-0.08   ,.       ,.       ,0.19 ,.          ,.         ,.        ,0.36                   ,0.68
TBill1mo        ,-0.14   ,0.15    ,.       ,.       ,-0.19,.          ,.         ,.        ,0.48                   ,0.21
TBill6mo        ,0.05    ,0.02    ,.       ,.       ,0.34 ,.          ,.         ,.        ,0.72                   ,0.16
