Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,299209.4514952989,24240.0,224926.21730032985,23394.84937364656,49654.47767330939,151876.93593925604,73049.25851813273,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,911.9421303326844,52.79466734,101.708,63.7,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,299597.4676625979,17815.0,224653.3977044999,23335.185522560303,49576.182668367,151742.0598773301,72911.30746341163,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,911.8944999089086,53.04803849,101.708,63.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,300695.8199825226,17581.0,224915.34372269156,23331.18658364887,49615.96696281195,151968.20534760688,72947.10044664535,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,914.0118719050394,53.30125877,101.708,63.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,301784.41806522035,21858.0,225170.78273525264,23326.556601628232,49654.341201619136,152189.88493200528,72980.85232182653,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,916.099627052349,53.55432819,101.708,63.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,303056.56984031823,24845.0,225262.0487946664,23304.98634500218,49656.55106848085,152300.49624260448,72961.49956703662,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,918.584270714117,53.78218524,101.708,63.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,304659.40870954853,19012.0,225600.6428649257,23309.059431712216,49713.31372050512,152578.23944599842,73022.34288550711,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,922.0789942977516,54.01036093,101.708,63.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,306158.3202518897,15679.0,225863.14843884693,23305.30274846425,49753.327828540845,152804.4724926729,73058.60789242064,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,925.2658515339316,54.23885526,101.708,64.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,306589.53901512094,17629.0,225836.55579000752,23271.797240309264,49729.70606968955,152834.99210611283,73001.48821652491,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,925.5960216621536,54.12923496,101.708,64.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,307491.5436306412,18491.0,226157.56456562475,23274.18400939024,49782.66904440767,153100.63607588282,73056.8455102035,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,927.3442676225908,54.01972473,101.708,64.1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,307777.3262534316,20110.0,226026.3148388961,23230.11486779367,49736.12917208496,153059.9804941482,72966.24403987861,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,927.2313150195056,53.91032457,101.708,64.1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,113.3889377,1.55,,,,,,
