Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,103658.70818599637,7952.0,86708.4920917738,9339.245086483374,22340.236470126,55028.98769222335,31679.48155660937,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,314.1931545187906,18.18944703,96.814,55.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,103600.3825833485,7085.0,86564.18898402869,9313.536163235562,22294.528450841044,54956.0940061942,31608.064614076604,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,313.5422365640371,18.23982997,96.814,55.9,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,103788.41392368192,8210.0,86626.09082192443,9310.051339935915,22301.960445188884,55014.041108360034,31612.011785124803,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,313.63392632173026,18.28978767,96.814,56.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,103973.347887388,11238.0,86685.54145631508,9306.317369354618,22308.77336607996,55070.40523945968,31615.090735434576,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,313.7121667348888,18.33932014,96.814,56.1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,104395.30461847784,12428.0,86681.8733688182,9295.829018838447,22299.36084921367,55086.63051574109,31595.189868052115,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,314.4651367013643,18.4116175,96.814,56.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,104931.20376759976,9082.0,86773.44762043121,9295.572585624524,22314.46506616306,55163.34943522319,31610.037651787577,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,315.56342997493914,18.48398549,96.814,56.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,105431.32468899435,8370.0,86835.79536690048,9292.19559556108,22322.062119466096,55221.46959811991,31614.25771502718,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,316.555824766122,18.55642412,96.814,56.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,105717.46828106462,7240.0,86787.09749478524,9276.962227072258,22301.13593484446,55208.92386549903,31578.09816191672,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,317.6181362578448,18.57443887,96.814,56.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,106165.62112447838,7101.0,86872.07119946166,9276.04124233948,22314.57844885597,55281.36852872752,31590.61969119545,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,319.1709530275462,18.59236922,96.814,56.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,106400.62852188988,7633.0,86783.4308625921,9256.61031642826,22283.44892356596,55243.28131772864,31540.05923999421,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,320.08663325386505,18.61021517,96.814,56.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
2020-01-01,106166.74478415507,9139.0,86679.47342803577,9306.632174790886,22312.40535765792,55060.35327132003,31619.030021151844,158543.0,152098.0,113.5356958,113.008,110.944,1.53,1.56,1.53,1.56,1.76,2.22,321.8886328237669,18.63278325,99.791,55.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5645303,1.55,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,106011.94441943547,8490.0,86639.8217340416,9363.37444854596,22357.74736652561,54918.62489120977,31721.106809519493,158749.0,152371.0,113.6783385,113.206,111.07,1.58,1.51,1.41,1.32,1.5,1.97,323.93184127127034,18.65499283,99.791,55.8,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6962248,1.58,34.0,30.0,8.0,8.0,0.0,0.0
