                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-926.168
                ,+ 8 factors in 7 blocks,  AIC                ,2370.337
                ,+ AR(1) idiosyncratic  ,  BIC                ,2843.955
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2547.757
Time:           ,00:24:44               ,  EM Iterations      ,310
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.06   ,-0.08   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.42                   ,0.73
Cases2          ,0.12    ,0.22    ,.       ,-0.13   ,.    ,.          ,.         ,.        ,-0.11                  ,0.13
Cases3          ,-0.09   ,0.09    ,.       ,-0.34   ,.    ,.          ,.         ,.        ,0.81                   ,0.02
Cases4          ,0.10    ,-0.05   ,.       ,-0.31   ,.    ,.          ,.         ,.        ,0.59                   ,0.16
Cases5          ,-0.07   ,0.08    ,.       ,-0.36   ,.    ,.          ,.         ,.        ,0.93                   ,0.00
Hosp1           ,-0.12   ,0.11    ,.       ,-0.30   ,.    ,.          ,.         ,.        ,0.76                   ,0.05
Hosp2           ,-0.00   ,0.03    ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.59                   ,0.03
Deaths1         ,-0.13   ,-0.23   ,.       ,0.13    ,.    ,.          ,.         ,.        ,-0.25                  ,0.07
Deaths2         ,-0.14   ,-0.22   ,.       ,0.12    ,.    ,.          ,.         ,.        ,-0.38                  ,0.05
Deaths3         ,-0.11   ,-0.16   ,.       ,-0.08   ,.    ,.          ,.         ,.        ,0.10                   ,0.81
Deaths4         ,-0.12   ,-0.15   ,.       ,-0.15   ,.    ,.          ,.         ,.        ,-0.05                  ,0.67
Deaths5         ,-0.10   ,-0.16   ,.       ,-0.10   ,.    ,.          ,.         ,.        ,-0.03                  ,0.84
Vax1            ,-0.17   ,0.17    ,-0.20   ,.       ,.    ,.          ,.         ,.        ,0.64                   ,0.01
Vax3            ,-0.20   ,0.17    ,-0.13   ,.       ,.    ,.          ,.         ,.        ,0.76                   ,0.00
Gather1         ,-0.21   ,0.17    ,-0.09   ,.       ,.    ,.          ,.         ,.        ,0.78                   ,0.00
Gather2         ,-0.22   ,0.15    ,-0.04   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.05
Gather3         ,-0.22   ,0.13    ,-0.07   ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.10
Gather4         ,-0.21   ,0.12    ,-0.13   ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.17
Curfew          ,0.17    ,-0.09   ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.76                   ,0.00
Mask1           ,0.16    ,-0.08   ,-0.27   ,.       ,.    ,.          ,.         ,.        ,0.80                   ,0.00
Mask2           ,0.17    ,-0.09   ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.74                   ,0.00
School          ,0.12    ,-0.06   ,-0.18   ,.       ,.    ,.          ,.         ,.        ,0.81                   ,0.39
ARP             ,0.21    ,-0.03   ,-0.00   ,.       ,.    ,.          ,.         ,.        ,0.75                   ,0.21
PPP             ,0.01    ,-0.04   ,-0.01   ,.       ,.    ,.          ,.         ,.        ,-0.06                  ,0.97
CARES           ,0.15    ,0.20    ,0.11    ,.       ,.    ,.          ,.         ,.        ,0.05                   ,0.15
Cons1           ,0.07    ,0.15    ,.       ,.       ,.    ,-0.06      ,.         ,.        ,-0.22                  ,0.60
Cons2           ,0.17    ,0.01    ,.       ,.       ,.    ,0.39       ,.         ,.        ,0.13                   ,0.00
Cons3           ,0.17    ,0.02    ,.       ,.       ,.    ,0.38       ,.         ,.        ,0.11                   ,0.00
Cons4           ,0.21    ,0.08    ,.       ,.       ,.    ,0.29       ,.         ,.        ,0.19                   ,0.11
Cons5           ,0.21    ,0.08    ,.       ,.       ,.    ,0.28       ,.         ,.        ,0.05                   ,0.13
