Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,56443.90230530962,11497.0,42789.511435176304,3897.119961989346,8672.368264758823,30219.954679604907,12569.48822674817,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,170.7047189861389,9.88253372,98.824,63.9,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,56379.57733649116,8010.0,42756.39157102086,3891.328110766988,8665.269933807003,30199.73279893122,12556.598044573966,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,170.33319192931316,9.908867436,98.824,63.9,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,56449.44290707836,6951.0,42824.97845664625,3894.8031969123217,8678.785561705023,30251.336598213387,12573.588758617372,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,170.36503886906496,9.934959603,98.824,64.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,56517.66953199617,6632.0,42892.29999545186,3898.167098740165,8692.045299495156,30302.0421157957,12590.21239823532,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,170.38948733342428,9.96081022,98.824,64.1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,56594.90980434901,9074.0,42928.308233570126,3898.6911184987375,8698.960282425318,30330.618986199705,12597.651400924027,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,170.21863943539157,9.96613015,98.824,64.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,56734.19169723604,8487.0,43011.41660310654,3903.497621036574,8715.420283538544,30392.468431821177,12618.917904575144,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,170.2319647332292,9.971260502,98.824,64.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,56854.28330323846,5574.0,43079.99945556998,3906.988666781602,8728.93736332538,30444.05074087853,12635.92603010698,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,170.18497763299973,9.976201277,98.824,64.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,57010.61674952981,5258.0,43093.39237900319,3905.481647845105,8731.272772278719,30456.622865405483,12636.754420123796,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,170.43502413446473,9.967110108,98.824,64.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,57254.31267293693,5960.0,43173.06966962071,3909.9883225158183,8747.039139185355,30516.034664325107,12657.027461701202,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,170.94696484986738,9.958014843,98.824,64.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,57383.05519433607,7794.0,43166.35963011125,3906.678948128883,8745.304146799595,30514.37653518277,12651.983094928475,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,171.11649878991474,9.948915482,98.824,64.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
