Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,1675837.9247644893,117749.0,1037818.6818709282,126446.48355765102,231810.6228813172,679561.5754319599,358257.1064389682,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,5121.744727392341,296.5109299,109.994,63.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,1675656.4948077973,109512.0,1037990.6783263526,126260.73358838858,231609.61316572508,680120.3315722353,357870.3467541145,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,5114.272759154672,297.514831,109.994,63.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,1679456.8344013982,112718.0,1040628.1253034244,126375.65692057511,231959.62593455703,682292.8424482959,358335.28285513126,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,5118.922580468978,298.5136468,109.994,63.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,1683205.9853549823,126919.0,1043233.4561331696,126486.96957292946,232302.81529995,684443.6712602902,358789.7848728794,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,5123.369214535862,299.5073771,109.994,63.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,1687361.466867704,127897.0,1045075.0873496012,126506.1296104538,232476.45951035756,686092.4982287863,358982.5891208122,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,5130.899623049394,300.4090128,109.994,63.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,1693363.3881766151,123896.0,1048061.6290754094,126664.24532984688,232905.21071683703,688492.173028729,359569.456046683,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,5144.041823448226,301.3099282,109.994,63.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,1698790.639433067,115545.0,1050693.2409012134,126779.6737049371,233255.3286088906,690658.2385873856,360035.0023138277,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,5155.431574219424,302.2101232,109.994,63.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,1698951.516743187,113390.0,1051976.2790964474,126732.9119235422,233306.67825845428,691936.6889144471,360039.5901819974,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,5160.389089229599,301.7816703,109.994,63.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,1701726.5175448952,120317.0,1054875.1535121438,126881.28947185817,233716.9401974011,694276.9238428881,360598.2296692584,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,5173.265453656682,301.3534298,109.994,63.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,1701097.475075856,134268.0,1055660.58011848,126776.02586331454,233659.60482589217,695224.9494292731,360435.6306892067,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,5175.770286085825,300.9254017,109.994,63.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
2020-01-01,1682048.5710508637,132435.0,1054219.8241154728,127327.60822276732,234072.6477622341,692819.5681304686,361400.2559850015,158543.0,152098.0,113.5356958,113.008,110.944,1.53,1.56,1.53,1.56,1.76,2.22,5156.2350176665705,298.4728248,111.347,63.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5645303,1.55,1331.0,1264.0,52.0,52.0,0.0,0.0
2020-02-01,1664298.7605413974,126858.0,1053561.702830044,127971.53446775276,234657.25818552892,690932.910176765,362628.7926532817,158749.0,152371.0,113.6783385,113.206,111.07,1.58,1.51,1.41,1.32,1.5,1.97,5140.349136580535,296.0288681,111.347,63.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6962248,1.58,216.0,164.0,48.0,46.0,0.0,0.0
2020-03-01,1652116.2383599223,126549.0,1056439.3317331986,129045.71663177652,236030.1694578792,691363.445643543,365075.88608965575,155451.0,150944.0,113.3087842,113.143,110.824,0.37,0.3,0.33,0.59,0.87,1.46,5141.483983613658,293.5935317,111.347,62.8,5.1,0.0,0.0,0.0,3266.0,3266.0,101.0,101.0,3809.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.3450395,0.65,12877.0,12365.0,3146.0,3072.0,105.0,101.0
2020-04-01,1612892.6464496225,954490.0,1062606.626329336,130527.19746243733,238143.57550852533,693935.8533583707,368670.7729709626,133258.0,130430.0,112.3998209,112.668,110.237,0.11,0.17,0.18,0.39,0.66,1.27,5179.020689967979,285.094236,111.347,59.8,12.6,0.0,11243461411.0,22263165930.0,24821.0,24821.0,893.0,893.0,19522.0,850.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,112.4231782,0.05,37862.0,36881.0,6626.0,6543.0,368.0,366.0
2020-05-01,1563226.7662259568,1253530.0,1062030.9446352434,131183.48240041776,238748.91635629936,692098.545878529,369932.3987567171,137128.0,133055.0,112.3339858,112.819,110.353,0.1,0.15,0.16,0.34,0.67,1.38,5183.659414787093,276.6224468,111.347,62.5,11.8,0.0,0.0,0.0,36200.0,36200.0,925.0,925.0,29772.0,942.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,112.3353819,0.05,49758.0,48672.0,6223.0,6133.0,521.0,518.0
2020-06-01,1509879.1829953229,1190721.0,1058801.5368500897,131508.63236595452,238754.3116681415,688538.5928159934,370262.9440340961,142276.0,137620.0,112.8927063,113.051,110.746,0.13,0.18,0.18,0.34,0.73,1.49,5175.246165098514,268.178164,111.347,62.3,10.1,0.0,0.0,0.0,95699.0,95699.0,1348.0,1348.0,113156.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,112.9060579,0.08,200884.0,189377.0,16416.0,16039.0,1594.0,1578.0
2020-07-01,1550268.8946509203,1297410.0,1056231.7160640575,131911.0051738215,238903.6915994427,685417.0192907907,370814.6967732642,143779.0,139064.0,113.4746886,113.425,111.072,0.11,0.14,0.15,0.28,0.62,1.31,5177.701587258715,274.0209447,111.347,62.7,9.3,0.0,0.0,0.0,260960.0,260960.0,6683.0,6683.0,254112.0,4810.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,113.476734,0.09,391029.0,370970.0,27305.0,26332.0,4702.0,4632.0
2020-08-01,1590236.631332032,1075287.0,1053553.98778696,132295.5842181948,239024.3034051099,682234.100163658,371319.88762330473,147201.0,140799.0,113.9298286,113.782,111.411,0.08,0.12,0.13,0.27,0.65,1.36,5179.529624543357,279.8610296,111.347,62.7,8.1,0.0,0.0,0.0,192023.0,192023.0,4830.0,4830.0,235952.0,5454.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,113.9596137,0.1,325330.0,310797.0,16977.0,16284.0,2427.0,2403.0
2020-09-01,1631962.5850035388,930935.0,1052182.4294661016,132840.68612079238,239437.72230833324,679904.021036976,372278.4084291256,147625.0,141760.0,114.197558,113.979,111.613,0.09,0.12,0.13,0.27,0.68,1.42,5187.697891822637,285.6984189,111.347,63.0,7.7,0.0,0.0,0.0,135998.0,135998.0,2132.0,2132.0,130171.0,3180.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,114.2230026,0.09,181013.0,162950.0,8139.0,7446.0,811.0,774.0
2020-10-01,1645885.5510174837,593304.0,1052387.6080777713,133583.3303477599,240208.40797267572,678595.869757333,373791.7383204357,149854.0,142479.0,114.2686599,114.017,111.648,0.09,0.11,0.13,0.34,0.79,1.57,5215.100187195471,290.0439311,111.347,62.9,7.1,0.0,0.0,0.0,151629.0,151629.0,2559.0,2559.0,147567.0,2501.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,114.3107989,0.09,232618.0,200660.0,11951.0,10796.0,834.0,788.0
2020-11-01,1660052.4779252412,450660.0,1052752.9044949494,134345.9587818432,241015.2971062517,677391.648606857,375361.2558880949,149928.0,142743.0,114.4306142,114.048,111.666,0.09,0.1,0.12,0.39,0.87,1.62,5243.357572582523,294.4043893,111.347,63.1,6.9,0.0,0.0,0.0,310361.0,267515.0,4784.0,4784.0,303983.0,3510.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,114.4424934,0.09,443946.0,389602.0,16777.0,14985.0,1489.0,1318.0
2020-12-01,1667258.2255907266,422795.0,1048742.2202407487,134546.94605439142,240817.1199286669,673378.1542576904,375364.0659830584,149961.0,142475.0,114.8006074,114.422,112.15,0.08,0.09,0.1,0.39,0.93,1.67,5249.775371377618,298.7797935,111.347,63.2,6.9,0.0,0.0,0.0,477740.0,383139.0,7027.0,7027.0,569516.0,5774.0,0.0,0.01786,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,114.8375768,0.09,691966.0,629461.0,22817.0,20747.0,2540.0,2353.0
2021-01-01,1687366.4170730307,333715.0,1057113.5295737367,137126.40155855415,242774.58260424127,677212.5454109412,379900.9841627955,149871.0,142969.0,115.0797482,114.782,112.583,0.08,0.09,0.1,0.45,1.08,1.82,5317.7213691232255,302.6824514,112.136,63.2,6.7,0.0,0.0,0.0,604460.0,507893.0,9907.0,9907.0,605122.0,9015.0,0.0,0.08308,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,115.1009658,0.09,842690.0,718834.0,24298.0,21823.0,3293.0,2905.0
2021-02-01,1708151.810506874,318371.0,1065939.4392755022,139754.1039237728,244836.19715359012,681349.1381981393,384590.30107736296,150205.0,143544.0,115.5827284,114.975,112.961,0.04,0.06,0.07,0.54,1.26,2.04,5388.3974504475,306.6094201,112.136,63.2,6.6,0.0,0.0,0.0,283392.0,227992.0,5213.0,5213.0,283603.0,6614.0,0.0,0.19198,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,115.5838455,0.08,329687.0,267536.0,10246.0,9166.0,510.0,412.0
2021-03-01,1724340.85468882,288097.0,1071935.3483173754,141997.19269219937,246247.46990284423,683690.6857223317,388244.66259504366,150751.0,144328.0,116.3209593,115.457,113.632,0.02,0.05,0.08,0.82,1.61,2.34,5445.152125281611,310.5606993,112.136,63.3,6.4,0.0,0.0,0.0,139281.0,108178.0,2322.0,2322.0,139323.0,4546.0,0.137,0.4002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,116.3301141,0.07,180118.0,135688.0,6255.0,5660.0,0.0,0.0
2021-04-01,1740878.2833499624,261978.0,1078474.1504578162,144296.00191413276,247783.0786019827,686395.0699417007,392079.0805161155,151171.0,144614.0,117.0666515,116.186,114.238,0.02,0.04,0.06,0.86,1.64,2.3,5493.0586792485865,312.9568865,112.136,63.3,6.2,15814388615.0,0.0,0.0,99922.0,74782.0,1221.0,1221.0,99950.0,1967.0,0.27,0.65132,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0763828,0.07,151151.0,115090.0,5458.0,4907.0,25.0,11.0
2021-05-01,1757623.79629388,206411.0,1085180.1748839477,146602.4641682413,249356.7629631568,689220.9477525497,395959.2271313981,151482.0,145096.0,117.8882735,116.787,114.819,0.01,0.04,0.05,0.82,1.62,2.32,5542.021566117106,315.3617755,112.136,63.4,5.9,0.0,0.0,0.0,60617.0,47181.0,983.0,983.0,60657.0,1291.0,0.355,0.7929,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,117.9104478,0.06,89251.0,66605.0,3998.0,3586.0,70.0,67.0
2021-06-01,1773309.428536784,188205.0,1091270.2021514317,148810.90959483103,250788.5551455941,691670.7374110066,399599.4647404251,151684.0,145789.0,118.9223234,117.349,115.458,0.03,0.05,0.07,0.84,1.52,2.16,5588.036660084186,317.7753663,112.136,63.5,5.9,0.0,0.0,0.0,44613.0,28764.0,534.0,534.0,44639.0,828.0,0.412,0.88586,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,118.9640035,0.08,77938.0,60263.0,4353.0,3920.0,324.0,275.0
2021-07-01,1786030.6703682598,191153.0,1098343.31298605,151139.54845125013,252445.9489363656,694757.8155984343,403585.4973876157,152782.0,146558.0,119.4617323,117.811,115.986,0.05,0.05,0.08,0.76,1.32,1.94,5642.69564775059,318.607801,112.136,63.4,5.6,0.0,0.0,0.0,134719.0,104802.0,623.0,623.0,137369.0,941.0,0.438,0.94568,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.4907814,0.1,325020.0,253911.0,11641.0,10295.0,1824.0,1429.0
2021-08-01,1799717.8615185583,176159.0,1106016.797774037,153539.32648597867,254241.065805595,698236.4054824638,407780.3922915736,153211.0,147221.0,119.860254,118.199,116.444,0.04,0.06,0.07,0.77,1.28,1.92,5700.707254989524,319.4382116,112.136,63.4,5.4,0.0,0.0,0.0,448541.0,363447.0,3550.0,3550.0,465279.0,3788.0,0.474,1.04034,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,119.8858648,0.09,547480.0,436010.0,11685.0,10179.0,1513.0,1325.0
2021-09-01,1814757.0371892336,148648.0,1114526.3380932813,156045.77597424836,256228.14790082868,702252.4142182042,412273.92387507705,153867.0,147778.0,120.3527006,118.446,116.808,0.05,0.05,0.08,0.86,1.37,1.94,5763.32024433258,320.2665982,112.136,63.3,5.1,0.0,0.0,0.0,442670.0,346972.0,8341.0,8341.0,457156.0,8150.0,0.511,1.11428,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,120.3687445,0.08,442015.0,327595.0,7693.0,6683.0,721.0,606.0
2021-10-01,1833778.6044030592,128141.0,1120048.3916274398,158122.3594571515,257528.13978101025,704397.892389278,415650.4992381617,154395.0,148559.0,121.3955285,118.929,117.479,0.06,0.06,0.11,1.11,1.58,2.06,5816.973781697155,321.8806509,112.136,63.3,5.0,0.0,0.0,0.0,162787.0,126491.0,6005.0,6005.0,175597.0,5982.0,0.534,1.19322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.4223003,0.08,178746.0,129055.0,3623.0,2997.0,167.0,104.0
