Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2019-03-01,-2.2119130107342233,2.604573545247851,-2.692635751329235,4.62881234269262,0.3698826117174048,0.8530912800038544,1.2361342095635672,0.033011328563858154,502883.23602240434,23656.0,335533.0171870289,36544.25134544923,71986.10235465037,227002.70917281145,108530.37654304066,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,1529.78618002065,88.56324298,106.714,66.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,,VA,2019-03-01
2019-04-01,-2.239555150027688,2.297888641917,-2.7490799948541698,4.218031160145093,0.04639724392786304,0.8923686731184912,0.14351749321297438,0.019525760050196295,503105.7873322399,21822.0,335335.0337037711,36516.882249347145,71906.66180846537,226911.52000971668,108423.5744215704,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,1527.8551767170704,88.88058889,106.714,66.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,,VA,2019-04-01
2019-05-01,-1.547681061811019,3.0831189792386215,-2.532547741652366,2.16596457055707,-0.31736081700409546,0.441911925567748,0.17266842919601816,0.019548599312760092,504522.79954364535,21367.0,335934.49606757937,36576.37422322559,71998.35845713179,227359.7785585976,108574.77060879696,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,1529.5463306510342,89.1965928,106.714,66.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,,VA,2019-05-01
2019-06-01,-1.211542440305808,2.4246581003735646,-2.3323828994617486,1.700181641688748,-0.8718601081371593,0.34261122908218417,0.05372457287394941,0.014840847908147218,505924.04602719785,22631.0,336523.945968072,36634.78419065811,72087.96106790376,227801.20070951016,108722.79073998272,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,1531.1783335607404,89.51125469,106.714,66.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,,VA,2019-06-01
2019-07-01,-1.3077269286317603,1.8668637621277542,-2.351703123655641,1.8431276173957818,-1.1224513617044634,0.46048508103074587,0.11690883956592178,0.01243069996475344,508798.6024064282,23141.0,336867.5858811561,36666.44715727769,72124.9871322082,228076.1364530919,108791.48727451086,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,1537.6798281468562,90.02960749,106.714,66.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,,VA,2019-07-01
2019-08-01,-0.752896196685934,1.9813181919268954,-2.1022262402284606,0.8390815985370248,-1.515893936998006,0.15661873159256123,0.024351377519428338,0.01145691533375296,512227.02454024897,22144.0,337580.7213162387,36738.338236540425,72241.18936064604,228601.1634523417,108979.58813060688,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,1545.8832927759415,90.54941619,106.714,66.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,,VA,2019-08-01
2019-09-01,-0.8352750078433842,1.674965488833551,-2.127266657026724,0.86055040669924,-1.6542616433690525,0.23618833973601577,0.008649363410003445,0.00957879703791889,515479.96043808473,20029.0,338179.7889426261,36797.8213725081,72333.01877376212,229048.90342718703,109130.9082000236,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,1553.5835073997116,91.07068078,106.714,66.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,,VA,2019-09-01
2019-10-01,-0.6664488991514544,0.9288233648259321,-1.9747497051975276,1.4985000892935074,-2.0468322229348686,0.2372103090518282,0.05770620543705773,0.006346871529026446,516044.5136731777,19995.0,338345.453392862,36810.160322879565,72332.2435845189,229202.98911156823,109142.47937476792,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,1555.0829962960613,90.94189139,106.714,66.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,,VA,2019-10-01
2019-11-01,-0.2363779350815025,1.1865302988799535,-1.7905883482002285,0.33255085744835583,-2.275393212371136,-0.018279247579517103,-0.05131508193818345,0.005825913046812623,517401.8653800315,19444.0,339031.40247490245,36879.11691666141,72442.78183623162,229709.42828606488,109321.98173243173,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,1558.9688528003333,90.8131653,106.714,66.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,,VA,2019-11-01
2019-12-01,-0.44661016554749744,0.8344923167878693,-1.8664426924784463,1.6067012909699765,-2.312472712613788,0.13349235771802598,-0.015955614701090207,0.004497966222893261,517722.78211241146,23088.0,339038.79497182486,36874.27756104609,72408.4308625921,229755.9962433174,109282.79872850742,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,1559.7292578745844,90.6845025,106.714,66.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,,VA,2019-12-01
