                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-1067.954
                ,+ 8 factors in 7 blocks,  AIC                ,2653.908
                ,+ AR(1) idiosyncratic  ,  BIC                ,3127.526
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2831.328
Time:           ,00:26:10               ,  EM Iterations      ,236
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.04   ,-0.07   ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.44                   ,0.74
Cases2          ,0.09    ,0.21    ,.       ,0.20    ,.    ,.          ,.         ,.        ,-0.29                  ,0.40
Cases3          ,-0.08   ,0.03    ,.       ,0.35    ,.    ,.          ,.         ,.        ,0.88                   ,0.03
Cases4          ,0.13    ,-0.04   ,.       ,0.26    ,.    ,.          ,.         ,.        ,0.60                   ,0.16
Cases5          ,-0.11   ,0.02    ,.       ,0.35    ,.    ,.          ,.         ,.        ,0.39                   ,0.01
Hosp1           ,-0.11   ,0.05    ,.       ,0.30    ,.    ,.          ,.         ,.        ,0.86                   ,0.08
Hosp2           ,-0.01   ,-0.01   ,.       ,0.38    ,.    ,.          ,.         ,.        ,0.59                   ,0.03
Deaths1         ,-0.10   ,-0.22   ,.       ,-0.18   ,.    ,.          ,.         ,.        ,-0.24                  ,0.37
Deaths2         ,-0.11   ,-0.22   ,.       ,-0.18   ,.    ,.          ,.         ,.        ,-0.29                  ,0.36
Deaths3         ,-0.11   ,-0.18   ,.       ,0.03    ,.    ,.          ,.         ,.        ,0.19                   ,0.45
Deaths4         ,-0.13   ,-0.18   ,.       ,0.11    ,.    ,.          ,.         ,.        ,-0.06                  ,0.42
Deaths5         ,-0.11   ,-0.18   ,.       ,0.05    ,.    ,.          ,.         ,.        ,-0.03                  ,0.48
Vax1            ,-0.18   ,0.17    ,-0.20   ,.       ,.    ,.          ,.         ,.        ,0.63                   ,0.01
Vax3            ,-0.21   ,0.16    ,-0.13   ,.       ,.    ,.          ,.         ,.        ,0.75                   ,0.00
Gather1         ,-0.22   ,0.15    ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.77                   ,0.00
Gather2         ,-0.24   ,0.11    ,-0.05   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.04
Gather3         ,-0.24   ,0.09    ,-0.08   ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.08
Gather4         ,-0.23   ,0.09    ,-0.13   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.14
Curfew          ,0.19    ,-0.02   ,-0.23   ,.       ,.    ,.          ,.         ,.        ,0.60                   ,0.00
Mask1           ,0.18    ,-0.02   ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.87                   ,0.00
Mask2           ,0.19    ,-0.01   ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.77                   ,0.00
School          ,0.13    ,-0.03   ,-0.16   ,.       ,.    ,.          ,.         ,.        ,0.82                   ,0.38
ARP             ,0.20    ,0.07    ,0.07    ,.       ,.    ,.          ,.         ,.        ,0.58                   ,0.34
PPP             ,0.00    ,-0.04   ,0.01    ,.       ,.    ,.          ,.         ,.        ,-0.05                  ,0.97
CARES           ,0.13    ,0.20    ,0.20    ,.       ,.    ,.          ,.         ,.        ,-0.17                  ,0.43
Cons1           ,0.06    ,0.16    ,.       ,.       ,.    ,-0.05      ,.         ,.        ,-0.31                  ,0.78
