Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,2085285.5065924705,559405.0,1371684.5139619994,131580.43816112698,274584.724519978,965519.3763473204,406165.1376146789,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,6311.212213365418,328.0654796,100.0,63.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,
2012-04-01,2087551.0183646083,542349.0,1374460.6439295355,132036.5957049116,275104.80710819195,967319.2744944897,407141.36943504296,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,6316.524983477861,330.1140708,100.0,63.1,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,
2012-05-01,2094901.3573390536,506456.0,1380584.421009012,132814.30652739035,276294.94389531546,971475.212355728,409109.20865328703,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,6337.207926499188,332.1605618,100.0,63.1,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,
2012-06-01,2100960.944395411,474499.0,1385859.6445478618,133510.69164727593,277315.2030008826,975033.8000481426,410825.8444997192,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,6353.967911016609,334.2049526,100.0,63.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,
2012-07-01,2108027.103803219,509437.0,1389940.662388881,134092.056012299,278096.49254729,977752.1723146852,412188.4900741929,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,6377.034648085021,334.8283633,100.0,63.1,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,
2012-08-01,2108768.790074114,491712.0,1389853.7430260603,134270.63036056256,278044.00033308315,977539.1789491212,412314.5640769423,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,6381.008352735448,335.4522234,100.0,63.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,
2012-09-01,2110157.004951235,461216.0,1390196.604867552,134489.53466362486,278077.7104772911,977629.4344434594,412567.1704240927,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,6386.9727891292005,336.076533,100.0,63.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,
2012-10-01,2117676.231909969,443676.0,1390620.2674559928,134715.14513410907,278127.79151808954,977777.4135767524,412842.8538792375,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,6413.038380166273,339.5928974,100.0,63.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,
2012-11-01,2132882.0483256965,383845.0,1396101.8232298605,135430.31272881452,279189.54401031026,981482.0576025336,414619.7656273296,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,6462.521323142065,343.1271753,100.0,63.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2012-12-01,2146998.0018490357,486565.0,1400866.2630600538,136076.06891135566,280107.8603878998,984682.4331712942,416183.8298887597,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,6508.852204427744,346.6793666,100.0,63.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2013-01-01,2145477.392917737,509897.0,1401870.1568654687,136113.73490628751,280078.81307443714,985677.6915673648,416192.4652981039,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,6503.102435830017,347.5962246,100.134,63.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,
2013-02-01,2140253.5687453044,478456.0,1400443.226303927,135915.71434220413,279565.3907496016,984962.1871169284,415481.0391869983,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,6485.972218158093,348.5010058,100.134,62.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,
