Time,Factor_Global,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,0.36044990468876276,0.9106370427465219,0.16377401851980683,-0.41280598347728215,-0.21805058027459723,-0.1826016581478722,-0.1015639375281233,1401218.729633529,156008.0,829826.7408632877,94523.63763974531,200521.30646212463,534781.7967614178,295044.94410187,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,4240.852742768337,220.4453506,100.0,65.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,TX,2012-03-01
2012-04-01,0.4474365917295031,1.0036732229846814,-0.1835305198365034,-0.4564038640135809,-0.28370150648114956,-0.13891866439841258,-0.02744071515897037,1402617.707728356,150991.0,832015.9680638725,94977.8369682041,201107.4172724781,535930.7138231901,296085.2542406825,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,4244.051603148218,221.8025188,100.0,65.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,TX,2012-04-01
2012-05-01,0.5146919369092067,1.0547062114001649,-1.7319602205792217,-0.49516369618208356,-0.32612578701904377,-0.18516087253834557,-0.04970601728622083,1407433.185636666,150338.0,836231.5629782594,95663.31508845088,202183.3126157016,538384.9352741071,297846.6277041522,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,4257.575748340918,223.1580167,100.0,65.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,TX,2012-05-01
2012-06-01,0.5863588490058742,1.1141151511100764,-1.301242372353422,-0.534027843921601,-0.371540142868194,-0.20369332151453276,-0.05307647126607359,1411381.2886142984,163045.0,839934.0046537752,96290.41964214074,203135.23028163367,540508.3547300008,299425.6499237744,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,4268.461744764503,224.5118444,100.0,65.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,TX,2012-06-01
2012-07-01,0.6440408680400906,1.1645451337876094,-0.708045180056786,-0.5686124491327174,-0.40808926627300357,-0.22634199187761705,-0.05912127013922534,1415825.1119577603,170755.0,842912.7397901213,96834.5865918054,203912.1298709976,542166.023327318,300746.7164628033,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,4283.044913775818,224.8827233,100.0,65.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,TX,2012-07-01
2012-08-01,0.6916209124065295,1.237460608633621,1.2968346134365054,-0.5985817265513595,-0.43823764515192765,-0.24259051662090259,-0.0633962573358303,1416022.316595883,159931.0,843362.0118244647,97087.4177700058,204076.9089849283,542197.6850695309,301164.3267549338,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,4284.8031536347735,225.2538573,100.0,65.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,TX,2012-08-01
2012-09-01,0.7153567156969052,1.285444972911929,1.1188195596090489,-0.6229366818658402,-0.4532771037659955,-0.251472532874306,-0.06575343481040222,1416655.57536935,150908.0,844068.8789487842,97368.62291913648,204303.6641130117,542396.591916636,301672.28703214816,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,4287.899236892179,225.6252464,100.0,65.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,TX,2012-09-01
2012-10-01,0.7611142031358401,1.2766434669308655,1.0957107844249698,-0.6530130116114538,-0.4822710968477579,-0.2672850184663738,-0.06981540115994711,1424369.0548321162,145959.0,844821.8229254615,97653.94942903212,204541.23914432587,542626.6343521032,302195.1885733583,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,4313.43737993782,228.4116531,100.0,65.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,TX,2012-10-01
2012-11-01,0.8453738897468059,1.2946546700743737,-1.2798226248773925,-0.6937208762552267,-0.535661815902339,-0.29675771988018923,-0.07737624036229118,1437246.5352668946,142535.0,848646.376898024,98293.87364284835,205522.36049127515,544830.1427639008,303816.2341341232,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,4354.749253048933,231.2151458,100.0,65.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,TX,2012-11-01
2012-12-01,0.9182996656150235,1.347831364563239,-0.9030798810739179,-0.7293390526404127,-0.5818704432773819,-0.32255296268305284,-0.08407350280017946,1449391.8065869394,151373.0,852035.4299006889,98883.52072211784,206398.0595071228,546753.8496714483,305281.58022924064,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,4393.98501883829,234.0357248,100.0,65.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,TX,2012-12-01
