Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,1401218.729633529,156008.0,829826.7408632877,94523.63763974531,200521.30646212463,534781.7967614178,295044.94410187,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,4240.852742768337,220.4453506,100.0,65.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,
2012-04-01,1402617.707728356,150991.0,832015.9680638725,94977.8369682041,201107.4172724781,535930.7138231901,296085.2542406825,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,4244.051603148218,221.8025188,100.0,65.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,
2012-05-01,1407433.185636666,150338.0,836231.5629782594,95663.31508845088,202183.3126157016,538384.9352741071,297846.6277041522,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,4257.575748340918,223.1580167,100.0,65.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,
2012-06-01,1411381.2886142984,163045.0,839934.0046537752,96290.41964214074,203135.23028163367,540508.3547300008,299425.6499237744,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,4268.461744764503,224.5118444,100.0,65.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,
2012-07-01,1415825.1119577603,170755.0,842912.7397901213,96834.5865918054,203912.1298709976,542166.023327318,300746.7164628033,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,4283.044913775818,224.8827233,100.0,65.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,
2012-08-01,1416022.316595883,159931.0,843362.0118244647,97087.4177700058,204076.9089849283,542197.6850695309,301164.3267549338,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,4284.8031536347735,225.2538573,100.0,65.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,
2012-09-01,1416655.57536935,150908.0,844068.8789487842,97368.62291913648,204303.6641130117,542396.591916636,301672.28703214816,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,4287.899236892179,225.6252464,100.0,65.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,
2012-10-01,1424369.0548321162,145959.0,844821.8229254615,97653.94942903212,204541.23914432587,542626.6343521032,302195.1885733583,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,4313.43737993782,228.4116531,100.0,65.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,
2012-11-01,1437246.5352668946,142535.0,848646.376898024,98293.87364284835,205522.36049127515,544830.1427639008,303816.2341341232,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,4354.749253048933,231.2151458,100.0,65.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2012-12-01,1449391.8065869394,151373.0,852035.4299006889,98883.52072211784,206398.0595071228,546753.8496714483,305281.58022924064,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,4393.98501883829,234.0357248,100.0,65.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
