Time,Factor_Global,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,0.7901707142633944,2.0266645337665414,0.5021688664427908,-0.5219524947959875,-0.43266213339292603,0.24409763957001246,0.044613746476214175,129422.56980999652,22151.0,79465.93472702663,10151.551611771194,18629.969418960245,50684.41369629518,28781.52103073144,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,391.7033425577781,20.36127777,100.0,66.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,UT,2012-03-01
2012-04-01,0.7557387036559047,2.0167643386620333,0.22686578611236327,-0.5471824131730771,-0.36601248230730704,0.20702178968408672,-0.04510631707616456,129237.9121355947,18554.0,79686.31299274358,10204.273726793905,18679.29692454559,50802.74234140418,28883.570651339494,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,391.0545122464102,20.43728114,100.0,66.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,UT,2012-04-01
2012-05-01,0.7194423027923232,1.9791523204476629,-1.0810359409701449,-0.5704412585191818,-0.37251201030492137,0.17213275468853,0.045629356278264165,129368.11222273493,15695.0,80100.76454745344,10281.843334603122,18774.11766278375,51044.80355006646,29055.96099738687,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,391.3522826152335,20.51247104,100.0,66.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,UT,2012-05-01
2012-06-01,0.701994973323486,1.9636539553880432,-0.6631268002857942,-0.5986385348976384,-0.3511166860850116,0.14248222544357417,-0.046103965869036624,129418.07750942792,14830.0,80466.07959560299,10353.14531011795,18857.41795715317,51255.51632833187,29210.56326727112,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,391.4010461967424,20.58684745,100.0,66.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,UT,2012-06-01
2012-07-01,0.6833739127993967,1.9496505368161297,-0.11513089383468511,-0.6251816286261016,-0.3480396632923296,0.11705519237467923,0.046631466174819926,129368.29088964609,14538.0,80762.06470155735,10415.530378985362,18924.47028941919,51422.0640331529,29340.000668404555,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,391.3613952275917,20.54856256,100.0,66.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,UT,2012-07-01
2012-08-01,0.6639188963076904,1.9674635363296522,1.621507454006329,-0.6502184789709458,-0.33498446198984694,0.0956166523851959,-0.04708679447152336,128932.16754101124,13209.0,80815.6549254726,10446.565076192855,18934.73228412021,51434.35756515943,29381.297360313063,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,390.14781423932055,20.51023044,100.0,66.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,UT,2012-08-01
2012-09-01,0.6292504013128557,1.9695660066900988,1.4652137815737216,-0.6690424497545212,-0.3190567033950034,0.07633995716897417,0.047615578576914515,128538.63855985814,13129.0,80893.86226202692,10480.628418294664,18950.776556849534,51462.45728688272,29431.404975144207,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,389.0576790962253,20.4718511,100.0,66.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,UT,2012-09-01
2012-10-01,0.6114153939612268,1.9290662946606996,1.42787055034415,-0.6923326592254332,-0.309210139739529,0.060950152320852886,-0.0480518541547928,128781.88000569445,13534.0,80976.42294996204,10515.112687108274,18967.85429310239,51493.45596975148,29482.96698021067,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,389.9976470296095,20.65174463,100.0,66.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,UT,2012-10-01
2012-11-01,0.6624119460901693,1.90479106054551,-0.583381171281166,-0.7374001174719935,-0.3354372145229123,0.05396173597483604,0.04858266058529158,129493.05396800188,16467.0,81353.37461525977,10587.770477790258,19053.89511210061,51711.70902536881,29641.66558989087,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,392.35983709210905,20.83232161,100.0,66.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,UT,2012-11-01
2012-12-01,0.7358325837107214,1.9040263586080963,-0.2326994382343949,-0.7888562400878407,-0.3723920625682642,0.05298237590138665,-0.04898633942815824,130137.88235761932,19529.0,81688.58668098178,10655.015756563578,19130.158162098756,51903.41276231944,29785.17391866233,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,394.52679590031113,21.01358203,100.0,66.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,UT,2012-12-01
2013-01-01,0.7754571720280977,1.8912666050120857,1.411114443667382,-0.8280818348562159,-0.3925548012440282,0.05295028872877004,0.04953026404811076,130698.70122138766,19529.0,81810.64191479723,10713.923091933186,19140.80354278498,51955.91528007908,29854.72663471807,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,396.140651373689,21.17404673,99.515,66.9,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,,UT,2013-01-01
2013-02-01,0.7604703541132862,1.853435824493092,2.3529793254673272,-0.8482008056817455,-0.38491544129832506,0.05019638885193414,-0.04989841444451255,131030.2898493416,22608.0,81790.48532299942,10753.967469387184,19118.27606205593,51918.24179155631,29872.24353144321,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,397.0663656135079,21.33497079,99.515,67.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,,UT,2013-02-01
2013-03-01,0.826697472178981,1.826470056421296,-0.44140819034165857,-0.8943771480597741,-0.4184650894435831,0.05447560616666213,0.05044928359965324,132012.2150401394,19932.0,82176.8062718391,10847.356542569514,19190.80308444612,52138.64664482346,30038.159627015637,143316.0,135689.0,101.9487188,101.085,101.023,0.08,0.11,0.15,0.82,1.96,3.16,399.9691787018798,21.49635421,99.515,67.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.975417,0.14,,,,,,,UT,2013-03-01
