                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3661.343
                ,+ 7 factors in 7 blocks,  AIC                ,7734.687
                ,+ AR(1) idiosyncratic  ,  BIC                ,8325.399
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7974.713
Time:           ,22:53:32               ,  EM Iterations      ,182
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.08 ,.       ,-0.01   ,.    ,.          ,.         ,.        ,0.70                   ,0.52
Cases2          ,0.10  ,.       ,-0.22   ,.    ,.          ,.         ,.        ,0.47                   ,0.90
Cases3          ,0.03  ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.81                   ,0.07
Cases4          ,0.09  ,.       ,-0.31   ,.    ,.          ,.         ,.        ,0.93                   ,0.02
Cases5          ,-0.07 ,.       ,-0.37   ,.    ,.          ,.         ,.        ,1.00                   ,0.01
Hosp1           ,0.05  ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.86                   ,0.15
Hosp2           ,-0.01 ,.       ,-0.38   ,.    ,.          ,.         ,.        ,1.00                   ,0.00
Deaths1         ,-0.13 ,.       ,0.22    ,.    ,.          ,.         ,.        ,0.25                   ,1.13
Deaths2         ,-0.14 ,.       ,0.21    ,.    ,.          ,.         ,.        ,0.22                   ,1.16
Deaths3         ,-0.15 ,.       ,0.20    ,.    ,.          ,.         ,.        ,0.81                   ,0.36
Deaths4         ,-0.17 ,.       ,0.06    ,.    ,.          ,.         ,.        ,0.67                   ,0.63
Deaths5         ,-0.15 ,.       ,0.19    ,.    ,.          ,.         ,.        ,0.80                   ,0.40
Vax1            ,-0.19 ,-0.31   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.01
Vax3            ,-0.22 ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Gather1         ,-0.23 ,-0.27   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Gather2         ,-0.23 ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.03
Gather3         ,-0.19 ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.06
Gather4         ,-0.12 ,-0.24   ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.12
Curfew          ,0.21  ,-0.14   ,.       ,.    ,.          ,.         ,.        ,1.05                   ,0.00
Mask1           ,0.20  ,-0.17   ,.       ,.    ,.          ,.         ,.        ,1.04                   ,0.00
Mask2           ,0.21  ,-0.15   ,.       ,.    ,.          ,.         ,.        ,1.05                   ,0.00
School          ,0.16  ,-0.09   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.35
ARP             ,0.21  ,0.09    ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.23
PPP             ,-0.02 ,0.09    ,.       ,.    ,.          ,.         ,.        ,0.04                   ,1.06
CARES           ,0.14  ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.13                   ,1.17
Cons1           ,0.09  ,.       ,.       ,.    ,-0.03      ,.         ,.        ,-0.45                  ,0.83
Cons2           ,0.18  ,.       ,.       ,.    ,-0.40      ,.         ,.        ,-0.37                  ,0.00
