Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-1.4671336452554495,2.886268215249192,3.996223266558206,1.5204704383924343,-1.030678049803829,0.8839371108679301,-0.042961552850262395,0.017206777002305062,145249.41093898832,28014.0,93430.81666416004,9619.692184288366,21854.53952975385,61956.6601493959,31474.231714042213,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,439.6040031082368,22.8512199,100.0,68.7,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,KS,2012-03-01
2012-04-01,-0.9980678483119536,2.380687907963311,3.529264665431721,0.956263510690793,-0.5925196333061646,0.7317542655226167,0.13263473299899278,0.011645268022352991,144497.22628321953,27045.0,93490.84439816025,9654.103164907649,21856.4209373894,61980.38705198296,31510.52410229708,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,437.2363545150502,22.85083543,100.0,68.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,KS,2012-04-01
2012-05-01,-0.04595717584605115,1.8336721300608754,2.6044718802929316,-1.2204976229935425,-0.05694443953099587,0.13660980342475984,0.2169260551670185,0.00038847203869235607,144097.1790604888,24918.0,93778.60369843144,9712.024914623302,21911.54406506676,62155.09319592868,31623.56897969004,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,435.9187604507087,22.84839349,100.0,68.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,KS,2012-05-01
2012-06-01,0.26943589089748654,0.909307941103491,1.9406728162040343,-0.7231093826749156,0.6483983204218535,-0.08568703157670902,0.03876246575918162,-0.0032760569438876363,143606.8763540079,26200.0,94008.51520500684,9764.001444275054,21953.131268554927,62291.43264061623,31717.132712829974,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,434.3124447364198,22.84389409,100.0,68.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,KS,2012-06-01
2012-07-01,0.5410520984032154,0.42389639105871035,1.5590583211957316,-0.009135570999973582,1.035400101091103,-0.2690109364607499,-0.027046402931915826,-0.006458706371916067,142293.1956420022,26786.0,94157.40090903018,9807.566339148456,21975.79540137688,62374.08094378714,31783.361740525364,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,430.4791949067576,22.60245588,100.0,68.4,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,KS,2012-07-01
2012-08-01,-0.14063276111545392,0.12671601143657446,2.0286985016990715,2.5790036518126906,1.1403399304127637,0.08534063658341352,-0.1220611869005196,0.0016586633034027596,140559.24723124356,24852.0,94024.41502206677,9821.667083021062,21932.717128820084,62270.06411857776,31754.38421184112,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,425.3489945540844,22.36077091,100.0,68.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,KS,2012-08-01
2012-09-01,-0.044226045488878984,0.20480171240998654,2.0970005018346356,2.254749337577743,1.1009274141866732,0.0375319253833933,0.0015483694352803638,0.0005074078881259052,138879.74576355613,23545.0,93921.31322288526,9838.71128423276,21896.686557945388,62185.94028631487,31735.397842178147,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,420.3578952769005,22.11883919,100.0,68.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,KS,2012-09-01
2012-10-01,0.0564519996140118,0.2733813943846996,2.102906621978763,2.131314777257362,1.067372386835838,-0.013029898908402669,0.03866051738039917,-0.0006935486641394801,138605.83847353415,23118.0,93824.42530733602,9856.239922392077,21862.176399111315,62106.02554042461,31718.416321503417,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,419.75474001013134,22.22748717,100.0,68.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,KS,2012-10-01
2012-11-01,0.9360868344355597,0.5769676287583417,1.7219342740098618,-1.042593045306616,0.9878662830172874,-0.47446527751277334,0.09312321390334351,-0.01116120920418588,138836.78398552813,22521.0,94069.07765044212,9909.583966974456,21907.27635367283,62252.225612685455,31816.86032064726,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,420.6776605472672,22.33585471,100.0,68.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,KS,2012-11-01
2012-12-01,0.718404235339793,0.465604819662078,1.9523844507546688,-0.5911200652224289,1.0318201677924734,-0.3627175856008881,-0.0816818611394498,-0.008567475601851789,138996.1528138141,26579.0,94265.30673108468,9957.8499497977,21941.08934021254,62366.36744107443,31898.93929001024,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,421.38158251568206,22.44394181,100.0,68.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,KS,2012-12-01
