                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3742.778
                ,+ 8 factors in 7 blocks,  AIC                ,7993.556
                ,+ AR(1) idiosyncratic  ,  BIC                ,8721.910
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,8289.510
Time:           ,23:01:38               ,  EM Iterations      ,167
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.02   ,-0.03   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.48                   ,0.73
Cases2          ,0.11    ,0.10    ,.       ,-0.03   ,.    ,.          ,.         ,.        ,-0.26                  ,0.83
Cases3          ,-0.03   ,0.10    ,.       ,-0.42   ,.    ,.          ,.         ,.        ,0.75                   ,0.08
Cases4          ,0.10    ,-0.08   ,.       ,-0.36   ,.    ,.          ,.         ,.        ,0.78                   ,0.16
Cases5          ,-0.03   ,0.01    ,.       ,-0.43   ,.    ,.          ,.         ,.        ,1.00                   ,0.01
Hosp1           ,-0.05   ,0.15    ,.       ,-0.33   ,.    ,.          ,.         ,.        ,0.72                   ,0.19
Hosp2           ,0.03    ,-0.03   ,.       ,-0.45   ,.    ,.          ,.         ,.        ,0.84                   ,0.03
Deaths1         ,-0.16   ,-0.17   ,.       ,0.11    ,.    ,.          ,.         ,.        ,-0.09                  ,0.69
Deaths2         ,-0.17   ,-0.16   ,.       ,0.10    ,.    ,.          ,.         ,.        ,-0.14                  ,0.69
Deaths3         ,-0.16   ,-0.19   ,.       ,0.08    ,.    ,.          ,.         ,.        ,0.56                   ,0.34
Deaths4         ,-0.17   ,-0.19   ,.       ,-0.09   ,.    ,.          ,.         ,.        ,0.31                   ,0.51
Deaths5         ,-0.16   ,-0.20   ,.       ,0.06    ,.    ,.          ,.         ,.        ,0.49                   ,0.38
Vax1            ,-0.18   ,0.17    ,-0.30   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.01
Vax3            ,-0.20   ,0.17    ,-0.27   ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.00
Gather1         ,-0.21   ,0.16    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.00
Gather2         ,-0.22   ,0.17    ,-0.07   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.01
Gather3         ,-0.20   ,0.17    ,0.14    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.00
Gather4         ,-0.13   ,0.15    ,0.30    ,.       ,.    ,.          ,.         ,.        ,0.90                   ,0.02
Curfew          ,0.19    ,0.00    ,-0.03   ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.15
Mask1           ,0.18    ,0.01    ,-0.05   ,.       ,.    ,.          ,.         ,.        ,0.99                   ,0.14
Mask2           ,0.19    ,0.01    ,-0.03   ,.       ,.    ,.          ,.         ,.        ,0.98                   ,0.14
School          ,0.15    ,-0.03   ,0.09    ,.       ,.    ,.          ,.         ,.        ,1.03                   ,0.34
ARP             ,0.23    ,0.02    ,0.18    ,.       ,.    ,.          ,.         ,.        ,0.66                   ,0.30
PPP             ,-0.01   ,-0.05   ,0.01    ,.       ,.    ,.          ,.         ,.        ,-0.04                  ,0.97
CARES           ,0.17    ,0.13    ,-0.07   ,.       ,.    ,.          ,.         ,.        ,-0.13                  ,0.75
Cons1           ,0.11    ,0.12    ,.       ,.       ,.    ,-0.03      ,.         ,.        ,-0.45                  ,0.76
Cons2           ,0.21    ,-0.03   ,.       ,.       ,.    ,0.38       ,.         ,.        ,-0.27                  ,0.00
