                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-2897.082
                ,+ 8 factors in 7 blocks,  AIC                ,6302.163
                ,+ AR(1) idiosyncratic  ,  BIC                ,7030.517
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,6598.118
Time:           ,23:06:34               ,  EM Iterations      ,223
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.07   ,-0.02   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.43                   ,0.69
Cases2          ,0.12    ,0.11    ,.       ,-0.18   ,.    ,.          ,.         ,.        ,0.06                   ,0.63
Cases3          ,0.01    ,0.01    ,.       ,-0.43   ,.    ,.          ,.         ,.        ,0.99                   ,0.00
Cases4          ,0.14    ,-0.04   ,.       ,-0.25   ,.    ,.          ,.         ,.        ,0.87                   ,0.08
Cases5          ,0.01    ,0.12    ,.       ,-0.35   ,.    ,.          ,.         ,.        ,0.90                   ,0.07
Hosp1           ,-0.03   ,-0.03   ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.83                   ,0.03
Hosp2           ,0.07    ,0.07    ,.       ,-0.35   ,.    ,.          ,.         ,.        ,0.90                   ,0.06
Deaths1         ,-0.13   ,-0.08   ,.       ,0.21    ,.    ,.          ,.         ,.        ,0.04                   ,0.76
Deaths2         ,-0.13   ,-0.08   ,.       ,0.20    ,.    ,.          ,.         ,.        ,-0.01                  ,0.75
Deaths3         ,-0.13   ,0.06    ,.       ,0.22    ,.    ,.          ,.         ,.        ,0.82                   ,0.25
Deaths4         ,-0.14   ,0.08    ,.       ,0.08    ,.    ,.          ,.         ,.        ,0.64                   ,0.52
Deaths5         ,-0.13   ,0.06    ,.       ,0.21    ,.    ,.          ,.         ,.        ,0.83                   ,0.25
Vax1            ,-0.17   ,0.13    ,-0.29   ,.       ,.    ,.          ,.         ,.        ,0.84                   ,0.01
Vax3            ,-0.19   ,0.15    ,-0.25   ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.00
Gather1         ,-0.20   ,0.16    ,-0.23   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.00
Gather2         ,-0.22   ,0.09    ,-0.22   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.06
Gather3         ,-0.20   ,-0.01   ,-0.20   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.16
Gather4         ,-0.14   ,-0.09   ,-0.15   ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.27
Curfew          ,0.17    ,-0.18   ,-0.19   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Mask1           ,0.16    ,-0.17   ,-0.22   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Mask2           ,0.17    ,-0.19   ,-0.19   ,.       ,.    ,.          ,.         ,.        ,0.89                   ,0.00
School          ,0.12    ,-0.14   ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.35
ARP             ,0.23    ,-0.07   ,0.01    ,.       ,.    ,.          ,.         ,.        ,0.71                   ,0.20
PPP             ,-0.00   ,-0.01   ,0.03    ,.       ,.    ,.          ,.         ,.        ,-0.01                  ,1.00
CARES           ,0.16    ,0.13    ,-0.06   ,.       ,.    ,.          ,.         ,.        ,-0.18                  ,0.61
Cons1           ,0.07    ,0.03    ,.       ,.       ,.    ,-0.05      ,.         ,.        ,-0.34                  ,0.91
Cons2           ,0.18    ,-0.04   ,.       ,.       ,.    ,0.40       ,.         ,.        ,-0.37                  ,0.00
Cons3           ,0.18    ,-0.04   ,.       ,.       ,.    ,0.40       ,.         ,.        ,-0.32                  ,0.01
Cons4           ,0.18    ,-0.02   ,.       ,.       ,.    ,0.40       ,.         ,.        ,0.07                   ,0.25
Cons5           ,0.18    ,-0.01   ,.       ,.       ,.    ,0.40       ,.         ,.        ,0.04                   ,0.28
Employment1     ,0.18    ,-0.03   ,.       ,.       ,.    ,.          ,-0.55     ,.        ,-0.36                  ,0.33
Employment2     ,0.19    ,0.01    ,.       ,.       ,.    ,.          ,-0.52     ,.        ,-0.08                  ,0.39
UI              ,-0.00   ,-0.01   ,.       ,.       ,.    ,.          ,-0.00     ,.        ,0.51                   ,0.74
PartR           ,-0.15   ,0.16    ,.       ,.       ,.    ,.          ,-0.19     ,.        ,0.94                   ,0.08
CPI             ,0.04    ,-0.01   ,.       ,.       ,.    ,.          ,.         ,-0.69    ,-0.83                  ,0.11
CPIU            ,0.02    ,0.05    ,.       ,.       ,.    ,.          ,.         ,0.43     ,-0.55                  ,0.50
PCEC            ,0.01    ,0.02    ,.       ,.       ,.    ,.          ,.         ,-0.56    ,0.08                   ,1.05
FixAss          ,0.05    ,-0.02   ,.       ,.       ,-0.32,.          ,.         ,.        ,0.04                   ,0.62
Prod            ,0.01    ,0.02    ,.       ,.       ,0.01 ,.          ,.         ,.        ,-0.27                  ,0.92
GDP             ,-0.12   ,0.05    ,.       ,.       ,0.13 ,.          ,.         ,.        ,0.44                   ,0.66
TBill1mo        ,-0.17   ,0.12    ,.       ,.       ,-0.10,.          ,.         ,.        ,0.86                   ,0.17
TBill6mo        ,0.16    ,0.24    ,.       ,.       ,0.20 ,.          ,.         ,.        ,0.50                   ,0.00
TBill1yr        ,0.16    ,0.24    ,.       ,.       ,0.19 ,.          ,.         ,.        ,0.09                   ,0.00
TBill5yr        ,0.19    ,0.24    ,.       ,.       ,0.12 ,.          ,.         ,.        ,-0.02                  ,0.00
TBill10yr       ,0.20    ,0.24    ,.       ,.       ,0.11 ,.          ,.         ,.        ,0.38                   ,0.00
TBill30yr       ,0.18    ,0.24    ,.       ,.       ,0.15 ,.          ,.         ,.        ,-0.09                  ,0.09
FFR             ,0.18    ,0.24    ,.       ,.       ,0.15 ,.          ,.         ,.        ,-0.17                  ,0.07
                      Transition: Factor block 0
        ,L1.Global.1,L1.Global.2,   error covariance,Global.1,Global.2
Global.1,0.88       ,-0.05      ,Global.1           ,2.90    ,1.51
