                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 48 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-4129.144
                ,+ 8 factors in 7 blocks,  AIC                ,8786.288
                ,+ AR(1) idiosyncratic  ,  BIC                ,9543.317
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,9093.894
Time:           ,23:06:51               ,  EM Iterations      ,197
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.05   ,-0.06   ,.       ,-0.00   ,.    ,.          ,.         ,.        ,0.44                   ,0.76
Cases2          ,0.13    ,0.17    ,.       ,0.22    ,.    ,.          ,.         ,.        ,0.01                   ,0.70
Cases3          ,-0.01   ,0.02    ,.       ,0.38    ,.    ,.          ,.         ,.        ,0.78                   ,0.10
Cases4          ,0.09    ,-0.10   ,.       ,0.34    ,.    ,.          ,.         ,.        ,0.81                   ,0.06
Cases5          ,0.01    ,-0.01   ,.       ,0.38    ,.    ,.          ,.         ,.        ,0.84                   ,0.05
Hosp1           ,-0.05   ,0.07    ,.       ,0.31    ,.    ,.          ,.         ,.        ,0.79                   ,0.21
Hosp2           ,0.05    ,-0.06   ,.       ,0.39    ,.    ,.          ,.         ,.        ,0.94                   ,0.00
Deaths1         ,-0.14   ,-0.18   ,.       ,-0.20   ,.    ,.          ,.         ,.        ,-0.11                  ,0.67
Deaths2         ,-0.15   ,-0.17   ,.       ,-0.19   ,.    ,.          ,.         ,.        ,-0.15                  ,0.67
Deaths3         ,-0.13   ,-0.19   ,.       ,0.01    ,.    ,.          ,.         ,.        ,0.35                   ,0.48
Deaths4         ,-0.14   ,-0.20   ,.       ,0.13    ,.    ,.          ,.         ,.        ,0.09                   ,0.50
Deaths5         ,-0.13   ,-0.20   ,.       ,0.04    ,.    ,.          ,.         ,.        ,0.22                   ,0.53
Vax1            ,-0.18   ,0.16    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.92                   ,0.01
Vax3            ,-0.21   ,0.15    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Gather1         ,-0.22   ,0.14    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.00
Gather2         ,-0.23   ,0.16    ,-0.09   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.01
Gather3         ,-0.21   ,0.16    ,0.11    ,.       ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Gather4         ,-0.15   ,0.15    ,0.27    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.02
Curfew          ,0.17    ,0.01    ,0.12    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.15
Mask1           ,0.16    ,0.02    ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.14
Mask2           ,0.17    ,0.04    ,0.21    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.12
School          ,0.14    ,0.02    ,0.16    ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.33
ARP             ,0.20    ,-0.00   ,0.21    ,.       ,.    ,.          ,.         ,.        ,0.82                   ,0.21
PPP             ,0.00    ,-0.05   ,0.01    ,.       ,.    ,.          ,.         ,.        ,-0.05                  ,0.96
CARES           ,0.16    ,0.14    ,-0.16   ,.       ,.    ,.          ,.         ,.        ,-0.06                  ,0.79
Cons1           ,0.09    ,0.12    ,.       ,.       ,.    ,-0.11      ,.         ,.        ,-0.35                  ,0.89
Cons2           ,0.21    ,0.00    ,.       ,.       ,.    ,0.37       ,.         ,.        ,0.13                   ,0.00
Cons3           ,0.21    ,0.00    ,.       ,.       ,.    ,0.38       ,.         ,.        ,0.15                   ,0.00
Cons4           ,0.26    ,0.06    ,.       ,.       ,.    ,0.26       ,.         ,.        ,-0.24                  ,0.40
Cons5           ,0.26    ,0.06    ,.       ,.       ,.    ,0.26       ,.         ,.        ,-0.22                  ,0.39
Employment1     ,0.20    ,0.02    ,.       ,.       ,.    ,.          ,0.48      ,.        ,-0.39                  ,0.46
Employment2     ,0.23    ,0.06    ,.       ,.       ,.    ,.          ,0.43      ,.        ,-0.22                  ,0.40
UI              ,-0.02   ,-0.12   ,.       ,.       ,.    ,.          ,0.04      ,.        ,0.52                   ,0.60
PartR           ,-0.15   ,-0.11   ,.       ,.       ,.    ,.          ,0.32      ,.        ,1.04                   ,0.02
CPI             ,0.09    ,0.10    ,.       ,.       ,.    ,.          ,.         ,-0.64    ,-0.36                  ,0.72
CPIU            ,-0.02   ,0.02    ,.       ,.       ,.    ,.          ,.         ,0.00     ,0.01                   ,1.02
PCE             ,0.08    ,0.09    ,.       ,.       ,.    ,.          ,.         ,0.65     ,0.01                   ,0.87
PCEC            ,0.02    ,-0.01   ,.       ,.       ,.    ,.          ,.         ,0.01     ,-0.00                  ,0.99
RPFI            ,0.04    ,-0.04   ,.       ,.       ,-0.20,.          ,.         ,.        ,-0.15                  ,0.63
FixAss          ,0.03    ,0.10    ,.       ,.       ,0.19 ,.          ,.         ,.        ,-0.15                  ,0.63
Prod            ,0.01    ,-0.01   ,.       ,.       ,-0.03,.          ,.         ,.        ,-0.01                  ,1.00
GDP             ,-0.13   ,-0.19   ,.       ,.       ,0.04 ,.          ,.         ,.        ,0.36                   ,0.49
TBill1mo        ,-0.18   ,0.16    ,.       ,.       ,-0.18,.          ,.         ,.        ,0.82                   ,0.38
TBill6mo        ,0.04    ,-0.19   ,.       ,.       ,-0.26,.          ,.         ,.        ,0.49                   ,0.31
TBill1yr        ,0.04    ,-0.19   ,.       ,.       ,-0.27,.          ,.         ,.        ,0.48                   ,0.31
TBill5yr        ,0.10    ,-0.22   ,.       ,.       ,-0.25,.          ,.         ,.        ,0.49                   ,0.13
