Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.5898980877408173,-0.974330298066003,0.014403651581939597,2.3630370477068423,1.155076692841087,1.4495661908693278,-0.0356641160985833,-0.0007237095169343588,51413.84669373841,18516.0,37856.745375244405,3363.588509550309,7347.295332631474,27145.861533062616,10710.883842181782,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,155.60636476663157,8.088632572,100.0,65.8,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,RI,2012-03-01
2012-04-01,0.08389700970763916,-0.4313710762061973,0.19998165723366332,2.0468018469976887,0.8486869201421786,-0.20885196251824104,-0.1212953042529365,0.0003177694107504107,51461.72537867412,14923.0,37840.94019319218,3364.274794891825,7346.677881694802,27129.98751660555,10710.952676586629,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,155.71334988885107,8.137887199,100.0,65.8,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,RI,2012-04-01
2012-05-01,1.00870241936096,0.387812760640736,0.41600575879144025,0.30829912950574667,0.7576981621705942,-0.8431531456633605,-0.07905042983032545,0.11102965329850431,51634.95532342893,13245.0,37917.31826960994,3373.1562978259817,7363.957000888856,27180.204970895094,10737.113298714838,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,156.19911482246323,8.187073287,100.0,65.9,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,RI,2012-05-01
2012-06-01,0.39284121985625825,-0.33928419580318264,0.26007505458641866,0.5874167771324091,0.7526352082044578,-0.27390775361560155,0.08113857552853751,-0.01654053095707435,51776.35801973843,12817.0,37970.24191607157,3379.9546658108,7376.684987563188,27213.602262697583,10756.639653373986,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,156.58802144347268,8.236190836,100.0,66.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,RI,2012-06-01
2012-07-01,0.357978442966735,-0.46929465077701715,0.2673182702941772,1.2638138806935102,0.6698742122736343,-0.11644446526102945,0.08909114251856252,-0.018149234957354307,51806.56373237087,15155.0,37990.43346033016,3383.839649756036,7383.054274446892,27223.53953612723,10766.893924202928,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,156.72308532183678,8.228798655,100.0,66.1,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,RI,2012-07-01
2012-08-01,-0.6596138916796854,-1.574013053711131,0.059131106734000696,3.387008715310935,0.5971638870520862,1.0661494305364145,0.09040860014448096,-0.17595485074503714,51681.87192938626,13137.0,37897.04388375389,3377.600133233405,7367.341160796073,27152.102589724407,10744.941294029475,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,156.38826799900073,8.221395321,100.0,66.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,RI,2012-08-01
2012-09-01,-0.057653847411320985,-1.050448399520894,0.2525130053457775,3.297842888659791,0.541935132724717,0.40461596640853625,-0.07929872147889101,-0.061136222485337115,51573.93478715668,11024.0,37815.95253987389,3372.4434393648075,7354.003327389195,27089.50577311988,10726.446766754005,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,156.10275316550278,8.213980834,100.0,66.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,RI,2012-09-01
2012-10-01,0.14265938921827892,-0.8772834931824148,0.3326430935447395,3.29297431915403,0.6171329586478402,0.17137234856546976,-0.07461646271323093,-0.04469656129518255,51385.71868450588,11019.0,37737.599782803714,3367.518565975018,7341.183520896857,27028.897695931835,10708.702086871876,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,155.61788650833853,8.240513439,100.0,66.3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,RI,2012-10-01
2012-11-01,1.4382634528119849,0.3082525931505303,0.692336020757677,0.7018399635428303,0.5861717061048768,-1.3056047402845805,-0.05446856304949779,0.13465877289725664,51384.86616505482,11624.0,37796.709704565896,3374.8554635602486,7355.099113068086,27066.75512793756,10729.954576628334,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,155.6980354640241,8.266777694,100.0,66.3,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,RI,2012-11-01
2012-12-01,0.6515149324738464,-0.6060903482617931,0.5463421127904838,0.8569350015017076,0.6559492149242113,-0.34319720200407156,0.15113539441747692,-0.029270317195670623,51357.45031960474,13866.0,37836.3305597805,3380.453908323641,7365.224220373187,27090.652431083672,10745.678128696827,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,155.69555883610192,8.292773599,100.0,66.3,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,RI,2012-12-01
