Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.912111113767618,1.8699260139050038,1.0548401303867272,0.9345292204189256,0.771384828252929,0.3072766441879598,0.31051593233453606,0.062266075479298626,129422.56980999652,22151.0,79465.93472702663,10151.551611771194,18629.969418960245,50684.41369629518,28781.52103073144,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,391.7033425577781,20.36127777,100.0,66.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,UT,2012-03-01
2012-04-01,-0.9046483393230919,1.9023629825951467,1.0868452275090001,0.49735901827889684,0.8576061331404662,0.20974899808111405,0.2783903270392421,-0.0632386047220787,129237.9121355947,18554.0,79686.31299274358,10204.273726793905,18679.29692454559,50802.74234140418,28883.570651339494,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,391.0545122464102,20.43728114,100.0,66.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,UT,2012-04-01
2012-05-01,-0.8998732069829628,1.948604880116938,1.0905659507394299,-1.3738483364834952,0.9387868680155249,0.2470870330419727,0.24368109121331682,0.06422798332473975,129368.11222273493,15695.0,80100.76454745344,10281.843334603122,18774.11766278375,51044.80355006646,29055.96099738687,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,391.3522826152335,20.51247104,100.0,66.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,UT,2012-05-01
2012-06-01,-0.8780926230007788,1.9700097905542702,1.1120923187541063,-0.8474986919109542,0.9595991095221559,0.21052982331241352,0.21302972237501996,-0.06522671819181278,129418.07750942792,14830.0,80466.07959560299,10353.14531011795,18857.41795715317,51255.51632833187,29210.56326727112,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,391.4010461967424,20.58684745,100.0,66.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,UT,2012-06-01
2012-07-01,-0.859262357012774,1.9898802266137277,1.1333961144272726,-0.1537785683448677,0.9778709938193124,0.20998196560672758,0.18432705635067353,0.06624462613612445,129368.29088964609,14538.0,80762.06470155735,10415.530378985362,18924.47028941919,51422.0640331529,29340.000668404555,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,391.3613952275917,20.54856256,100.0,66.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,UT,2012-07-01
2012-08-01,-0.8428834333272495,1.9779590922944823,1.181959422757445,2.2065168430169404,0.9469145218823034,0.1971749190475467,0.1618266907384978,-0.06726971169850432,128932.16754101124,13209.0,80815.6549254726,10446.565076192855,18934.73228412021,51434.35756515943,29381.297360313063,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,390.14781423932055,20.51023044,100.0,66.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,UT,2012-08-01
2012-09-01,-0.8437822927235878,1.9936282699514352,1.2167506067599143,1.9377090430957937,0.9725104851594386,0.19869892255426813,0.13790719451684394,0.06831654124959113,128538.63855985814,13129.0,80893.86226202692,10480.628418294664,18950.776556849534,51462.45728688272,29431.404975144207,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,389.0576790962253,20.4718511,100.0,66.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,UT,2012-09-01
2012-10-01,-0.8261935325684207,2.0053023657447184,1.2059434793833375,1.8331918926058564,0.9778214351437415,0.18679353685421518,0.1148129772377747,-0.06936826772256145,128781.88000569445,13534.0,80976.42294996204,10515.112687108274,18967.85429310239,51493.45596975148,29482.96698021067,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,389.9976470296095,20.65174463,100.0,66.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,UT,2012-10-01
2012-11-01,-0.747226160762275,2.0478766399266584,1.211958020659742,-1.0154439838604532,0.9859750907757714,0.1418564931914198,0.08904522695311334,0.07044540596820897,129493.05396800188,16467.0,81353.37461525977,10587.770477790258,19053.89511210061,51711.70902536881,29641.66558989087,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,392.35983709210905,20.83232161,100.0,66.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,UT,2012-11-01
2012-12-01,-0.6429341655883568,2.027101857675492,1.2343135916612769,-0.5474728667301869,0.8746354050495952,0.09028675208725827,0.07203103116005018,-0.07152178862345342,130137.88235761932,19529.0,81688.58668098178,10655.015756563578,19130.158162098756,51903.41276231944,29785.17391866233,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,394.52679590031113,21.01358203,100.0,66.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,UT,2012-12-01
2013-01-01,-0.5709049423563406,1.9844451538036336,1.2409124232918904,1.6868153921873021,0.7528500297665501,0.05847352081510333,0.06081778013994656,0.07263136104199039,130698.70122138766,19529.0,81810.64191479723,10713.923091933186,19140.80354278498,51955.91528007908,29854.72663471807,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,396.140651373689,21.17404673,99.515,66.9,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,,UT,2013-01-01
2013-02-01,-0.5525046983896539,1.954805251425778,1.2235339955007147,2.9603529182315027,0.6920185850806212,0.05242632241844534,0.05249608631004815,-0.07373310735956719,131030.2898493416,22608.0,81790.48532299942,10753.967469387184,19118.27606205593,51918.24179155631,29872.24353144321,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,397.0663656135079,21.33497079,99.515,67.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,,UT,2013-02-01
2013-03-01,-0.4677990891201609,2.033830907922339,1.2250356836972163,-1.0158818858939864,0.753653337515567,-0.00047940844612986196,0.041488919825560945,0.0748751825813136,132012.2150401394,19932.0,82176.8062718391,10847.356542569514,19190.80308444612,52138.64664482346,30038.159627015637,143316.0,135689.0,101.9487188,101.085,101.023,0.08,0.11,0.15,0.82,1.96,3.16,399.9691787018798,21.49635421,99.515,67.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.975417,0.14,,,,,,,UT,2013-03-01
