Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-1.156724907277319,2.0556822284650194,0.07194812362321117,0.9794681581159269,2.3688727217570933,0.5435920967659095,0.2983552097928861,-0.3095978227185399,442745.67604151,60594.0,301015.2905198777,31785.456459617988,68764.8017245701,200465.10753496768,100550.2581841881,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,1339.9900917431194,69.65452552,100.0,66.9,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,VA,2012-03-01
2012-04-01,-0.5636983517853169,1.8400889263208415,-0.199889429921137,0.3688212860501837,1.3042017377028228,0.1863654019733181,0.2158000130435105,-0.10730962395951514,443234.4675198096,55758.0,301346.73796220234,31848.84411778453,68816.18034833347,200681.78025220492,100665.0244661176,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,1341.1415016121605,70.09070361,100.0,66.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,VA,2012-04-01
2012-05-01,-0.0836578321032434,1.6730926656968275,-0.42913537894250187,-2.076997844368229,0.4602227340644154,-0.0766152687981417,0.15209993221401621,-0.08546190515250185,444802.8817557862,53982.0,302412.20068034064,31989.80324932664,69035.18488815815,201387.27102004227,101024.9881374852,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,1345.5564649036628,70.52645213,100.0,66.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,VA,2012-05-01
2012-06-01,0.08497156308119924,1.613604034251668,-0.40095477723008094,-1.484656915235175,0.12371783976444051,-0.1759176265955249,0.127047280408024,-0.07716259270940845,446097.2478536468,54941.0,303291.3423734253,32111.098852603707,69211.61638449812,201968.67728476293,101322.71523710185,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,1349.138643384418,70.96177107,100.0,66.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,VA,2012-06-01
2012-07-01,0.15467597491156404,1.5964679474675971,-0.3074281191491378,-0.6442441252952171,-0.027581279169559325,-0.21441789261493557,0.11211721337016066,-0.07423780547169292,447214.1902279256,56423.0,303909.0969854953,32204.72394893393,69328.39549495358,202376.0193168909,101533.1194438871,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,1352.8819089633046,71.0335227,100.0,66.6,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,VA,2012-07-01
2012-08-01,0.031702754149207535,1.6167934907021613,-0.050075586525541,2.343944057640769,0.07973463194088559,-0.14374438689422894,0.12335909209249515,-0.07447337614332603,446990.82354900526,52846.0,303616.55425097875,32201.781996835674,69237.60512948618,202177.20043300823,101439.38712632224,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,1352.5728813389958,71.10531054,100.0,66.6,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,VA,2012-08-01
2012-09-01,0.09412922282861791,1.5919447266737157,0.03347894850050452,2.0128202169930365,-0.05911115721285863,-0.17849092949368245,0.11230003612067324,-0.07443169546728567,446906.9227627293,49528.0,303419.6395660447,32208.80363422628,69168.77534145588,202042.0854959703,101377.57897568218,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,1352.6871925402725,71.1771346,100.0,66.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,VA,2012-09-01
2012-10-01,0.08113151245675682,1.6151270747212418,0.13422311273602738,1.9310366956887761,-0.03051913591563782,-0.1727397662467744,0.10110529364091957,-0.07523241367197453,445697.9581566127,50116.0,303241.9850942449,32217.702818584872,69104.47934152457,201919.81948872827,101322.18216010903,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,1349.758390694995,71.47444556,100.0,66.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,VA,2012-10-01
2012-11-01,0.22097895989987926,1.6384964574304193,0.1894381243781201,-1.7355250625974061,-0.13698620110464343,-0.2573791716999459,0.07290047983706842,-0.07619723551868854,446113.1376583278,51323.0,304167.8842515749,32343.784684604063,69291.72174788866,202532.386101972,101635.50643249312,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,1351.7339631643292,71.77023227,100.0,66.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,VA,2012-11-01
2012-12-01,0.11070181444021121,1.6952471659611665,0.45574455711173895,-1.2340226063944926,0.05397839245992353,-0.1964724573166364,0.07443982124172863,-0.07811970526336845,446298.052548388,54046.0,304937.32168242324,32453.252214368797,69443.30122374321,203040.7682443112,101896.553438112,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,1352.9998916425598,72.06449472,100.0,66.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,VA,2012-12-01
