Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.3534334844960897,1.3207800574875375,-0.1700886470263231,-2.396683188689506,-0.1515752609513835,0.2997867140561476,0.007332576500339891,0.35324326514803395,276199.92981400713,107432.0,192990.0736952925,19514.03719857623,44983.53135809896,128492.58033789544,64497.4933573971,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,835.9317535468994,43.45288074,100.0,68.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,WI,2012-03-01
2012-04-01,-0.24500348256212223,1.2792294893346452,-0.12525695690533017,-1.8154541607469992,0.06229639298883727,0.21766742452448132,-0.09993371361139389,-0.1920277485126291,276531.28525557544,92495.0,193033.09768422987,19541.251944272022,44982.84367719414,128509.0688188843,64524.02886534626,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,836.7295587086696,43.72913928,100.0,68.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,WI,2012-04-01
2012-05-01,-0.0823897619526116,1.3964593911915013,-0.048510859588422585,0.23607751341421762,0.1251101999551344,0.15944463063376735,-0.14797013064370756,-0.2244312748255519,277536.2057327696,76266.0,193546.34066470212,19616.06385040529,45091.73399897076,128838.60129251255,64707.73937218887,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,839.5638780399784,44.00518535,100.0,68.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,WI,2012-05-01
2012-06-01,-0.029898513432674252,1.275680703014888,-0.04201871646794498,-0.2141443619397421,0.29755539484532467,0.11925486744772006,-0.08974214061115213,-0.20891808657024155,278370.1757201316,75338.0,193940.0625852524,19678.799245767477,45172.76137366606,129088.5521142582,64851.51047099415,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,841.8791261132955,44.28101894,100.0,68.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,WI,2012-06-01
2012-07-01,0.06445163447053157,1.2547460398736627,0.003355344375233967,-0.869165500995521,0.3840085604217676,0.0736611276953365,-0.07889328808604949,-0.21745086080102155,278188.8242764518,80437.0,194166.61653632743,19724.57556313084,45214.85027738791,129227.23247109183,64939.38406523632,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,841.5702258873071,44.18692964,100.0,68.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,WI,2012-07-01
2012-08-01,-0.050021548357412765,0.9025255982939925,-0.06887672960728003,-3.2928026580732532,0.6456093166633264,0.09912107832982002,-0.023702196894069466,-0.14334890135222333,277176.98392872047,73156.0,193812.2075110337,19711.249895911365,45121.69206428508,128979.2988591886,64832.90865184441,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,838.7366111416437,44.09272728,100.0,68.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,WI,2012-08-01
2012-09-01,-0.008613246046224855,0.831972862832233,-0.042132328340518395,-3.006903960218954,0.7282123163928691,0.07349712841767593,-0.06371257606817012,-0.13820001241855345,276257.1852678349,63641.0,193519.90954283267,19704.09647436217,45043.06179579395,128772.7761782843,64747.13336454837,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,836.1686458322956,43.99841188,100.0,68.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,WI,2012-09-01
2012-10-01,0.0332408269508308,0.8387637928932998,-0.019115807383587976,-2.9290630982713006,0.7493859449178158,0.05358369294306535,-0.0629265763368053,-0.144414119567107,275706.26856183633,65543.0,193240.89249116776,19698.160122636447,44967.58610871072,128575.1628144134,64665.72967675506,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,834.9505675576346,44.21356393,100.0,68.5,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,WI,2012-10-01
2012-11-01,0.3264863988058763,1.186603735327676,0.14347366216208762,0.06646478372698787,0.5733853060027869,-0.05982829945065605,-0.08856110752169959,-0.23888226120278788,276159.5881084198,71594.0,193665.493809368,19763.89620544216,45055.86809662486,128845.73779019076,64819.75601917652,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,836.7680133984038,44.42814661,100.0,68.5,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,WI,2012-11-01
2012-12-01,0.4275277492607229,1.112044665670403,0.18591629201711068,-0.33826900894841716,0.6511018995655236,-0.11512982911581243,-0.006625088918550206,-0.236243619253516,276470.5297585319,87066.0,193990.3372998121,19819.47053969958,45120.93286809221,129049.93389202032,64940.4034077918,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,838.1497400415535,44.64215992,100.0,68.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,WI,2012-12-01
2013-01-01,0.2897557965507237,0.7468775733398252,0.14236353080080721,-1.4744191409577112,0.8849939487232431,-0.07859104653014869,0.11062187100199995,-0.15673206316316218,277176.9176580313,111635.0,194013.8526463403,19877.894305151756,45093.88611626499,129042.08049318564,64971.77215315467,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,840.120635597845,44.90514551,98.89,68.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,,WI,2013-01-01
2013-02-01,0.15821987251701472,0.469298038838096,0.047558544703146764,-2.897367624536073,1.0577864553605165,-0.037803118822887415,0.08893839958322143,-0.09596892880213295,277399.85764561663,105815.0,193701.5929191872,19901.604123004767,44988.97742101309,128811.02785137114,64890.565067816045,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,840.6283723160268,45.16822204,98.89,68.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,,WI,2013-02-01
2013-03-01,0.5045088638235722,0.9103113392340828,0.22342135904932015,1.1884249445336497,0.8167598531964055,-0.1692852496465838,-0.02247096778262966,-0.21429883342554543,279000.72260772303,98479.0,194352.5979232452,20024.15291567267,45107.871474812666,129220.5982795997,65131.99964364551,143316.0,135689.0,101.9487188,101.085,101.023,0.08,0.11,0.15,0.82,1.96,3.16,845.3133662631282,45.43138949,98.89,68.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.975417,0.14,,,,,,,WI,2013-03-01
2013-04-01,0.618141655955643,0.7580840322846307,0.2579143971574222,0.7629179610285484,0.9430680104712199,-0.23713590305993623,0.055416223894843054,-0.19931899756303106,279285.14820098266,93338.0,194901.00121519552,20136.24716014156,45202.88476779204,129561.90230887124,65339.09890632429,143635.0,135876.0,101.735852,101.163,100.944,0.05,0.09,0.12,0.71,1.76,2.93,848.4021777421143,45.50008572,98.89,68.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7559263,0.15,,,,,,,WI,2013-04-01
2013-05-01,0.5034046002011286,0.46412601122231967,0.16764285690011438,-0.43026386315726434,1.1271411190471672,-0.2058717075628625,0.11625227254001655,-0.13626607681678382,279168.69616869616,66210.0,195169.6944196941,20219.450219450253,45233.02148302148,129717.26396726364,65452.43045243045,143882.0,136091.0,101.7779865,101.272,101.01,0.02,0.08,0.12,0.84,1.93,3.11,850.2654012474013,45.56849239,98.89,68.5,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7998244,0.11,,,,,,,WI,2013-05-01
2013-06-01,0.38852816053791295,0.41227047623907115,0.09121912738391898,-1.6746687951923578,1.1441572393578054,-0.15439791810693218,0.10720265361047994,-0.115113421063203,278633.38206820254,65669.0,195144.574623622,20272.05911407911,45195.1535148378,129677.4113881535,65467.16323546846,143999.0,136269.0,102.0202597,101.438,101.228,0.03,0.09,0.14,1.2,2.3,3.4,850.8385868534399,45.63660952,98.89,68.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.0193152,0.09,,,,,,,WI,2013-06-01
2013-07-01,0.45964685005311556,0.43791963548624296,0.11433050855578722,-0.9198880308422853,1.1394504228200335,-0.18679535698379562,0.0672925844814534,-0.1279612161759502,279136.0314672662,69990.0,195296.67469134615,20342.89059468132,45198.43814748309,129755.40350323325,65541.27118811295,144264.0,136391.0,102.2199594,101.567,101.354,0.02,0.07,0.12,1.4,2.58,3.61,852.1820647433748,45.84503148,98.89,68.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.09,,,,,,,WI,2013-07-01
2013-08-01,0.4182844984324173,0.3767445844390367,0.07473940032081526,-1.1691811940527952,1.174947863611346,-0.17180342175221933,0.08487739277867747,-0.11244083240536719,279554.7893475194,62985.0,195390.63474862868,20407.51321708866,45188.35582701211,129794.83137950247,65595.8033691262,144326.0,136635.0,102.4639882,101.685,101.51,0.04,0.07,0.13,1.52,2.74,3.76,853.261959511378,46.05283599,98.89,68.3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.5021949,0.08,,,,,,,WI,2013-08-01
2013-09-01,0.5453547479055604,0.4356171390994753,0.12766063552363374,-0.21835732242696387,1.15655470607637,-0.22860956291592946,0.061737126025185315,-0.13784462768332217,280292.0728705071,53066.0,195707.60709010335,20495.32250123092,45229.91137370753,129982.44707040864,65725.16001969473,144418.0,136819.0,102.5026115,101.799,101.55,0.02,0.04,0.12,1.6,2.81,3.79,855.306450418513,46.26002306,98.89,68.2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.5021949,0.08,,,,,,,WI,2013-09-01
2013-10-01,0.5318647491710312,0.3737591425065226,0.09927475821191716,-1.290785182087073,1.1970194328584989,-0.2272128355642206,0.11250989442067423,-0.12524071146086244,281096.22303926386,55406.0,195769.95799007785,20556.35293577918,45212.68752089027,130000.99945603409,65768.95853404376,143537.0,137039.0,102.557474,102.015,101.722,0.11,0.08,0.12,1.37,2.62,3.68,857.3673688091071,46.47564022,98.89,68.1,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.5899912,0.09,,,,,,,WI,2013-10-01
2013-11-01,0.4892512143420841,0.26744494637343097,0.053555054207516876,-1.1918435162780225,1.2630337824933182,-0.21535635140641213,0.11828236756499462,-0.10233892686680301,281933.6284488766,60774.0,195857.0865355984,20619.80807674316,45201.28875845349,130036.07967465278,65821.00686094562,144479.0,137314.0,102.7466402,102.194,101.881,0.05,0.1,0.12,1.37,2.72,3.8,859.5319875148457,46.69131899,98.89,68.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.7655838,0.08,,,,,,,WI,2013-11-01
2013-12-01,0.48898321971015635,0.29686398619675813,0.03660306511922329,-1.5469319640564574,1.2428797030875596,-0.2127817794549627,0.11111141179180792,-0.10757679570280651,282646.5459817406,79270.0,195859.4882645665,20674.150699424004,45170.44786646292,130014.98765722346,65844.50060734297,144778.0,137368.0,103.0183197,102.333,102.084,0.02,0.1,0.13,1.58,2.9,3.89,861.3194509423613,46.90705937,98.89,68.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,103.0289728,0.09,,,,,,,WI,2013-12-01
2014-01-01,0.7029988570828256,0.44620444458559533,0.10243092751421888,-1.0134135125860835,1.177057808024283,-0.3042870010159104,0.05204635969293514,-0.1593727114020871,281966.0793784264,95487.0,196059.00095817284,20749.04508626811,45159.66287960265,130150.3907650394,65908.61019313372,145150.0,137552.0,103.2680542,102.426,102.278,0.02,0.07,0.12,1.65,2.86,3.77,861.9740122020376,47.03146613,99.746,68.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,103.2923617,0.07,,,,,,,WI,2014-01-01
2014-02-01,0.7693503265765169,0.48083094175043967,0.12790983736683745,0.07126776337494495,1.1646532032286072,-0.3336391796009483,0.11336816111463963,-0.17196821625090308,281656.50426364894,95604.0,196514.73548437533,20850.92210778665,45208.03611561688,130455.87497638512,66058.8605079899,145134.0,137707.0,103.3817294,102.489,102.338,0.05,0.08,0.12,1.52,2.71,3.66,863.7516164083722,47.1556557,99.746,68.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,103.380158,0.07,,,,,,,WI,2014-02-01
2014-03-01,0.615837393120919,0.20758385299396462,0.027673321945425145,-1.1249382237269132,1.3262912959202213,-0.2818140629800447,0.1688600788497342,-0.10676272383781842,280949.4553504383,87212.0,196691.4123830978,20923.05179290639,45192.35832772592,130576.09978253023,66115.31260056756,145648.0,137986.0,103.5928407,102.684,102.543,0.05,0.08,0.13,1.64,2.72,3.62,864.299265088792,47.27962808,99.746,68.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,103.5996488,0.08,,,,,,,WI,2014-03-01
2014-04-01,0.5771409004444314,-0.05961058482251658,-0.02583125763031567,-1.0873830052766598,1.5034711609485614,-0.28524277954886734,0.16527604753711936,-0.05698190220793625,282815.10969223885,71357.0,196878.8810807654,20996.119730327715,45179.38136302583,130703.47731859122,66175.40376217448,145667.0,138298.0,103.7859569,102.879,102.742,0.02,0.05,0.11,1.7,2.71,3.52,867.4675473516186,47.82691806,99.746,67.9,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,103.8191396,0.09,,,,,,,WI,2014-04-01
2014-05-01,0.5673681983773105,-0.219161218372168,-0.06142881839029694,-0.9166895889476528,1.6115646162895474,-0.29377214415657277,0.1579743952598542,-0.029685259049983034,284734.40278277086,53222.0,197107.74978381055,21073.408861985343,45176.1093675609,130858.32871805302,66249.42106575724,145825.0,138501.0,103.9834622,103.061,102.919,0.03,0.05,0.1,1.59,2.56,3.39,870.8227511926855,48.37620981,99.746,67.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,103.9947322,0.09,,,,,,,WI,2014-05-01
2014-06-01,0.5874609557690738,-0.16456914397268974,-0.07650350712073502,-0.42573775094599337,1.5774469669522193,-0.2989900111177609,0.14151587579583194,-0.04216849363534829,286816.8098219052,50701.0,197452.66171689235,21162.95433590528,45199.592371524246,131090.2120638618,66362.44965303053,146247.0,138833.0,104.1208381,103.18,103.035,0.02,0.06,0.1,1.68,2.6,3.42,874.6970202358423,48.92750334,99.746,67.9,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,104.1264267,0.1,,,,,,,WI,2014-06-01
2014-07-01,0.634090946335939,-0.11377736999497379,-0.05765992260873402,-0.737843717800797,1.5505436804968222,-0.31740933272069943,0.131292831497255,-0.056388271037259394,287321.4781794098,54232.0,197722.0418645217,21244.266240268727,45205.93080724876,131271.94172561975,66450.1001389023,146399.0,139076.0,104.2380246,103.369,103.19,0.02,0.06,0.11,1.7,2.54,3.33,874.4211836418258,49.13634518,99.746,68.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,104.2581212,0.09,,,,,,,WI,2014-07-01
2014-08-01,0.791716819877275,0.06380315515926072,0.021157501758928058,0.6323410377607005,1.4554405371302015,-0.37918679706404523,0.12060909822663962,-0.10533704910134997,288293.2888789817,49694.0,198312.9961134749,21360.057635584188,45285.86797445166,131667.1674242641,66645.82868921048,146530.0,139258.0,104.2213464,103.408,103.177,0.03,0.05,0.11,1.63,2.42,3.2,875.5574843230564,49.34388034,99.746,68.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,104.2581212,0.09,,,,,,,WI,2014-08-01
2014-09-01,0.7676522988542878,0.021235489698500087,-0.0051277240912590795,0.3106352877962244,1.4805771724669405,-0.3710441410713889,0.15833825894738726,-0.09452988088727682,289156.03228588315,38704.0,198828.93423640783,21467.762565041718,45348.68172436848,132012.58684340573,66816.34739300214,146778.0,139563.0,104.2288077,103.536,103.203,0.01,0.04,0.11,1.77,2.53,3.26,876.3507393195933,49.55010881,99.746,68.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,104.2581212,0.09,,,,,,,WI,2014-09-01
2014-10-01,0.8353331437312337,-0.008820018496928594,0.00831806374184103,0.7366418640246671,1.5128711197847213,-0.40640989540158745,0.17575904553997407,-0.09736784740622963,289982.58655837347,38012.0,199445.0798142997,21586.286995486687,45434.35067893038,132424.53906070828,67020.54075359169,147427.0,139805.0,104.2081794,103.629,103.177,0.02,0.05,0.1,1.55,2.3,3.04,879.9144192988747,49.77000757,99.746,68.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,104.214223,0.09,,,,,,,WI,2014-10-01
2014-11-01,0.8749442844245453,0.21389970643681527,0.012139519288096054,1.1773288839945126,1.3664136371750786,-0.40712763553562636,0.1807235441754613,-0.14056588315497198,290959.055138477,47888.0,200164.3824322489,21716.029085594968,45543.46350074686,132904.98684099887,67259.39559124979,147404.0,140089.0,104.0119908,103.74,103.098,0.04,0.07,0.13,1.62,2.33,3.04,883.9372371917981,49.9901195,99.746,68.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,104.0386304,0.09,,,,,,,WI,2014-11-01
