variable,factor
Cases1,Pandemic
Cases2,Pandemic
Cases3,Pandemic
Cases4,Pandemic
Cases5,Pandemic
Hosp1,Pandemic
Hosp2,Pandemic
Deaths1,Pandemic
Deaths2,Pandemic
Deaths3,Pandemic
Deaths4,Pandemic
Deaths5,Pandemic
Vax1,Response
Vax3,Response
Gather1,Response
Gather2,Response
Gather3,Response
Gather4,Response
Curfew,Response
Mask1,Response
Mask2,Response
School,Response
ARP,Response
PPP,Response
CARES,Response
Cons1,Consumption
Cons2,Consumption
Cons3,Consumption
Cons4,Consumption
Cons5,Consumption
Employment1,Employment
Employment2,Employment
UI,Employment
PartR,Employment
UR,Employment
CPI,Inflation
CPIU,Inflation
PCE,Inflation
PCEC,Inflation
RPFI,Uncat
FixAss,Uncat
Prod,Uncat
GDP,Uncat
TBill1mo,Uncat
TBill6mo,Uncat
TBill1yr,Uncat
TBill5yr,Uncat
TBill10yr,Uncat
TBill30yr,Uncat
FFR,Uncat
