Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,0.9780090070015188,0.7162731653442521,269789.0409585401,50853.0,205714.74407179025,21876.04652328671,47264.95212312629,136573.72035895122,69140.94851356094,142036.0,133744.0,100.4235391,99.595,99.735,AZ,2012-03-01
2012-04-01,0.4190516950383367,0.9985848988134178,270279.8750325436,54484.0,205975.24015514087,21927.282558628565,47294.97526685759,136752.94895159514,69222.22444742626,141899.0,133827.0,100.5903214,99.746,99.866,AZ,2012-04-01
2012-05-01,-0.3557685193697646,-0.48029399780298254,271429.01537782943,56817.0,206737.44077096356,22031.92353188844,47440.20289913186,137265.2725705235,69472.10972325249,142206.0,133935.0,100.3822825,99.847,99.754,AZ,2012-05-01
2012-06-01,-0.17404801305063478,-0.022017022551832355,272411.23726229643,58684.0,207372.3220733371,22123.03418117628,47556.16625210624,137693.07149161518,69679.20043328252,142391.0,134007.0,100.2993302,99.95,99.704,AZ,2012-06-01
2012-07-01,0.17569321978794417,0.44571558733348127,272322.50518013537,63324.0,207828.4874005745,22195.08221375577,47631.14096651294,138002.20573491076,69826.2398903817,142292.0,134153.0,100.3282977,100.053,99.74,AZ,2012-07-01
2012-08-01,1.5454921082260655,1.7070909095413644,271420.4679823462,52744.0,207662.02015155336,22200.549587809142,47563.52735448413,137897.87659255558,69764.11025064532,142291.0,134330.0,100.9111577,100.116,100.075,AZ,2012-08-01
2012-09-01,1.4426081182192405,1.5488534921912507,270607.99569631094,46769.0,207560.74477729405,22212.83834268124,47511.03318423176,137836.79853355783,69723.9213381285,143044.0,134512.0,101.3926317,100.24,100.379,AZ,2012-09-01
2012-10-01,1.3583596071775732,1.6393634460088586,270407.5740569673,43114.0,207472.4448814853,22226.37742483387,47461.68439663477,137784.3002870566,69688.128039837,143431.0,134671.0,101.6660668,100.482,100.677,AZ,2012-10-01
2012-11-01,-0.18017460629105653,-0.008027391896442637,271191.31157915,37439.0,208139.09955040505,22320.74168314962,47585.10670019581,138233.16005526346,69905.9312122507,143333.0,134834.0,101.4953345,100.591,100.609,AZ,2012-11-01
2012-12-01,0.1263281769440212,0.1292929456196319,271835.5153937153,37414.0,208698.7166104997,22403.64637698448,47684.03368027597,138610.93714274353,70087.7794677562,143330.0,135075.0,101.4830453,100.664,100.593,AZ,2012-12-01
2013-01-01,0.7819174045903168,0.9683567552157362,272115.55061664694,38810.0,208866.99177473283,22454.00365787919,47702.30783732029,138710.5893286505,70156.39417782055,143292.0,135265.0,101.6840618,100.871,100.787,AZ,2013-01-01
2013-02-01,1.5548039463530277,1.7446824411310233,271923.2670330974,36951.0,208672.9902329076,22465.235214256496,47637.95523745502,138569.71740018684,70103.25635651864,143362.0,135544.0,102.2361988,100.992,101.156,AZ,2013-02-01
2013-03-01,-0.5869643391452857,-0.4872429235407094,273082.6643437633,35990.0,209516.3725092306,22588.074002949827,47810.47385248904,139117.7504132722,70398.59734911851,143316.0,135689.0,101.9487188,101.085,101.023,AZ,2013-03-01
2013-04-01,-0.23128835083104604,-0.40070729290862594,273626.4661594547,38720.0,210249.44523696305,22699.087282717843,47957.7785702964,139592.5133407305,70656.89887462354,143635.0,135876.0,101.735852,101.163,100.944,AZ,2013-04-01
2013-05-01,0.3518712179676241,0.36572191637045615,273777.5467775468,42170.0,210680.7989307989,22777.530277530244,48036.25878625879,139866.95211695178,70813.80556380555,143882.0,136091.0,101.7779865,101.272,101.01,AZ,2013-05-01
2013-06-01,0.9624520829406504,1.1588007408399712,273517.1098905442,43952.0,210794.5924052634,22821.551349429013,48042.38945746237,139930.60220492358,70863.94080689138,143999.0,136269.0,102.0202597,101.438,101.228,AZ,2013-06-01
2013-07-01,0.5664584225184304,0.7712406670254168,273994.5471647227,47997.0,211099.3399372497,22886.138353362177,48092.10785958128,140121.0526142698,70978.22976892871,144264.0,136391.0,102.2199594,101.567,101.354,AZ,2013-07-01
2013-08-01,0.7521169492281272,0.8435361500914964,274389.6824614984,46143.0,211340.8531179194,22943.782221784357,48127.47512560338,140269.56293304404,71071.2245099005,144326.0,136635.0,102.4639882,101.685,101.51,AZ,2013-08-01
2013-09-01,0.27425746397802475,0.31089530676507293,275097.48892171343,40929.0,211823.31363860168,23027.52338749385,48217.749876907925,140578.01575578534,71245.2240275726,144418.0,136819.0,102.5026115,101.799,101.55,AZ,2013-09-01
2013-10-01,0.6333066427019638,1.256869844873851,275579.782806735,38505.0,212029.8952045772,23081.20826042223,48245.26651068599,140703.40404894418,71326.40923300761,143537.0,137039.0,102.557474,102.015,101.722,AZ,2013-10-01
2013-11-01,1.0255721129182858,0.5014869752694198,276095.6737108322,36668.0,212262.8605922596,23137.663875828955,48278.84983461097,140846.33870234195,71416.43191566631,144479.0,137314.0,102.7466402,102.194,101.881,AZ,2013-11-01
2013-12-01,0.8522262549219715,1.3205539568340372,276490.7331217429,35134.0,212403.51083421495,23183.946553818423,48291.50503506916,140928.05924532737,71475.35363034364,144778.0,137368.0,103.0183197,102.333,102.084,AZ,2013-12-01
2014-01-01,0.22926451996608543,0.1798045346213022,276368.88350052503,35828.0,212760.11621919376,23262.276996682274,48407.24952254317,141090.58969996774,71669.43689421644,145150.0,137552.0,103.2680542,102.426,102.278,AZ,2014-01-01
2014-02-01,-0.3837976643978478,-0.31925894478718997,276609.2100034523,35920.0,213394.4217527536,23370.872338069243,48586.09053658787,141437.4588780971,71956.88144514579,145134.0,137707.0,103.3817294,102.489,102.338,AZ,2014-02-01
2014-03-01,0.4116049214922828,0.1137717381333263,276457.778687965,38126.0,213725.3396136255,23446.139668236738,48695.766653989056,141583.43329139968,72141.83318217723,145648.0,137986.0,103.5928407,102.684,102.543,AZ,2014-03-01
2014-04-01,0.2938394804223954,0.2672528642325669,276831.02658438904,38161.0,214067.43752960523,23522.480257992545,48807.855275025504,141737.1019965866,72330.2706455653,145667.0,138298.0,103.7859569,102.879,102.742,AZ,2014-04-01
2014-05-01,0.2227258703742394,0.16527200540974718,277262.08636565355,40741.0,214454.04476659605,23603.570121487093,48929.96757968237,141920.50706542717,72533.48102229257,145825.0,138501.0,103.9834622,103.061,102.919,AZ,2014-05-01
