Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,-1.3311702139129205,-0.5861264202064312,274341.1039254023,45908.0,186566.7769589412,20214.292876121723,39308.09144232216,127044.39264049732,59522.38431844388,142036.0,133744.0,100.4235391,99.595,99.735,CO,2012-03-01
2012-04-01,-0.6043071349700759,-0.05674163788409414,274789.7849785382,43346.0,186732.75522533496,20246.5303506699,39373.093278326254,127113.1315963391,59619.62362899615,141899.0,133827.0,100.5903214,99.746,99.866,CO,2012-04-01
2012-05-01,1.542117584118964,0.25526837553221327,275907.7664387723,41912.0,187353.58147710064,20328.08208192153,39533.99529509262,127491.5041000862,59862.07737701415,142206.0,133935.0,100.3822825,99.847,99.754,CO,2012-05-01
2012-06-01,0.6966923046358876,-0.09479493575909158,276855.9937414748,37039.0,187858.91238064677,20397.125491454703,39670.57490170906,127791.21198748297,60067.700393163774,142391.0,134007.0,100.2993302,99.95,99.704,CO,2012-06-01
2012-07-01,-0.031235673602334424,0.052662381158121996,277035.8933226389,37299.0,188202.33440278025,20448.591337477443,39772.96805026399,127980.77501503912,60221.55938774143,142292.0,134153.0,100.3282977,100.053,99.74,CO,2012-07-01
2012-08-01,-2.454992918920496,0.37635424574743326,276387.4094429178,33631.0,187982.18003164328,20438.77092180864,39756.14955450083,127787.2595553335,60194.92047630947,142291.0,134330.0,100.9111577,100.116,100.075,CO,2012-08-01
2012-09-01,-1.8520853708504812,1.0251003387707265,275828.41032486875,32626.0,187821.48158479368,20435.325117803528,39751.71599637374,127634.44047061638,60187.04111417727,143044.0,134512.0,101.3926317,100.24,100.379,CO,2012-09-01
2012-10-01,-1.6211824551149325,1.4212478930402026,276301.3399286828,34811.0,187672.93754614555,20433.11779254447,39749.67801318404,127490.14174041736,60182.79580572851,143431.0,134671.0,101.6660668,100.482,100.677,CO,2012-10-01
2012-11-01,1.4019717839387953,1.438224568586536,277778.3299704798,36294.0,188207.4582459492,20505.24803943981,39892.24787709519,127809.96232941387,60397.49591653501,143333.0,134834.0,101.4953345,100.591,100.609,CO,2012-11-01
2012-12-01,0.5046027675463122,0.8406811406105754,279112.9601463322,38715.0,188645.13435328504,20566.83864682433,40014.31511138946,128063.98059507122,60581.1537582138,143330.0,135075.0,101.4830453,100.664,100.593,CO,2012-12-01
2013-01-01,-0.7861450019092286,0.12902217499954288,280721.22396737675,44039.0,189041.64227529344,20644.792152427097,40065.91458554506,128330.9272690595,60710.70673797216,143292.0,135265.0,101.6840618,100.871,100.787,CO,2013-01-01
2013-02-01,-2.085977336205166,0.5220841459054326,281834.8886867808,43145.0,189108.9011032465,20686.59628033265,40047.91279475928,128374.37555195244,60734.50907509193,143362.0,135544.0,102.2361988,100.992,101.156,CO,2013-02-01
2013-03-01,2.312909379490838,0.8364273814562835,284346.4359601279,40992.0,190115.71622303835,20831.09786880216,40228.957762093785,129055.63584530256,61060.055630895935,143316.0,135689.0,101.9487188,101.085,101.023,CO,2013-03-01
2013-04-01,1.3515211843570272,0.14033271135863887,285178.54784170724,38155.0,191022.94341417024,20964.759338511158,40388.86247160138,129669.28858244867,61353.62181011253,143635.0,135876.0,101.735852,101.163,100.944,CO,2013-04-01
2013-05-01,-0.12113996242378189,-0.13153721172047034,285601.39260139293,35642.0,191656.07365607368,21068.343068343034,40490.80949080952,130096.8798468795,61559.15255915256,143882.0,136091.0,101.7779865,101.272,101.01,CO,2013-05-01
2013-06-01,-1.3003066783331207,0.15118274891731232,285594.2031848896,34474.0,191999.6443671712,21140.000790295177,40531.67107914807,130327.92310427949,61671.67186944325,143999.0,136269.0,102.0202597,101.438,101.228,CO,2013-06-01
2013-07-01,-0.38020819104673875,0.4354385550451375,286896.3895521312,34737.0,192516.32890660455,21230.604284652505,40609.18496885501,130676.48209904593,61839.78925350752,144264.0,136391.0,102.2199594,101.567,101.354,CO,2013-07-01
2013-08-01,-0.6280003884413715,0.5316566480124529,288110.1697698089,31458.0,192974.6822973106,21314.68164056083,40674.48198863826,130985.4529931366,61989.16362919909,144326.0,136635.0,102.4639882,101.685,101.51,CO,2013-08-01
2013-09-01,0.37663772922990457,0.6144746333286002,289650.71393402264,30721.0,193652.58493353028,21422.94436238306,40786.11521418021,131443.4515017233,62209.05957656327,144418.0,136819.0,102.5026115,101.799,101.55,CO,2013-09-01
2013-10-01,-0.709393640006081,0.7675776886839525,290447.0353840201,32880.0,194077.78061776207,21503.18187478294,40844.58950210702,131729.9273182468,62347.77137688996,143537.0,137039.0,102.557474,102.015,101.722,CO,2013-10-01
2013-11-01,-0.722711074602755,0.6444771931346427,291277.83067173173,32624.0,194526.3591837536,21585.90250717337,40908.08557696401,132032.28112536488,62493.988084137374,144479.0,137314.0,102.7466402,102.194,101.881,CO,2013-11-01
2013-12-01,-1.0116575850535776,0.8529822477724632,291980.13400728814,36622.0,194889.50276243096,21659.02590023902,40953.72438384076,132276.6545198072,62612.750284079775,144778.0,137368.0,103.0183197,102.333,102.084,CO,2013-12-01
2014-01-01,-0.08386684035125347,0.5793474387882398,292645.7954463981,44812.0,195482.45142324548,21751.101572837462,41061.35565159008,132669.90457380863,62812.45722442753,145150.0,137552.0,103.2680542,102.426,102.278,CO,2014-01-01
2014-02-01,0.9236813465426839,0.40798108965518765,293692.99119909806,43936.0,196329.8904935928,21871.42931592693,41222.48496811224,133235.8947800426,63093.91428403917,145134.0,137707.0,103.3817294,102.489,102.338,CO,2014-02-01
2014-03-01,-0.5591645626792657,0.12550632071406276,294322.186789932,40257.0,196897.52103995395,21960.51900178461,41324.907599738646,133612.02129838214,63285.426601523264,145648.0,137986.0,103.5928407,102.684,102.543,CO,2014-03-01
2014-04-01,-0.4651655251524944,0.2519686439812612,295484.70927176817,37738.0,197474.41812176813,22050.5408369184,41429.34080836785,133994.47158902884,63479.88164528625,145667.0,138298.0,103.7859569,102.879,102.742,CO,2014-04-01
2014-05-01,-0.3057050846554632,0.261766894362009,296706.14755292994,32873.0,198091.41978967245,22144.947321032367,41542.248434853325,134404.16735491017,63687.195755885696,145825.0,138501.0,103.9834622,103.061,102.919,CO,2014-05-01
2014-06-01,0.18222633311495673,0.24917820791193812,298099.7719221624,30639.0,198823.94332023105,22252.195855777165,41679.42932013394,134892.26961712042,63931.625175911104,146247.0,138833.0,104.1208381,103.18,103.035,CO,2014-06-01
2014-07-01,-0.22032874766070087,0.20657493231070861,299325.6452498624,29696.0,199479.39884355752,22350.75265691123,41800.497464224536,135328.10834383176,64151.25012113577,146399.0,139076.0,104.2380246,103.369,103.19,CO,2014-07-01
2014-08-01,1.1943718912172536,0.16233197935834703,301037.21436625114,26360.0,200458.75857345437,22485.56687375413,41989.46147558729,135983.69791717143,64475.02834934141,146530.0,139258.0,104.2213464,103.408,103.177,CO,2014-08-01
2014-09-01,0.596620228358751,-0.19293127775903962,302634.8071276998,24886.0,201362.2423766751,22611.8669030939,42162.534034863325,136587.81721461585,64774.40093795723,146778.0,139563.0,104.2288077,103.536,103.203,CO,2014-09-01
2014-10-01,0.9403740181704899,-0.3378085913601375,304184.2658732082,24895.0,202367.21039249736,22749.563048612283,42356.85601765248,137260.77517276135,65106.41906626477,147427.0,139805.0,104.2081794,103.629,103.177,CO,2014-10-01
2014-11-01,1.3867932916025074,-0.35203157363166226,305891.6758812004,27270.0,203477.23363531104,22899.09438915721,42573.15046525316,138004.9806979767,65472.24485441036,147404.0,140089.0,104.0119908,103.74,103.098,CO,2014-11-01
2014-12-01,1.9395742125649742,-0.5787897700329558,307837.76957450947,29224.0,204745.9685253546,23066.54361764135,42822.61511560132,138856.80979211195,65889.15873324267,147615.0,140366.0,103.6911544,103.837,102.94,CO,2014-12-01
2015-01-01,3.5855148709752616,-0.5626113167804667,309233.9498039984,32680.0,206646.5622407651,23309.79684119777,43113.52657004831,140223.23882951934,66423.32341124608,148145.0,140562.0,103.0306089,103.816,102.465,CO,2015-01-01
2015-02-01,-2.3089084191795974,-0.5967165162685992,308693.93508324045,33341.0,207256.1724184968,23407.512780040437,43134.77989749985,140713.8797409562,66542.29267754029,148045.0,140829.0,103.2917548,103.92,102.634,CO,2015-02-01
