Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,2.4285659818457606,-1.3117767846635666,57740.011029227455,23450.0,44026.69574372086,4938.085927708427,11125.131598736652,27963.47821727578,16063.19246001905,142036.0,133744.0,100.4235391,99.595,99.735,ID,2012-03-01
2012-04-01,2.1168713331023525,-0.34930656655458137,57857.16193031993,18547.0,44087.477219474094,4951.968971755483,11142.263967049144,27993.2442806694,16094.1995607447,141899.0,133827.0,100.5903214,99.746,99.866,ID,2012-04-01
2012-05-01,0.7670551532678568,1.6694463236665547,58115.23013279337,15113.0,44255.64388395452,4977.912331000932,11186.535544105196,28091.196008848463,16164.406105686689,142206.0,133935.0,100.3822825,99.847,99.754,ID,2012-05-01
2012-06-01,1.0828708790544774,0.9083418662385274,58337.57923453423,13804.0,44396.56382893365,5000.802375030089,11223.922811522109,28171.83864238145,16224.675038112817,142391.0,134007.0,100.2993302,99.95,99.704,ID,2012-06-01
2012-07-01,1.5593301445231056,0.4158274845806261,58534.15547089103,13229.0,44499.22297974735,5019.383731034019,11251.637591070084,28228.20165764317,16270.962836708744,142292.0,134153.0,100.3282977,100.053,99.74,ID,2012-07-01
2012-08-01,3.2385761774862494,-1.479758038172367,58555.116995586606,12366.0,44468.54858855858,5022.899492047633,11245.632442334949,28200.016654176063,16268.46531767844,142291.0,134330.0,100.9111577,100.116,100.075,ID,2012-08-01
2012-09-01,3.0749387136955693,-0.754238163263522,58594.02863148667,10491.0,44451.8026678887,5027.944091891731,11243.1385050658,28180.720070931173,16271.007880134292,143044.0,134512.0,101.3926317,100.24,100.379,ID,2012-09-01
2012-10-01,3.0333991120860033,-0.5513061874319924,58391.357178567785,10804.0,44437.80605302104,5033.258175485294,11241.329532398957,28163.21834513672,16274.504934923863,143431.0,134671.0,101.6660668,100.482,100.677,ID,2012-10-01
2012-11-01,0.9922903462946815,2.171130540210908,58401.56778551949,14675.0,44585.49930920693,5056.870326379022,11280.41891547148,28248.210067356504,16337.198130054669,143333.0,134834.0,101.4953345,100.591,100.609,ID,2012-11-01
2012-12-01,1.2455893124895079,1.2852081739014052,58381.597129024885,18706.0,44710.26811010707,5077.888123428072,11313.70970147028,28318.67028520871,16391.498414402595,143330.0,135075.0,101.4830453,100.664,100.593,ID,2012-12-01
2013-01-01,1.464700361821259,-0.05832051675257954,58874.458015418655,22957.0,44812.92230148729,5105.412073647067,11328.850281616977,28378.668214485297,16434.17140438082,143292.0,135265.0,101.6840618,100.871,100.787,ID,2013-01-01
2013-02-01,2.4424827661614743,-1.1954990696164676,59262.722923010006,21950.0,44837.47874569972,5123.950465946982,11324.307670001484,28389.23708595308,16448.175754939595,143362.0,135544.0,102.2361988,100.992,101.156,ID,2013-02-01
2013-03-01,-0.35168012512206603,2.725106708539247,59944.56707878404,18104.0,45084.78267325263,5167.907308236738,11376.04802866674,28540.85208318898,16543.881096383993,143316.0,135689.0,101.9487188,101.085,101.023,ID,2013-03-01
2013-04-01,-0.09597631990812716,1.5853440788435433,60297.59074338247,14608.0,45308.48787446504,5209.191895176206,11421.811433401985,28677.517567496136,16630.937285359505,143635.0,135876.0,101.735852,101.163,100.944,ID,2013-04-01
2013-05-01,0.7015229955175182,0.24080303892163468,60564.10256410257,11111.0,45467.18146718147,5243.00399300399,11451.184701184737,28773.03402303405,16694.13094413098,143882.0,136091.0,101.7779865,101.272,101.01,ID,2013-05-01
2013-06-01,1.5671284991338577,-0.6443619506914997,60738.92598885685,10388.0,45557.158098549815,5268.848539929665,11463.280910420042,28825.07804164856,16732.080056901254,143999.0,136269.0,102.0202597,101.438,101.228,ID,2013-06-01
2013-07-01,1.055458933484797,0.30279949685722723,60908.26870835558,10503.0,45688.18201551,5299.38795377259,11485.741394847071,28903.11022094175,16785.08823858289,144264.0,136391.0,102.2199594,101.567,101.354,ID,2013-07-01
2013-08-01,1.2254880535735238,0.1581360117334153,61059.14031458309,10187.0,45805.33937543099,5328.276360292906,11504.745016911338,28972.38367320136,16832.98853971697,144326.0,136635.0,102.4639882,101.685,101.51,ID,2013-08-01
