Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5
2012-03-01,129422.56980999652,22151.0,79465.93472702663,10151.551611771194,18629.969418960245,50684.41369629518,28781.52103073144,142036.0,133744.0,100.4235391,99.595,99.735
2012-04-01,129237.9121355947,18554.0,79686.31299274358,10204.273726793905,18679.29692454559,50802.74234140418,28883.570651339494,141899.0,133827.0,100.5903214,99.746,99.866
2012-05-01,129368.11222273493,15695.0,80100.76454745344,10281.843334603122,18774.11766278375,51044.80355006646,29055.96099738687,142206.0,133935.0,100.3822825,99.847,99.754
2012-06-01,129418.07750942792,14830.0,80466.07959560299,10353.14531011795,18857.41795715317,51255.51632833187,29210.56326727112,142391.0,134007.0,100.2993302,99.95,99.704
2012-07-01,129368.29088964609,14538.0,80762.06470155735,10415.530378985362,18924.47028941919,51422.0640331529,29340.000668404555,142292.0,134153.0,100.3282977,100.053,99.74
2012-08-01,128932.16754101124,13209.0,80815.6549254726,10446.565076192855,18934.73228412021,51434.35756515943,29381.297360313063,142291.0,134330.0,100.9111577,100.116,100.075
2012-09-01,128538.63855985814,13129.0,80893.86226202692,10480.628418294664,18950.776556849534,51462.45728688272,29431.404975144207,143044.0,134512.0,101.3926317,100.24,100.379
2012-10-01,128781.88000569445,13534.0,80976.42294996204,10515.112687108274,18967.85429310239,51493.45596975148,29482.96698021067,143431.0,134671.0,101.6660668,100.482,100.677
2012-11-01,129493.05396800188,16467.0,81353.37461525977,10587.770477790258,19053.89511210061,51711.70902536881,29641.66558989087,143333.0,134834.0,101.4953345,100.591,100.609
2012-12-01,130137.88235761932,19529.0,81688.58668098178,10655.015756563578,19130.158162098756,51903.41276231944,29785.17391866233,143330.0,135075.0,101.4830453,100.664,100.593
2013-01-01,130698.70122138766,19529.0,81810.64191479723,10713.923091933186,19140.80354278498,51955.91528007908,29854.72663471807,143292.0,135265.0,101.6840618,100.871,100.787
2013-02-01,131030.2898493416,22608.0,81790.48532299942,10753.967469387184,19118.27606205593,51918.24179155631,29872.24353144321,143362.0,135544.0,102.2361988,100.992,101.156
2013-03-01,132012.2150401394,19932.0,82176.8062718391,10847.356542569514,19190.80308444612,52138.64664482346,30038.159627015637,143316.0,135689.0,101.9487188,101.085,101.023
2013-04-01,132465.36033180077,17281.0,82519.97807365142,10935.13895493214,19253.216304749854,52331.62281396943,30188.3552596819,143635.0,135876.0,101.735852,101.163,100.944
2013-05-01,132728.40972841004,14797.0,82744.73649473645,11007.235257235225,19287.999537999505,52449.50169950173,30295.23479523483,143882.0,136091.0,101.7779865,101.272,101.01
2013-06-01,132791.42134587272,14384.0,82844.61808985657,11062.60125656933,19293.7230805706,52488.29375271664,30356.32433713993,143999.0,136269.0,102.0202597,101.438,101.228
2013-07-01,133408.41670448825,14341.0,83019.35953851521,11127.82097072311,19316.94029507144,52574.598272720665,30444.76126579445,144264.0,136391.0,102.2199594,101.567,101.354
2013-08-01,133984.2708435947,13147.0,83169.08022198138,11189.570814041275,19334.384132926112,52645.12527501398,30523.95494696749,144326.0,136635.0,102.4639882,101.685,101.51
