Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,-1.7729296774631074,-0.2205170066512728,276199.92981400713,107432.0,192990.0736952925,19514.03719857623,44983.53135809896,128492.58033789544,64497.4933573971,142036.0,133744.0,100.4235391,99.595,99.735,WI,2012-03-01
2012-04-01,-0.8544700883109626,0.18079640813973263,276531.28525557544,92495.0,193033.09768422987,19541.251944272022,44982.84367719414,128509.0688188843,64524.02886534626,141899.0,133827.0,100.5903214,99.746,99.866,WI,2012-04-01
2012-05-01,1.4477959456012348,-0.15245806808145268,277536.2057327696,76266.0,193546.34066470212,19616.06385040529,45091.73399897076,128838.60129251255,64707.73937218887,142206.0,133935.0,100.3822825,99.847,99.754,WI,2012-05-01
2012-06-01,0.5952965553218577,-0.3551455677938834,278370.1757201316,75338.0,193940.0625852524,19678.799245767477,45172.76137366606,129088.5521142582,64851.51047099415,142391.0,134007.0,100.2993302,99.95,99.704,WI,2012-06-01
2012-07-01,-0.06039817644260287,0.016001331559634333,278188.8242764518,80437.0,194166.61653632743,19724.57556313084,45214.85027738791,129227.23247109183,64939.38406523632,142292.0,134153.0,100.3282977,100.053,99.74,WI,2012-07-01
2012-08-01,-2.5796432455595255,0.9165946016836437,277176.98392872047,73156.0,193812.2075110337,19711.249895911365,45121.69206428508,128979.2988591886,64832.90865184441,142291.0,134330.0,100.9111577,100.116,100.075,WI,2012-08-01
2012-09-01,-1.8732777772631692,1.3994288539845876,276257.1852678349,63641.0,193519.90954283267,19704.09647436217,45043.06179579395,128772.7761782843,64747.13336454837,143044.0,134512.0,101.3926317,100.24,100.379,WI,2012-09-01
2012-10-01,-1.5659708232774627,1.71821281778735,275706.26856183633,65543.0,193240.89249116776,19698.160122636447,44967.58610871072,128575.1628144134,64665.72967675506,143431.0,134671.0,101.6660668,100.482,100.677,WI,2012-10-01
2012-11-01,1.7620600609036456,1.0382883955718785,276159.5881084198,71594.0,193665.493809368,19763.89620544216,45055.86809662486,128845.73779019076,64819.75601917652,143333.0,134834.0,101.4953345,100.591,100.609,WI,2012-11-01
2012-12-01,0.8059401222434722,0.5558806708853403,276470.5297585319,87066.0,193990.3372998121,19819.47053969958,45120.93286809221,129049.93389202032,64940.4034077918,143330.0,135075.0,101.4830453,100.664,100.593,WI,2012-12-01
2013-01-01,-0.7376431990653121,0.7313044584714141,277176.9176580313,111635.0,194013.8526463403,19877.894305151756,45093.88611626499,129042.08049318564,64971.77215315467,143292.0,135265.0,101.6840618,100.871,100.787,WI,2013-01-01
2013-02-01,-2.1223556770432297,1.3435313456506022,277399.85764561663,105815.0,193701.5929191872,19901.604123004767,44988.97742101309,128811.02785137114,64890.565067816045,143362.0,135544.0,102.2361988,100.992,101.156,WI,2013-02-01
2013-03-01,2.533257665073042,0.5206460815932705,279000.72260772303,98479.0,194352.5979232452,20024.15291567267,45107.871474812666,129220.5982795997,65131.99964364551,143316.0,135689.0,101.9487188,101.085,101.023,WI,2013-03-01
2013-04-01,1.3489054124585727,-0.23379698307444177,279285.14820098266,93338.0,194901.00121519552,20136.24716014156,45202.88476779204,129561.90230887124,65339.09890632429,143635.0,135876.0,101.735852,101.163,100.944,WI,2013-04-01
2013-05-01,-0.35039925520654536,-0.4078216928617403,279168.69616869616,66210.0,195169.6944196941,20219.450219450253,45233.02148302148,129717.26396726364,65452.43045243045,143882.0,136091.0,101.7779865,101.272,101.01,WI,2013-05-01
2013-06-01,-1.4661295637614065,0.2453884186078676,278633.38206820254,65669.0,195144.574623622,20272.05911407911,45195.1535148378,129677.4113881535,65467.16323546846,143999.0,136269.0,102.0202597,101.438,101.228,WI,2013-06-01
2013-07-01,-0.29356190089234696,0.5005690179270298,279136.0314672662,69990.0,195296.67469134615,20342.89059468132,45198.43814748309,129755.40350323325,65541.27118811295,144264.0,136391.0,102.2199594,101.567,101.354,WI,2013-07-01
2013-08-01,-0.5428991521350525,0.6042993490968751,279554.7893475194,62985.0,195390.63474862868,20407.51321708866,45188.35582701211,129794.83137950247,65595.8033691262,144326.0,136635.0,102.4639882,101.685,101.51,WI,2013-08-01
2013-09-01,0.48385988164943416,0.3576456730446222,280292.0728705071,53066.0,195707.60709010335,20495.32250123092,45229.91137370753,129982.44707040864,65725.16001969473,144418.0,136819.0,102.5026115,101.799,101.55,WI,2013-09-01
2013-10-01,-0.6704548671347206,0.6869630576326464,281096.22303926386,55406.0,195769.95799007785,20556.35293577918,45212.68752089027,130000.99945603409,65768.95853404376,143537.0,137039.0,102.557474,102.015,101.722,WI,2013-10-01
