"State","Year","Period","DG_Consumption"
"AL",2012,"M01",14496.4166666667
"AL",2012,"M02",14548.7333333333
"AL",2012,"M03",14601.05
"AL",2012,"M04",14653.3666666667
"AL",2012,"M05",14705.6833333333
"AL",2012,"M06",14758
"AL",2012,"M07",14810.3166666667
"AL",2012,"M08",14862.6333333333
"AL",2012,"M09",14914.95
"AL",2012,"M10",14967.2666666667
"AL",2012,"M11",15019.5833333333
"AL",2012,"M12",15071.9
"AL",2013,"M01",15112.8416666667
"AL",2013,"M02",15153.7833333333
"AL",2013,"M03",15194.725
"AL",2013,"M04",15235.6666666667
"AL",2013,"M05",15276.6083333333
"AL",2013,"M06",15317.55
"AL",2013,"M07",15358.4916666667
"AL",2013,"M08",15399.4333333333
"AL",2013,"M09",15440.375
"AL",2013,"M10",15481.3166666667
"AL",2013,"M11",15522.2583333333
"AL",2013,"M12",15563.2
"AL",2014,"M01",15608.8583333333
"AL",2014,"M02",15654.5166666667
"AL",2014,"M03",15700.175
"AL",2014,"M04",15745.8333333333
"AL",2014,"M05",15791.4916666667
"AL",2014,"M06",15837.15
"AL",2014,"M07",15882.8083333333
"AL",2014,"M08",15928.4666666667
"AL",2014,"M09",15974.125
"AL",2014,"M10",16019.7833333333
"AL",2014,"M11",16065.4416666667
"AL",2014,"M12",16111.1
"AL",2015,"M01",16176.8333333333
"AL",2015,"M02",16242.5666666667
"AL",2015,"M03",16308.3
"AL",2015,"M04",16374.0333333333
"AL",2015,"M05",16439.7666666667
"AL",2015,"M06",16505.5
"AL",2015,"M07",16571.2333333333
"AL",2015,"M08",16636.9666666667
"AL",2015,"M09",16702.7
"AL",2015,"M10",16768.4333333333
"AL",2015,"M11",16834.1666666667
"AL",2015,"M12",16899.9
"AL",2016,"M01",16950.5083333333
"AL",2016,"M02",17001.1166666667
"AL",2016,"M03",17051.725
"AL",2016,"M04",17102.3333333333
"AL",2016,"M05",17152.9416666667
"AL",2016,"M06",17203.55
"AL",2016,"M07",17254.1583333333
"AL",2016,"M08",17304.7666666667
"AL",2016,"M09",17355.375
"AL",2016,"M10",17405.9833333333
"AL",2016,"M11",17456.5916666667
"AL",2016,"M12",17507.2
"AL",2017,"M01",17563.0166666667
"AL",2017,"M02",17618.8333333333
"AL",2017,"M03",17674.65
"AL",2017,"M04",17730.4666666667
"AL",2017,"M05",17786.2833333333
"AL",2017,"M06",17842.1
"AL",2017,"M07",17897.9166666667
"AL",2017,"M08",17953.7333333333
"AL",2017,"M09",18009.55
"AL",2017,"M10",18065.3666666667
"AL",2017,"M11",18121.1833333333
"AL",2017,"M12",18177
"AL",2018,"M01",18243.0416666667
"AL",2018,"M02",18309.0833333333
"AL",2018,"M03",18375.125
"AL",2018,"M04",18441.1666666667
"AL",2018,"M05",18507.2083333333
"AL",2018,"M06",18573.25
"AL",2018,"M07",18639.2916666667
"AL",2018,"M08",18705.3333333333
"AL",2018,"M09",18771.375
"AL",2018,"M10",18837.4166666667
"AL",2018,"M11",18903.4583333333
"AL",2018,"M12",18969.5
"AL",2019,"M01",19016.0166666667
"AL",2019,"M02",19062.5333333333
"AL",2019,"M03",19109.05
