State,Year,Period,Demand_4
AL,2012,M01,37526.41667
AL,2012,M02,37581.63333
AL,2012,M03,37636.85
AL,2012,M04,37692.06667
AL,2012,M05,37747.28333
AL,2012,M06,37802.5
AL,2012,M07,37857.71667
AL,2012,M08,37912.93333
AL,2012,M09,37968.15
AL,2012,M10,38023.36667
AL,2012,M11,38078.58333
AL,2012,M12,38133.8
AL,2013,M01,38192.55
AL,2013,M02,38251.3
AL,2013,M03,38310.05
AL,2013,M04,38368.8
AL,2013,M05,38427.55
AL,2013,M06,38486.3
AL,2013,M07,38545.05
AL,2013,M08,38603.8
AL,2013,M09,38662.55
AL,2013,M10,38721.3
AL,2013,M11,38780.05
AL,2013,M12,38838.8
AL,2014,M01,38905.875
AL,2014,M02,38972.95
AL,2014,M03,39040.025
AL,2014,M04,39107.1
AL,2014,M05,39174.175
AL,2014,M06,39241.25
AL,2014,M07,39308.325
AL,2014,M08,39375.4
AL,2014,M09,39442.475
AL,2014,M10,39509.55
AL,2014,M11,39576.625
AL,2014,M12,39643.7
AL,2015,M01,39608.35
AL,2015,M02,39573
AL,2015,M03,39537.65
AL,2015,M04,39502.3
AL,2015,M05,39466.95
AL,2015,M06,39431.6
AL,2015,M07,39396.25
AL,2015,M08,39360.9
AL,2015,M09,39325.55
AL,2015,M10,39290.2
AL,2015,M11,39254.85
AL,2015,M12,39219.5
AL,2016,M01,39205.2
AL,2016,M02,39190.9
AL,2016,M03,39176.6
AL,2016,M04,39162.3
AL,2016,M05,39148
AL,2016,M06,39133.7
AL,2016,M07,39119.4
AL,2016,M08,39105.1
AL,2016,M09,39090.8
AL,2016,M10,39076.5
AL,2016,M11,39062.2
AL,2016,M12,39047.9
AL,2017,M01,39150.93333
AL,2017,M02,39253.96667
AL,2017,M03,39357
AL,2017,M04,39460.03333
AL,2017,M05,39563.06667
AL,2017,M06,39666.1
AL,2017,M07,39769.13333
AL,2017,M08,39872.16667
AL,2017,M09,39975.2
AL,2017,M10,40078.23333
AL,2017,M11,40181.26667
AL,2017,M12,40284.3
AL,2018,M01,40410.54167
AL,2018,M02,40536.78333
AL,2018,M03,40663.025
AL,2018,M04,40789.26667
AL,2018,M05,40915.50833
AL,2018,M06,41041.75
AL,2018,M07,41167.99167
AL,2018,M08,41294.23333
AL,2018,M09,41420.475
AL,2018,M10,41546.71667
AL,2018,M11,41672.95833
