State,Year,Period,Supply_2
AK,2012,M01,16588
AK,2012,M02,16498
AK,2012,M03,15407
AK,2012,M04,14251
AK,2012,M05,11884
AK,2012,M06,10864
AK,2012,M07,9786
AK,2012,M08,9493
AK,2012,M09,8777
AK,2012,M10,9712
AK,2012,M11,13315
AK,2012,M12,15562
AK,2013,M01,18277
AK,2013,M02,15528
AK,2013,M03,14842
AK,2013,M04,13571
AK,2013,M05,12110
AK,2013,M06,11234
AK,2013,M07,9433
AK,2013,M08,9055
AK,2013,M09,8193
AK,2013,M10,9896
AK,2013,M11,13264
AK,2013,M12,14583
AK,2014,M01,15587
AK,2014,M02,14988
AK,2014,M03,14216
AK,2014,M04,12434
AK,2014,M05,11360
AK,2014,M06,10442
AK,2014,M07,8968
AK,2014,M08,8361
AK,2014,M09,7557
AK,2014,M10,7939
AK,2014,M11,10280
AK,2014,M12,11785
AK,2015,M01,12114
AK,2015,M02,11761
AK,2015,M03,11131
AK,2015,M04,9612
AK,2015,M05,7983
AK,2015,M06,7630
AK,2015,M07,6506
AK,2015,M08,6361
AK,2015,M09,6102
AK,2015,M10,7329
AK,2015,M11,9892
AK,2015,M12,11923
AK,2016,M01,12760
AK,2016,M02,12715
AK,2016,M03,11981
AK,2016,M04,10811
AK,2016,M05,9482
AK,2016,M06,8282
AK,2016,M07,7201
AK,2016,M08,7223
AK,2016,M09,6771
AK,2016,M10,7940
AK,2016,M11,10084
AK,2016,M12,10717
AK,2017,M01,12507
AK,2017,M02,12076
AK,2017,M03,10963
AK,2017,M04,9790
AK,2017,M05,8333
AK,2017,M06,6902
AK,2017,M07,6286
AK,2017,M08,6115
AK,2017,M09,5467
AK,2017,M10,6485
AK,2017,M11,8542
AK,2017,M12,9672
AK,2018,M01,10569
AK,2018,M02,10857
AK,2018,M03,9827
AK,2018,M04,9117
AK,2018,M05,7227
AK,2018,M06,5971
AK,2018,M07,5714
AK,2018,M08,4859
AK,2018,M09,4562
AK,2018,M10,4909
AK,2018,M11,6925
AK,2018,M12,7952
AK,2019,M01,9032
AK,2019,M02,9018
AK,2019,M03,8334
AK,2019,M04,6922
AK,2019,M05,5375
AK,2019,M06,5264
AK,2019,M07,4639
AK,2019,M08,4428
AK,2019,M09,4220
AK,2019,M10,4694
AK,2019,M11,6931
AK,2019,M12,7836
AK,2020,M01,8187
AK,2020,M02,7669
AK,2020,M03,7853
AK,2020,M04,42551
AK,2020,M05,41229
AK,2020,M06,38231
AK,2020,M07,34560
AK,2020,M08,27742
AK,2020,M09,21196
AK,2020,M10,16576
AK,2020,M11,17254
AK,2020,M12,17879
AK,2021,M01,17771
AK,2021,M02,15130
AK,2021,M03,13435
AK,2021,M04,11971
AK,2021,M05,10225
AK,2021,M06,8555
AK,2021,M07,6396
AK,2021,M08,5250
AK,2021,M09,7284
AK,2021,M10,5936
AK,2021,M11,6188
AK,2021,M12,7186
AK,2022,M01,7156
AK,2022,M02,6451
AK,2022,M03,5724
AK,2022,M04,4686
AK,2022,M05,3915
AK,2022,M06,3484
AK,2022,M07,3278
AK,2022,M08,3047
AK,2022,M09,2715
AK,2022,M10,3255
AK,2022,M11,4539
AK,2022,M12,NA
AL,2012,M01,41667
AL,2012,M02,37220
AL,2012,M03,34524
AL,2012,M04,32981
AL,2012,M05,33835
AL,2012,M06,36905
AL,2012,M07,39609
AL,2012,M08,35107
AL,2012,M09,33539
AL,2012,M10,32992
AL,2012,M11,32507
AL,2012,M12,33019
AL,2013,M01,36970
AL,2013,M02,34839
AL,2013,M03,31562
AL,2013,M04,30435
AL,2013,M05,30999
AL,2013,M06,33547
AL,2013,M07,36236
AL,2013,M08,33806
AL,2013,M09,32311
AL,2013,M10,30260
AL,2013,M11,30768
AL,2013,M12,31046
AL,2014,M01,34098
AL,2014,M02,32393
AL,2014,M03,28432
AL,2014,M04,27347
AL,2014,M05,27084
AL,2014,M06,29757
AL,2014,M07,30916
AL,2014,M08,26919
AL,2014,M09,24620
AL,2014,M10,24034
AL,2014,M11,24497
AL,2014,M12,24382
AL,2015,M01,26222
AL,2015,M02,23754
AL,2015,M03,23133
AL,2015,M04,23045
AL,2015,M05,22988
AL,2015,M06,24649
AL,2015,M07,25525
AL,2015,M08,23302
AL,2015,M09,21335
AL,2015,M10,20646
AL,2015,M11,21443
AL,2015,M12,22259
AL,2016,M01,23845
AL,2016,M02,22486
AL,2016,M03,20960
AL,2016,M04,19962
AL,2016,M05,20357
AL,2016,M06,22671
AL,2016,M07,24874
AL,2016,M08,22244
AL,2016,M09,19618
AL,2016,M10,19218
AL,2016,M11,19351
AL,2016,M12,20396
AL,2017,M01,21477
AL,2017,M02,18782
AL,2017,M03,17446
AL,2017,M04,16595
AL,2017,M05,16421
AL,2017,M06,19197
AL,2017,M07,22280
AL,2017,M08,18502
AL,2017,M09,16450
AL,2017,M10,15999
AL,2017,M11,15944
AL,2017,M12,16770
AL,2018,M01,19083
AL,2018,M02,16854
AL,2018,M03,15402
AL,2018,M04,14452
AL,2018,M05,15833
AL,2018,M06,17694
AL,2018,M07,18784
AL,2018,M08,16229
AL,2018,M09,14766
AL,2018,M10,15068
AL,2018,M11,14633
AL,2018,M12,15533
AL,2019,M01,17574
AL,2019,M02,15894
AL,2019,M03,14269
AL,2019,M04,13870
AL,2019,M05,14681
AL,2019,M06,17698
AL,2019,M07,18778
AL,2019,M08,15948
AL,2019,M09,15060
AL,2019,M10,14490
AL,2019,M11,14304
AL,2019,M12,15146
AL,2020,M01,18390
AL,2020,M02,16059
AL,2020,M03,12487
AL,2020,M04,173855
AL,2020,M05,190205
AL,2020,M06,144752
AL,2020,M07,94069
AL,2020,M08,51991
AL,2020,M09,37431
AL,2020,M10,35544
AL,2020,M11,25647
AL,2020,M12,23327
AL,2021,M01,16558
AL,2021,M02,16324
AL,2021,M03,15664
AL,2021,M04,18606
AL,2021,M05,15649
AL,2021,M06,12205
AL,2021,M07,9708
AL,2021,M08,10283
AL,2021,M09,6789
AL,2021,M10,5610
AL,2021,M11,5885
AL,2021,M12,5470
AL,2022,M01,5384
AL,2022,M02,4517
AL,2022,M03,3875
AL,2022,M04,3608
AL,2022,M05,4494
AL,2022,M06,5169
AL,2022,M07,6683
AL,2022,M08,5169
AL,2022,M09,4177
AL,2022,M10,3738
AL,2022,M11,4010
AL,2022,M12,NA
AR,2012,M01,39618
AR,2012,M02,36417
AR,2012,M03,30985
AR,2012,M04,29200
AR,2012,M05,29372
AR,2012,M06,30731
AR,2012,M07,32565
AR,2012,M08,31295
AR,2012,M09,29305
AR,2012,M10,29344
AR,2012,M11,30062
AR,2012,M12,33494
AR,2013,M01,36244
AR,2013,M02,32348
AR,2013,M03,28599
AR,2013,M04,27038
AR,2013,M05,27373
AR,2013,M06,28887
AR,2013,M07,28825
AR,2013,M08,27711
AR,2013,M09,25569
AR,2013,M10,24986
AR,2013,M11,27158
AR,2013,M12,30387
AR,2014,M01,30205
AR,2014,M02,28484
AR,2014,M03,24746
AR,2014,M04,22264
AR,2014,M05,22251
AR,2014,M06,23907
AR,2014,M07,24524
AR,2014,M08,21964
AR,2014,M09,20100
AR,2014,M10,19623
AR,2014,M11,21928
AR,2014,M12,23589
AR,2015,M01,24655
AR,2015,M02,23034
AR,2015,M03,23275
AR,2015,M04,21112
AR,2015,M05,21000
AR,2015,M06,22644
AR,2015,M07,22344
AR,2015,M08,20705
AR,2015,M09,18931
AR,2015,M10,18173
AR,2015,M11,19927
AR,2015,M12,20916
AR,2016,M01,21772
AR,2016,M02,20680
AR,2016,M03,18371
AR,2016,M04,15964
AR,2016,M05,16536
AR,2016,M06,18565
AR,2016,M07,17830
AR,2016,M08,16372
AR,2016,M09,13861
AR,2016,M10,13273
AR,2016,M11,14398
AR,2016,M12,15699
AR,2017,M01,17439
AR,2017,M02,15216
AR,2017,M03,12988
AR,2017,M04,12391
AR,2017,M05,12208
AR,2017,M06,14553
AR,2017,M07,15044
AR,2017,M08,13980
AR,2017,M09,11697
AR,2017,M10,11844
AR,2017,M11,12255
AR,2017,M12,13761
AR,2018,M01,15485
AR,2018,M02,14370
AR,2018,M03,12116
AR,2018,M04,11041
AR,2018,M05,10725
AR,2018,M06,12422
AR,2018,M07,13112
AR,2018,M08,10737
AR,2018,M09,9406
AR,2018,M10,9073
AR,2018,M11,10157
AR,2018,M12,11133
AR,2019,M01,13132
AR,2019,M02,12466
AR,2019,M03,10414
AR,2019,M04,9668
AR,2019,M05,9812
AR,2019,M06,12631
AR,2019,M07,13811
AR,2019,M08,10912
AR,2019,M09,10201
AR,2019,M10,9829
AR,2019,M11,10763
AR,2019,M12,11754
AR,2020,M01,12331
AR,2020,M02,12546
AR,2020,M03,10988
AR,2020,M04,109159
AR,2020,M05,118828
AR,2020,M06,109529
AR,2020,M07,92079
AR,2020,M08,47722
AR,2020,M09,40392
AR,2020,M10,26166
AR,2020,M11,24169
AR,2020,M12,22599
AR,2021,M01,22502
AR,2021,M02,18884
AR,2021,M03,22481
AR,2021,M04,19944
AR,2021,M05,20511
AR,2021,M06,21099
AR,2021,M07,18599
AR,2021,M08,17071
AR,2021,M09,13507
AR,2021,M10,11010
AR,2021,M11,10880
AR,2021,M12,8649
AR,2022,M01,10434
AR,2022,M02,9724
AR,2022,M03,8153
AR,2022,M04,6532
AR,2022,M05,7025
AR,2022,M06,8797
AR,2022,M07,9964
AR,2022,M08,8512
AR,2022,M09,7230
AR,2022,M10,6739
AR,2022,M11,7332
AR,2022,M12,NA
AZ,2012,M01,54975
AZ,2012,M02,53209
AZ,2012,M03,50853
AZ,2012,M04,54484
AZ,2012,M05,56817
AZ,2012,M06,58684
AZ,2012,M07,63324
AZ,2012,M08,52744
AZ,2012,M09,46769
AZ,2012,M10,43114
AZ,2012,M11,37439
AZ,2012,M12,37414
AZ,2013,M01,38810
AZ,2013,M02,36951
AZ,2013,M03,35990
AZ,2013,M04,38720
AZ,2013,M05,42170
AZ,2013,M06,43952
AZ,2013,M07,47997
AZ,2013,M08,46143
AZ,2013,M09,40929
AZ,2013,M10,38505
AZ,2013,M11,36668
AZ,2013,M12,35134
AZ,2014,M01,35828
AZ,2014,M02,35920
AZ,2014,M03,38126
AZ,2014,M04,38161
AZ,2014,M05,40741
AZ,2014,M06,42870
AZ,2014,M07,45607
AZ,2014,M08,41921
AZ,2014,M09,37469
AZ,2014,M10,33583
AZ,2014,M11,31151
AZ,2014,M12,29914
AZ,2015,M01,29755
AZ,2015,M02,28910
AZ,2015,M03,28882
AZ,2015,M04,33539
AZ,2015,M05,34185
AZ,2015,M06,36521
AZ,2015,M07,40154
AZ,2015,M08,38119
AZ,2015,M09,34517
AZ,2015,M10,30637
AZ,2015,M11,28235
AZ,2015,M12,26950
AZ,2016,M01,27286
AZ,2016,M02,26868
AZ,2016,M03,26381
AZ,2016,M04,30814
AZ,2016,M05,33320
AZ,2016,M06,34667
AZ,2016,M07,38289
AZ,2016,M08,36845
AZ,2016,M09,31407
AZ,2016,M10,29252
AZ,2016,M11,28167
AZ,2016,M12,25041
AZ,2017,M01,26035
AZ,2017,M02,25458
AZ,2017,M03,24399
AZ,2017,M04,27992
AZ,2017,M05,30534
AZ,2017,M06,31106
AZ,2017,M07,34464
AZ,2017,M08,33657
AZ,2017,M09,28895
AZ,2017,M10,26438
AZ,2017,M11,22185
AZ,2017,M12,22013
AZ,2018,M01,22282
AZ,2018,M02,22696
AZ,2018,M03,22176
AZ,2018,M04,25061
AZ,2018,M05,27843
AZ,2018,M06,28561
AZ,2018,M07,31921
AZ,2018,M08,30434
AZ,2018,M09,26223
AZ,2018,M10,23787
AZ,2018,M11,19652
AZ,2018,M12,19430
AZ,2019,M01,19599
AZ,2019,M02,19586
AZ,2019,M03,19252
AZ,2019,M04,21279
AZ,2019,M05,25856
AZ,2019,M06,26838
AZ,2019,M07,29060
AZ,2019,M08,28028
AZ,2019,M09,24563
AZ,2019,M10,22113
AZ,2019,M11,19434
AZ,2019,M12,17852
AZ,2020,M01,18744
AZ,2020,M02,18497
AZ,2020,M03,18629
AZ,2020,M04,198435
AZ,2020,M05,220462
AZ,2020,M06,218227
AZ,2020,M07,231102
AZ,2020,M08,206423
AZ,2020,M09,190599
AZ,2020,M10,124738
AZ,2020,M11,91534
AZ,2020,M12,75122
AZ,2021,M01,70362
AZ,2021,M02,65018
AZ,2021,M03,48684
AZ,2021,M04,51926
AZ,2021,M05,54755
AZ,2021,M06,46072
AZ,2021,M07,41435
AZ,2021,M08,35829
AZ,2021,M09,26508
AZ,2021,M10,19996
AZ,2021,M11,16840
AZ,2021,M12,12495
AZ,2022,M01,13427
AZ,2022,M02,13100
AZ,2022,M03,13321
AZ,2022,M04,15444
AZ,2022,M05,18332
AZ,2022,M06,20948
AZ,2022,M07,23996
AZ,2022,M08,24005
AZ,2022,M09,21680
AZ,2022,M10,19686
AZ,2022,M11,19128
AZ,2022,M12,NA
CA,2012,M01,564618
CA,2012,M02,554666
CA,2012,M03,559405
CA,2012,M04,542349
CA,2012,M05,506456
CA,2012,M06,474499
CA,2012,M07,509437
CA,2012,M08,491712
CA,2012,M09,461216
CA,2012,M10,443676
CA,2012,M11,383845
CA,2012,M12,486565
CA,2013,M01,509897
CA,2013,M02,478456
CA,2013,M03,522515
CA,2013,M04,488189
CA,2013,M05,470484
CA,2013,M06,438138
CA,2013,M07,502111
CA,2013,M08,456791
CA,2013,M09,355206
CA,2013,M10,397767
CA,2013,M11,457200
CA,2013,M12,495179
CA,2014,M01,486750
CA,2014,M02,529787
CA,2014,M03,502327
CA,2014,M04,473036
CA,2014,M05,428829
CA,2014,M06,412653
CA,2014,M07,419562
CA,2014,M08,403807
CA,2014,M09,384932
CA,2014,M10,384158
CA,2014,M11,384856
CA,2014,M12,427478
CA,2015,M01,390097
CA,2015,M02,419982
CA,2015,M03,457026
CA,2015,M04,409173
CA,2015,M05,374140
CA,2015,M06,357044
CA,2015,M07,372470
CA,2015,M08,361595
CA,2015,M09,337712
CA,2015,M10,328119
CA,2015,M11,349804
CA,2015,M12,386475
CA,2016,M01,404600
CA,2016,M02,382974
CA,2016,M03,415102
CA,2016,M04,392733
CA,2016,M05,357999
CA,2016,M06,341347
CA,2016,M07,349744
CA,2016,M08,347608
CA,2016,M09,321497
CA,2016,M10,318141
CA,2016,M11,352407
CA,2016,M12,363031
CA,2017,M01,381886
CA,2017,M02,399684
CA,2017,M03,415071
CA,2017,M04,383248
CA,2017,M05,350150
CA,2017,M06,327103
CA,2017,M07,340363
CA,2017,M08,336839
CA,2017,M09,309150
CA,2017,M10,301414
CA,2017,M11,253566
CA,2017,M12,347829
CA,2018,M01,379170
CA,2018,M02,391196
CA,2018,M03,398593
CA,2018,M04,386215
CA,2018,M05,334376
CA,2018,M06,300846
CA,2018,M07,320668
CA,2018,M08,303121
CA,2018,M09,281545
CA,2018,M10,269451
CA,2018,M11,258245
CA,2018,M12,335129
CA,2019,M01,370565
CA,2019,M02,385265
CA,2019,M03,383749
CA,2019,M04,360843
CA,2019,M05,318309
CA,2019,M06,305250
CA,2019,M07,305679
CA,2019,M08,307060
CA,2019,M09,278447
CA,2019,M10,258064
CA,2019,M11,290913
CA,2019,M12,324723
CA,2020,M01,335659
CA,2020,M02,348480
CA,2020,M03,421018
CA,2020,M04,1886140
CA,2020,M05,2151562
CA,2020,M06,2775603
CA,2020,M07,3137136
CA,2020,M08,2832794
CA,2020,M09,2796328
CA,2020,M10,1645422
CA,2020,M11,1272632
CA,2020,M12,1002050
CA,2021,M01,813339
CA,2021,M02,788843
CA,2021,M03,675274
CA,2021,M04,575907
CA,2021,M05,566393
CA,2021,M06,589958
CA,2021,M07,830659
CA,2021,M08,635571
CA,2021,M09,491251
CA,2021,M10,460329
CA,2021,M11,431742
CA,2021,M12,352925
CA,2022,M01,409380
CA,2022,M02,421936
CA,2022,M03,395259
CA,2022,M04,342966
CA,2022,M05,328068
CA,2022,M06,294648
CA,2022,M07,314321
CA,2022,M08,305489
CA,2022,M09,292323
CA,2022,M10,287788
CA,2022,M11,304875
CA,2022,M12,NA
CO,2012,M01,50066
CO,2012,M02,47409
CO,2012,M03,45908
CO,2012,M04,43346
CO,2012,M05,41912
CO,2012,M06,37039
CO,2012,M07,37299
CO,2012,M08,33631
CO,2012,M09,32626
CO,2012,M10,34811
CO,2012,M11,36294
CO,2012,M12,38715
CO,2013,M01,44039
CO,2013,M02,43145
CO,2013,M03,40992
CO,2013,M04,38155
CO,2013,M05,35642
CO,2013,M06,34474
CO,2013,M07,34737
CO,2013,M08,31458
CO,2013,M09,30721
CO,2013,M10,32880
CO,2013,M11,32624
CO,2013,M12,36622
CO,2014,M01,44812
