State,Year,Period,Monetary_4
AK,2012,M01,99.288
AK,2012,M02,99.426
AK,2012,M03,99.595
AK,2012,M04,99.746
AK,2012,M05,99.847
AK,2012,M06,99.95
AK,2012,M07,100.053
AK,2012,M08,100.116
AK,2012,M09,100.24
AK,2012,M10,100.482
AK,2012,M11,100.591
AK,2012,M12,100.664
AK,2013,M01,100.871
AK,2013,M02,100.992
AK,2013,M03,101.085
AK,2013,M04,101.163
AK,2013,M05,101.272
AK,2013,M06,101.438
AK,2013,M07,101.567
AK,2013,M08,101.685
AK,2013,M09,101.799
AK,2013,M10,102.015
AK,2013,M11,102.194
AK,2013,M12,102.333
AK,2014,M01,102.426
AK,2014,M02,102.489
AK,2014,M03,102.684
AK,2014,M04,102.879
AK,2014,M05,103.061
AK,2014,M06,103.18
AK,2014,M07,103.369
AK,2014,M08,103.408
AK,2014,M09,103.536
AK,2014,M10,103.629
AK,2014,M11,103.74
AK,2014,M12,103.837
AK,2015,M01,103.816
AK,2015,M02,103.92
AK,2015,M03,104.08
AK,2015,M04,104.256
AK,2015,M05,104.385
AK,2015,M06,104.511
AK,2015,M07,104.603
AK,2015,M08,104.679
AK,2015,M09,104.814
AK,2015,M10,104.829
AK,2015,M11,104.94
AK,2015,M12,105.009
AK,2016,M01,105.204
AK,2016,M02,105.369
AK,2016,M03,105.521
AK,2016,M04,105.786
AK,2016,M05,105.948
AK,2016,M06,106.077
AK,2016,M07,106.257
AK,2016,M08,106.456
AK,2016,M09,106.579
AK,2016,M10,106.737
AK,2016,M11,106.789
AK,2016,M12,106.929
AK,2017,M01,107.205
AK,2017,M02,107.414
AK,2017,M03,107.364
AK,2017,M04,107.62
AK,2017,M05,107.719
AK,2017,M06,107.876
AK,2017,M07,107.941
AK,2017,M08,108.074
AK,2017,M09,108.215
AK,2017,M10,108.499
AK,2017,M11,108.582
AK,2017,M12,108.742
AK,2018,M01,109.08
AK,2018,M02,109.311
AK,2018,M03,109.562
AK,2018,M04,109.75
AK,2018,M05,109.956
AK,2018,M06,110.073
AK,2018,M07,110.219
AK,2018,M08,110.246
AK,2018,M09,110.476
AK,2018,M10,110.626
AK,2018,M11,110.831
AK,2018,M12,111.009
AK,2019,M01,111.134
AK,2019,M02,111.207
AK,2019,M03,111.35
AK,2019,M04,111.65
AK,2019,M05,111.773
AK,2019,M06,112
AK,2019,M07,112.157
AK,2019,M08,112.27
AK,2019,M09,112.339
AK,2019,M10,112.496
AK,2019,M11,112.524
AK,2019,M12,112.772
AK,2020,M01,113.008
AK,2020,M02,113.206
AK,2020,M03,113.143
AK,2020,M04,112.668
AK,2020,M05,112.819
AK,2020,M06,113.051
AK,2020,M07,113.425
AK,2020,M08,113.782
AK,2020,M09,113.979
AK,2020,M10,114.017
AK,2020,M11,114.048
AK,2020,M12,114.422
AK,2021,M01,114.782
AK,2021,M02,114.975
AK,2021,M03,115.457
AK,2021,M04,116.186
AK,2021,M05,116.787
AK,2021,M06,117.349
AK,2021,M07,117.811
AK,2021,M08,118.199
AK,2021,M09,118.446
AK,2021,M10,118.929
AK,2021,M11,119.543
AK,2021,M12,120.193
AK,2022,M01,120.761
AK,2022,M02,121.205
AK,2022,M03,121.651
AK,2022,M04,122.03
AK,2022,M05,122.488
AK,2022,M06,123.258
