State,Year,Period,Supply_5
AK,2012,M01,9.173313542
AK,2012,M02,9.201242155
AK,2012,M03,9.227813944
AK,2012,M04,9.27137553
AK,2012,M05,9.314690218
AK,2012,M06,9.357758009
AK,2012,M07,9.322030892
AK,2012,M08,9.286264407
AK,2012,M09,9.250458556
AK,2012,M10,9.253871166
AK,2012,M11,9.256666956
AK,2012,M12,9.258845927
AK,2013,M01,9.28268834
AK,2013,M02,9.306200893
AK,2013,M03,9.329383589
AK,2013,M04,9.273114193
AK,2013,M05,9.216406764
AK,2013,M06,9.159261301
AK,2013,M07,9.238412062
AK,2013,M08,9.317865648
AK,2013,M09,9.39762206
AK,2013,M10,9.337461566
AK,2013,M11,9.276379486
AK,2013,M12,9.21437582
AK,2014,M01,9.253959277
AK,2014,M02,9.293601094
AK,2014,M03,9.333301271
AK,2014,M04,9.388059455
AK,2014,M05,9.442233951
AK,2014,M06,9.49582476
AK,2014,M07,9.472527549
AK,2014,M08,9.448167941
AK,2014,M09,9.422745935
AK,2014,M10,9.341529545
AK,2014,M11,9.259402262
AK,2014,M12,9.176364084
AK,2015,M01,9.005404449
AK,2015,M02,8.834107304
AK,2015,M03,8.662472648
AK,2015,M04,8.657313293
AK,2015,M05,8.651982078
AK,2015,M06,8.646479
AK,2015,M07,8.596865846
AK,2015,M08,8.546842577
AK,2015,M09,8.496409193
AK,2015,M10,8.444246775
AK,2015,M11,8.392163697
AK,2015,M12,8.340159961
AK,2016,M01,8.310247246
AK,2016,M02,8.280155583
AK,2016,M03,8.249884973
AK,2016,M04,8.274150337
AK,2016,M05,8.298449543
AK,2016,M06,8.322782591
AK,2016,M07,8.339698082
AK,2016,M08,8.356564909
AK,2016,M09,8.373383071
AK,2016,M10,8.410941146
AK,2016,M11,8.448581171
AK,2016,M12,8.486303145
AK,2017,M01,8.551679305
AK,2017,M02,8.617300635
AK,2017,M03,8.683167136
AK,2017,M04,8.693775734
AK,2017,M05,8.704267925
AK,2017,M06,8.71464371
AK,2017,M07,8.735354089
AK,2017,M08,8.756082802
AK,2017,M09,8.776829852
AK,2017,M10,8.821935548
AK,2017,M11,8.866811045
AK,2017,M12,8.911456341
AK,2018,M01,8.927508522
AK,2018,M02,8.943353239
AK,2018,M03,8.958990494
AK,2018,M04,8.969856467
AK,2018,M05,8.980381743
AK,2018,M06,8.990566323
AK,2018,M07,9.002765782
AK,2018,M08,9.014966351
AK,2018,M09,9.02716803
AK,2018,M10,9.015959179
AK,2018,M11,9.00472234
AK,2018,M12,8.993457512
AK,2019,M01,8.929107242
AK,2019,M02,8.864659983
AK,2019,M03,8.800115736
AK,2019,M04,8.81176058
AK,2019,M05,8.823070962
AK,2019,M06,8.834046881
AK,2019,M07,8.855473192
AK,2019,M08,8.876843559
AK,2019,M09,8.898157981
AK,2019,M10,8.857323791
AK,2019,M11,8.816557894
AK,2019,M12,8.775860291
AK,2020,M01,8.684360197
AK,2020,M02,8.593213711
AK,2020,M03,8.502420836
AK,2020,M04,8.167877178
AK,2020,M05,7.839088549
AK,2020,M06,7.516054948
AK,2020,M07,7.63983643
AK,2020,M08,7.761819979
AK,2020,M09,7.882005596
AK,2020,M10,8.061101251
AK,2020,M11,8.242152329
AK,2020,M12,8.425158831
AK,2021,M01,8.500339196
AK,2021,M02,8.575664204
AK,2021,M03,8.651133856
AK,2021,M04,8.720056447
AK,2021,M05,8.789242013
AK,2021,M06,8.858690557
AK,2021,M07,8.895656556
AK,2021,M08,8.932541251
AK,2021,M09,8.969344642
AK,2021,M10,9.019473415
AK,2021,M11,9.069645494
AK,2021,M12,9.119860879
AK,2022,M01,NA
AK,2022,M02,NA
AK,2022,M03,NA
AK,2022,M04,NA
AK,2022,M05,NA
AK,2022,M06,NA
AK,2022,M07,NA
AK,2022,M08,NA
AK,2022,M09,NA
AK,2022,M10,NA
AK,2022,M11,NA
AK,2022,M12,NA
AL,2012,M01,29.30111952
AL,2012,M02,29.51271824
AL,2012,M03,29.72247837
AL,2012,M04,29.922306
AL,2012,M05,30.12213338
AL,2012,M06,30.32196053
AL,2012,M07,30.21208231
AL,2012,M08,30.10208229
AL,2012,M09,29.99196046
AL,2012,M10,30.1333712
AL,2012,M11,30.27433142
AL,2012,M12,30.41484112
AL,2013,M01,30.70538064
AL,2013,M02,30.99724705
AL,2013,M03,31.29044037
AL,2013,M04,31.31220764
AL,2013,M05,31.33363806
AL,2013,M06,31.35473163
AL,2013,M07,31.51563629
AL,2013,M08,31.6763192
AL,2013,M09,31.83678039
AL,2013,M10,31.81172218
AL,2013,M11,31.78514793
AL,2013,M12,31.75705765
AL,2014,M01,31.74547161
AL,2014,M02,31.73309943
AL,2014,M03,31.71994111
AL,2014,M04,32.01513773
AL,2014,M05,32.31035493
AL,2014,M06,32.60559272
AL,2014,M07,32.76821802
AL,2014,M08,32.93026971
AL,2014,M09,33.09174777
AL,2014,M10,33.19754122
AL,2014,M11,33.30315948
AL,2014,M12,33.40860255
AL,2015,M01,33.33513056
AL,2015,M02,33.26146145
AL,2015,M03,33.1875952
AL,2015,M04,33.29857641
AL,2015,M05,33.40964761
AL,2015,M06,33.52080881
AL,2015,M07,33.62771756
AL,2015,M08,33.73470095
AL,2015,M09,33.84175898
AL,2015,M10,33.77689015
AL,2015,M11,33.71208321
AL,2015,M12,33.64733816
AL,2016,M01,33.71995221
AL,2016,M02,33.79259424
AL,2016,M03,33.86526427
AL,2016,M04,33.94610156
AL,2016,M05,34.02701033
AL,2016,M06,34.1079906
AL,2016,M07,34.14079215
AL,2016,M08,34.17317525
AL,2016,M09,34.2051399
AL,2016,M10,34.30008981
AL,2016,M11,34.39507186
AL,2016,M12,34.49008607
AL,2017,M01,34.65956884
AL,2017,M02,34.82920034
AL,2017,M03,34.99898058
AL,2017,M04,35.05604059
AL,2017,M05,35.11272476
AL,2017,M06,35.16903311
AL,2017,M07,35.17750532
AL,2017,M08,35.18578363
AL,2017,M09,35.19386803
AL,2017,M10,35.43112942
AL,2017,M11,35.66825402
AL,2017,M12,35.90524183
AL,2018,M01,36.06456938
AL,2018,M02,36.22389719
AL,2018,M03,36.38322526
AL,2018,M04,36.50292717
AL,2018,M05,36.62200042
AL,2018,M06,36.740445
AL,2018,M07,36.71349584
AL,2018,M08,36.68635029
AL,2018,M09,36.65900836
AL,2018,M10,36.73540118
AL,2018,M11,36.81186816
AL,2018,M12,36.88840929
AL,2019,M01,36.90907934
AL,2019,M02,36.92974292
AL,2019,M03,36.95040003
AL,2019,M04,37.0843483
AL,2019,M05,37.21775228
AL,2019,M06,37.35061198
AL,2019,M07,37.46022672
AL,2019,M08,37.56973265
AL,2019,M09,37.67912978
AL,2019,M10,37.58932419
