State,Year,Period,Supply_3,Supply_4
AK,2012,M01,68.6,7.5
AK,2012,M02,68.4,7.4
AK,2012,M03,68.3,7.4
AK,2012,M04,68.2,7.3
AK,2012,M05,68.1,7.3
AK,2012,M06,68,7.3
AK,2012,M07,67.9,7.2
AK,2012,M08,67.9,7.2
AK,2012,M09,67.9,7.1
AK,2012,M10,67.9,7.1
AK,2012,M11,67.9,7.1
AK,2012,M12,67.8,7.1
AK,2013,M01,67.7,7.1
AK,2013,M02,67.7,7
AK,2013,M03,67.6,7
AK,2013,M04,67.6,7
AK,2013,M05,67.5,7
AK,2013,M06,67.6,7
AK,2013,M07,67.5,7
AK,2013,M08,67.5,7
AK,2013,M09,67.5,7
AK,2013,M10,67.4,7
AK,2013,M11,67.4,6.9
AK,2013,M12,67.4,6.9
AK,2014,M01,67.4,6.9
AK,2014,M02,67.5,6.9
AK,2014,M03,67.6,6.9
AK,2014,M04,67.6,6.9
AK,2014,M05,67.6,6.9
AK,2014,M06,67.6,6.9
AK,2014,M07,67.5,6.8
AK,2014,M08,67.4,6.8
AK,2014,M09,67.3,6.7
AK,2014,M10,67.2,6.5
AK,2014,M11,67.2,6.4
AK,2014,M12,67.1,6.3
AK,2015,M01,67.1,6.2
AK,2015,M02,67,6.3
AK,2015,M03,67,6.3
AK,2015,M04,67,6.3
AK,2015,M05,66.9,6.3
AK,2015,M06,66.8,6.3
AK,2015,M07,66.8,6.2
AK,2015,M08,66.6,6.2
AK,2015,M09,66.6,6.2
AK,2015,M10,66.5,6.3
AK,2015,M11,66.4,6.3
AK,2015,M12,66.4,6.4
AK,2016,M01,66.4,6.4
AK,2016,M02,66.4,6.5
AK,2016,M03,66.4,6.5
AK,2016,M04,66.3,6.5
AK,2016,M05,66.3,6.6
AK,2016,M06,66.2,6.6
AK,2016,M07,66.2,6.6
AK,2016,M08,66.1,6.7
AK,2016,M09,66.1,6.7
AK,2016,M10,66.2,6.7
AK,2016,M11,66.2,6.7
AK,2016,M12,66.2,6.7
AK,2017,M01,66.2,6.6
AK,2017,M02,66.2,6.6
AK,2017,M03,66.2,6.5
AK,2017,M04,66.2,6.5
AK,2017,M05,66.2,6.5
AK,2017,M06,66.1,6.5
AK,2017,M07,66.1,6.5
AK,2017,M08,66,6.5
AK,2017,M09,65.8,6.5
AK,2017,M10,65.7,6.5
AK,2017,M11,65.6,6.5
AK,2017,M12,65.5,6.4
AK,2018,M01,65.4,6.3
AK,2018,M02,65.3,6.2
AK,2018,M03,65.3,6.1
AK,2018,M04,65.3,6
AK,2018,M05,65.3,5.9
AK,2018,M06,65.2,5.9
AK,2018,M07,65.2,5.9
AK,2018,M08,65.1,5.8
AK,2018,M09,65,5.8
AK,2018,M10,64.9,5.9
AK,2018,M11,64.8,5.9
AK,2018,M12,64.7,5.9
AK,2019,M01,64.7,5.8
AK,2019,M02,64.7,5.7
AK,2019,M03,64.7,5.6
AK,2019,M04,64.7,5.5
AK,2019,M05,64.8,5.5
AK,2019,M06,64.8,5.5
AK,2019,M07,64.9,5.5
AK,2019,M08,64.9,5.5
AK,2019,M09,64.8,5.4
AK,2019,M10,64.8,5.3
AK,2019,M11,64.7,5.2
AK,2019,M12,64.7,5.2
AK,2020,M01,64.7,5.2
AK,2020,M02,64.6,5.2
AK,2020,M03,64.5,5.2
AK,2020,M04,62,11.9
AK,2020,M05,63.5,11.9
AK,2020,M06,63.7,11.3
AK,2020,M07,64.4,11.2
AK,2020,M08,62.7,7.8
AK,2020,M09,63.2,7.7
AK,2020,M10,63.4,7.3
AK,2020,M11,63.7,7.2
AK,2020,M12,64,7.3
AK,2021,M01,64.1,7.1
AK,2021,M02,64.3,7
AK,2021,M03,64.5,7
AK,2021,M04,64.7,7
AK,2021,M05,64.8,6.8
AK,2021,M06,65,6.8
AK,2021,M07,65,6.5
AK,2021,M08,65.2,6.3
AK,2021,M09,65.3,5.9
AK,2021,M10,65.6,5.7
AK,2021,M11,65.6,5.5
AK,2021,M12,65.6,5.5
AK,2022,M01,66,5.6
AK,2022,M02,66.1,5.3
AK,2022,M03,66,4.9
AK,2022,M04,66.1,4.8
AK,2022,M05,66.2,4.6
AK,2022,M06,66.1,4.6
AK,2022,M07,66,4.5
AK,2022,M08,65.9,4.6
AK,2022,M09,65.7,4.4
AK,2022,M10,NA,NA
AK,2022,M11,NA,NA
AK,2022,M12,NA,NA
AL,2012,M01,58.3,8.5
AL,2012,M02,58.2,8.4
AL,2012,M03,58.1,8.4
AL,2012,M04,58.1,8.4
AL,2012,M05,58.1,8.4
AL,2012,M06,58.1,8.3
AL,2012,M07,58.2,8.2
AL,2012,M08,58.2,8.1
AL,2012,M09,58.2,7.9
AL,2012,M10,58.2,7.8
AL,2012,M11,58.2,7.8
AL,2012,M12,58.1,7.7
AL,2013,M01,58.1,7.6
AL,2013,M02,58,7.6
AL,2013,M03,57.9,7.5
AL,2013,M04,57.8,7.4
AL,2013,M05,57.8,7.3
AL,2013,M06,57.8,7.3
AL,2013,M07,57.7,7.2
AL,2013,M08,57.7,7.2
AL,2013,M09,57.6,7.2
AL,2013,M10,57.5,7.2
AL,2013,M11,57.4,7.2
AL,2013,M12,57.4,7.2
AL,2014,M01,57.4,7.2
AL,2014,M02,57.4,7.1
AL,2014,M03,57.4,7.1
