"State","Year","Period","proportion_vax","Distributed","Administered"
"AK","2012","M01",0,0,0
"AK","2012","M02",0,0,0
"AK","2012","M03",0,0,0
"AK","2012","M04",0,0,0
"AK","2012","M05",0,0,0
"AK","2012","M06",0,0,0
"AK","2012","M07",0,0,0
"AK","2012","M08",0,0,0
"AK","2012","M09",0,0,0
"AK","2012","M10",0,0,0
"AK","2012","M11",0,0,0
"AK","2012","M12",0,0,0
"AK","2013","M01",0,0,0
"AK","2013","M02",0,0,0
"AK","2013","M03",0,0,0
"AK","2013","M04",0,0,0
"AK","2013","M05",0,0,0
"AK","2013","M06",0,0,0
"AK","2013","M07",0,0,0
"AK","2013","M08",0,0,0
"AK","2013","M09",0,0,0
"AK","2013","M10",0,0,0
"AK","2013","M11",0,0,0
"AK","2013","M12",0,0,0
"AK","2014","M01",0,0,0
"AK","2014","M02",0,0,0
"AK","2014","M03",0,0,0
"AK","2014","M04",0,0,0
"AK","2014","M05",0,0,0
"AK","2014","M06",0,0,0
"AK","2014","M07",0,0,0
"AK","2014","M08",0,0,0
"AK","2014","M09",0,0,0
"AK","2014","M10",0,0,0
"AK","2014","M11",0,0,0
"AK","2014","M12",0,0,0
"AK","2015","M01",0,0,0
"AK","2015","M02",0,0,0
"AK","2015","M03",0,0,0
"AK","2015","M04",0,0,0
"AK","2015","M05",0,0,0
"AK","2015","M06",0,0,0
"AK","2015","M07",0,0,0
"AK","2015","M08",0,0,0
"AK","2015","M09",0,0,0
"AK","2015","M10",0,0,0
"AK","2015","M11",0,0,0
"AK","2015","M12",0,0,0
"AK","2016","M01",0,0,0
"AK","2016","M02",0,0,0
"AK","2016","M03",0,0,0
"AK","2016","M04",0,0,0
"AK","2016","M05",0,0,0
"AK","2016","M06",0,0,0
"AK","2016","M07",0,0,0
"AK","2016","M08",0,0,0
"AK","2016","M09",0,0,0
"AK","2016","M10",0,0,0
"AK","2016","M11",0,0,0
"AK","2016","M12",0,0,0
"AK","2017","M01",0,0,0
"AK","2017","M02",0,0,0
"AK","2017","M03",0,0,0
"AK","2017","M04",0,0,0
"AK","2017","M05",0,0,0
"AK","2017","M06",0,0,0
