                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-946.376
                ,+ 8 factors in 7 blocks,  AIC                ,2400.751
                ,+ AR(1) idiosyncratic  ,  BIC                ,2865.226
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,2574.746
Time:           ,00:20:34               ,  EM Iterations      ,374
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.05   ,-0.09   ,.       ,-0.11   ,.    ,.          ,.         ,.        ,0.45                   ,0.67
Cases2          ,0.12    ,0.20    ,.       ,-0.04   ,.    ,.          ,.         ,.        ,-0.07                  ,0.33
Cases3          ,-0.03   ,0.06    ,.       ,-0.42   ,.    ,.          ,.         ,.        ,0.80                   ,0.00
Cases4          ,0.15    ,-0.04   ,.       ,-0.32   ,.    ,.          ,.         ,.        ,0.62                   ,0.17
Cases5          ,0.04    ,0.10    ,.       ,-0.36   ,.    ,.          ,.         ,.        ,0.65                   ,0.12
Hosp1           ,-0.07   ,0.06    ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.80                   ,0.01
Hosp2           ,0.11    ,0.03    ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.66                   ,0.12
Deaths1         ,-0.14   ,-0.21   ,.       ,0.09    ,.    ,.          ,.         ,.        ,-0.32                  ,0.24
Deaths2         ,-0.14   ,-0.21   ,.       ,0.08    ,.    ,.          ,.         ,.        ,-0.39                  ,0.23
Deaths3         ,-0.12   ,-0.17   ,.       ,-0.05   ,.    ,.          ,.         ,.        ,0.31                   ,0.45
Deaths4         ,-0.13   ,-0.16   ,.       ,-0.16   ,.    ,.          ,.         ,.        ,0.13                   ,0.45
