Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,92478.2763630383,9200.0,68156.27769706605,7576.3182661294,15577.74366565244,45002.21576528421,23154.039088840764,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,277.56696051826066,16.06906278,107.861,58.6,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,92823.00965567498,8551.0,68023.07645594215,7555.019129167425,15490.678326349698,44977.37900042512,23045.66709175924,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,278.1954063581709,16.18358332,107.861,58.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,93386.97931838044,7758.0,68051.98775366542,7551.749563064374,15440.743640159208,45059.49455044176,22992.45527478399,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,279.4861600640839,16.29843615,107.861,58.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,93947.6054031928,8635.0,68079.00122799835,7548.278528221222,15390.457997907852,45140.26470186928,22938.69104470824,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,280.7711877018238,16.41362129,107.861,58.6,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,94376.532781078,8506.0,68056.48657813622,7539.330027067778,15329.097559055625,45188.05899201292,22868.374601098425,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,281.87755890420914,16.50364759,107.861,58.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,94908.38266807103,7407.0,68108.7846099832,7538.680855700431,15284.688676618329,45285.41507766434,22823.30899889832,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,283.2955182871463,16.59390713,107.861,58.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,95407.82345948988,7069.0,68138.16273013511,7535.501374685819,15235.193771720493,45367.46758372881,22770.62709265292,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,284.6207834348091,16.6843999,107.861,58.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,95430.14891221304,8266.0,68080.45727188475,7522.708131458119,15166.37536262074,45391.37377780598,22689.00802670938,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,285.1213527073164,16.67401364,107.861,58.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,95599.27822888504,8411.0,68127.65723113879,7521.521874915135,15121.0596034483,45485.07575277526,22642.498498824734,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,286.06038327494593,16.66360994,107.861,58.7,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,95577.13841930356,9038.0,68038.75884987717,7505.3279872850735,15045.694263834705,45487.7365987574,22550.93194625054,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,286.4267331310504,16.6531888,107.861,58.7,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
