Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2019-03-01,-2.3947653102532707,1.284774612858362,-3.833513001338892,4.321110005204274,0.28590615151728027,1.282179129387952,-1.013037388208654,-0.043363826326739276,543872.7008579809,57171.0,319391.3269921329,35287.68399989035,59127.99356742779,224975.60373893255,94415.67756731815,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,1633.6750637318055,94.57763676,117.807,65.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,,WA,2019-03-01
2019-04-01,-2.544703486471593,1.8027077994439114,-3.6067842668372845,3.4267307847906645,0.3343935253465766,1.1323544605309257,-0.5175408496873762,-0.017990575162246652,544370.498572903,50153.0,319525.50555656763,35248.16299265194,59098.19639278557,225179.115807372,94346.35938543724,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,1630.424045363454,94.84737268,117.807,65.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,,WA,2019-04-01
2019-05-01,-1.8571273557362205,3.0943018021244963,-3.0006000284497265,1.5699075795837654,0.24054666836531186,0.623803214513354,-0.390595674480501,-0.009787289723055315,546159.7606563746,43695.0,320418.3203466356,35292.53446936599,59208.9189484416,225916.85175745247,94501.45341780786,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,1631.0349766967668,95.1149761,117.807,65.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,,WA,2019-05-01
2019-06-01,-1.2719402084320905,2.965907023097377,-2.5190803299959836,1.6411830213450618,0.5851542914280571,0.33732746419813847,-0.17385583318997863,-0.009425965186046003,547931.5959430572,42406.0,321301.1324873789,35335.88029290035,59317.86965024787,226647.38254423067,94653.74994314824,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,1631.5766598444534,95.380447,117.807,65.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,,WA,2019-06-01
2019-07-01,-1.3700021622847138,2.4843922903800895,-2.4799606866404,2.040213063805031,0.8771348076706387,0.43456068804060716,-0.15793063241497463,-0.010957277829657287,550760.2291375252,43524.0,321948.56213780947,35353.45553193934,59383.48138863153,227211.64035581684,94736.9369205706,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,1637.302581430414,95.86241952,117.807,65.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,,WA,2019-07-01
2019-08-01,-0.8053041262755318,2.643439707289534,-2.0981986220170867,1.4569272431477271,1.0581069073468536,0.1347134552808625,-0.09074239692853046,-0.01193976801463643,554188.9126987007,41625.0,322948.55264591577,35409.84152350516,59514.21930047579,228024.52208864543,94924.0608239812,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,1644.8350533904768,96.34547089,117.807,65.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,,WA,2019-08-01
2019-09-01,-0.7772531414725198,2.5147029691643326,-2.0424133113360345,1.6959210396409017,1.2052290649233997,0.1337230530374341,0.008849573585164305,-0.01291216769735864,557428.0218134965,41317.0,323839.0937054815,35454.28148847169,59624.84234213799,228760.0152440408,95079.1238306097,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,1651.8254838621867,96.82960113,117.807,65.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,,WA,2019-09-01
2019-10-01,-0.6241992638567844,1.6835376274329685,-1.9233701564519141,2.666837570253543,1.608285216486061,0.14164960554282638,-0.0642582477872544,-0.015684678294687927,559240.7077028038,44131.0,324313.7752098748,35453.332488098764,59659.03842496582,229201.46467070535,95112.3709130643,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,1657.927185459551,96.95626174,117.807,65.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,,WA,2019-10-01
2019-11-01,-0.1716091770990742,1.9748396989741202,-1.6465821694157143,1.7494265983792796,1.6657998139399108,-0.11522049959405681,0.061341014806038006,-0.01670125167245293,561909.7061920838,52639.0,325286.41519340273,35506.944633034334,59784.96229711504,229994.583699198,95291.90693014963,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,1666.591546044592,97.08241013,117.807,65.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,,WA,2019-11-01
2019-12-01,-0.4129780641623053,1.5687373047731406,-1.7721792620003347,3.0843214450801684,1.8098706712011898,0.047332491689103036,0.04375572606861887,-0.01785770714381602,563449.7363097817,63883.0,325607.1196358907,35489.54269614217,59791.21514232046,230326.4521022973,95280.75783846264,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,1671.931032365265,97.20804631,117.807,65.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,,WA,2019-12-01
