Time,Factor_Global,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-1.1504916732639254,0.7605756401996864,-0.5029738702016225,-0.4033389840503073,0.578360027697185,0.6937024924607654,0.12351134718192527,270385.1205695092,55645.0,201225.3221035745,20480.22258986314,49503.38396751391,131241.71554619743,69983.60655737705,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,818.3329667619191,42.53807163,100.0,64.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,100.4389816,0.13,,,,,,,MO,2012-03-01
2012-04-01,-0.702670712442472,0.6379371302063109,0.07591487959857497,-0.5904075731810605,0.3351935202627533,0.1251201830894343,0.07543296225319673,270610.0841794675,47942.0,201497.7736834028,20519.46274674734,49530.80461151272,131447.5063251427,70050.26735826007,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,818.8148822422046,42.79288291,100.0,64.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,100.6145742,0.14,,,,,,,MO,2012-04-01
2012-05-01,-0.17258902921503444,0.4132567991814341,2.4187278006344948,-0.808753443105396,0.08711470177975153,0.08514299334908675,0.018527750422245165,271494.2090876887,47437.0,202261.0204436243,20608.68068782535,49678.87670335695,131973.463052442,70287.5573911823,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,821.2881927541752,43.04727739,100.0,64.3,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,100.3950834,0.16,,,,,,,MO,2012-05-01
2012-06-01,-0.010396243203187674,0.45374087905863536,1.8331565644103565,-0.8755155218573876,0.00384327147257858,-0.004721474732832101,0.0011160596055429333,272210.9443954104,50160.0,202899.7332103025,20685.228275696063,49796.29703923615,132418.20789537032,70481.5253149322,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,823.2516697424376,43.30125508,100.0,64.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,100.3072871,0.16,,,,,,,MO,2012-06-01
2012-07-01,0.14461963268050262,0.48529946876266483,1.0099713133862716,-0.9391474490225762,-0.0699614949657588,-0.04190828499754654,-0.015525171096063651,272268.0636321105,53990.0,203363.5869928484,20743.95093910838,49870.79740659044,132748.8386471496,70614.74834569881,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,823.6555765991578,43.24631491,100.0,64.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,100.3511853,0.16,,,,,,,MO,2012-07-01
2012-08-01,-0.07252932688726885,0.7872557752564615,-1.8850096044146256,-0.8500739038084617,0.035120055608087695,0.020532499768570352,0.007786147894374632,271511.4997085516,48880.0,203218.1197435253,20740.47797485216,49796.01965192775,132681.62211674545,70536.4976267799,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,821.5895719210592,43.1913004,100.0,64.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,100.9218613,0.13,,,,,,,MO,2012-08-01
2012-09-01,0.011374181027037316,0.84411958819981,-1.5826523433005713,-0.8844992014301856,-0.005447306984942849,-0.002640552040796593,-0.0012210375195982615,270843.60274559417,46928.0,203136.33827792667,20743.432391237213,49737.09640462646,132655.809482063,70480.52879586368,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,819.7829436435908,43.13621156,100.0,64.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.404741,0.14,,,,,,,MO,2012-09-01
2012-10-01,0.15880308159691164,0.8176759274661709,-1.5179812557916907,-0.9450008994295297,-0.07742210003414883,-0.049567278515660014,-0.01704779166948378,270481.14266416355,41201.0,203067.1520473067,20747.605378255903,49681.48964841353,132638.05702063726,70429.09502666943,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,819.1245612205369,43.37552133,100.0,64.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.6681299,0.16,,,,,,,MO,2012-10-01
2012-11-01,0.3733565549404294,0.7960861140580074,1.9791351196967186,-1.0330499775838768,-0.18191482261241834,-0.11566863090251908,-0.040080485581144285,271103.4798079695,37633.0,203736.85091128328,20827.245408793748,49806.743598153946,133102.8619043356,70633.98900694768,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,821.4457156914392,43.61461015,100.0,64.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.4925373,0.16,,,,,,,MO,2012-11-01
2012-12-01,0.1601494573331156,1.0874589105677055,1.4671749442651976,-0.9456165707531099,-0.07806645465375851,-0.0514594585536133,-0.017192332654118483,271586.19387034886,52667.0,204301.79038302865,20896.185619277683,49906.35531299395,133499.249450757,70802.54093227163,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,823.342357718728,43.85347801,100.0,64.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.4925373,0.16,,,,,,,MO,2012-12-01
2013-01-01,-0.21481086370911398,1.450126998657888,-1.510801381770417,-0.7918562866205843,0.10465951232356939,0.06492752945645577,0.023060318331758686,273155.13574832765,65742.0,204241.0562208747,20878.25480137984,49818.75142627521,133544.04999322037,70697.00622765506,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,827.9080969767925,44.25237518,100.252,64.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.7120281,0.14,,,,,,,MO,2013-01-01
2013-02-01,-0.11105319191262153,1.420772824760915,-3.173599106605497,-0.8342930557001932,0.05412679772941057,0.035426290279424684,0.0119217576240395,274242.7867188629,57203.0,203827.32281492645,20824.30437476106,49645.4486140219,133357.56982614278,70469.75298878297,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,831.0387672505832,44.65295819,100.252,64.2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.238806,0.15,,,,,,,MO,2013-02-01
2013-03-01,0.25383092776751653,1.2681126178346853,1.6311780850949718,-0.9840436798521079,-0.12368055585493895,-0.07796333820973941,-0.02724919527144613,276690.6546034072,52061.0,204427.40762004693,20873.95939538521,49719.247102145055,133834.20112251668,70593.20649753026,143316.0,135689.0,101.9487188,101.085,101.023,0.08,0.11,0.15,0.82,1.96,3.16,838.3143473268464,45.05522702,100.252,64.2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.975417,0.14,,,,,,,MO,2013-03-01
2013-04-01,0.4200032578288523,1.27512775768145,1.1229965377759408,-1.0521723915132526,-0.20467022820514172,-0.13092936936289237,-0.04508809304971251,276785.41237385775,43963.0,204919.3942515979,20912.55217414279,49766.60326517673,134240.23881227907,70679.15543931951,143635.0,135876.0,101.735852,101.163,100.944,0.05,0.09,0.12,0.71,1.76,2.93,840.8101867372008,45.09292476,100.252,64.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.7559263,0.15,,,,,,,MO,2013-04-01
2013-05-01,0.11521951629753081,1.5658641288372988,-0.2870137805533348,-0.9271973071447848,-0.056170077036520695,-0.03794188837600111,-0.01236902628935176,276482.8564828561,40134.0,205117.28211728245,20921.12992112989,49742.52549252549,134453.62670362636,70663.65541365538,143882.0,136091.0,101.7779865,101.272,101.01,0.02,0.08,0.12,0.84,1.93,3.11,842.0867466587467,45.13017165,100.252,64.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,101.7998244,0.11,,,,,,,MO,2013-05-01
2013-06-01,-0.22524246067476755,1.8155052518594081,-1.7634635354168018,-0.7875775236437148,0.10974477434150753,0.06855227202196171,0.024180169544865487,275765.9935986092,45379.0,205006.61872209277,20898.26925356621,49643.82384320544,134464.52562532108,70542.09309677166,143999.0,136269.0,102.0202597,101.438,101.228,0.03,0.09,0.14,1.2,2.3,3.4,842.0826914490063,45.1669677,100.252,64.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.0193152,0.09,,,,,,,MO,2013-06-01
2013-07-01,-0.3360379245209857,1.9953422318436675,-0.8902648707677644,-0.7421089544129811,0.1637532656215965,0.10470925872331148,0.0360742649547345,275951.84534733015,47229.0,205082.4174017138,20894.455736001248,49590.51936776053,134597.44229795274,70484.97510376178,144264.0,136391.0,102.2199594,101.567,101.354,0.02,0.07,0.12,1.4,2.58,3.61,842.4689554432978,45.32249314,100.252,64.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.238806,0.09,,,,,,,MO,2013-07-01
2013-08-01,-0.3177097129598463,2.0231506074084766,-1.1780520388533755,-0.7495894518910271,0.1548228569619161,0.09921781868737764,0.03410670135941797,276055.6267034449,44819.0,205097.3959872593,20884.477719764847,49522.707122450985,134690.21114504285,70407.18484221584,144326.0,136635.0,102.4639882,101.685,101.51,0.04,0.07,0.13,1.52,2.74,3.76,842.589730174367,45.47682715,100.252,64.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.5021949,0.08,,,,,,,MO,2013-08-01
2013-09-01,-0.21279719837917713,2.0786053746019806,-0.06910829457547966,-0.7926480970046843,0.10370240369611582,0.06681053482104667,0.022844158200439255,276474.5445593304,38618.0,205346.6272772033,20898.375184638106,49511.5952732644,134936.6568193008,70409.9704579025,144418.0,136819.0,102.5026115,101.799,101.55,0.02,0.04,0.12,1.6,2.81,3.79,843.6573283111767,45.62996975,100.252,64.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.5021949,0.08,,,,,,,MO,2013-09-01
2013-10-01,0.3152440958081019,1.6345702091506473,-1.3019664370796336,-1.0091267673551731,-0.15360044859324362,-0.09657983641302158,-0.03384200631144194,276692.1609877902,36629.0,205328.87018868388,20885.12481731257,49436.25764338098,135007.487727991,70321.38246069355,143537.0,137039.0,102.557474,102.015,101.722,0.11,0.08,0.12,1.37,2.62,3.68,843.9499125066357,45.74831505,100.252,64.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.5899912,0.09,,,,,,,MO,2013-10-01
2013-11-01,0.13537192667756637,1.7287639752160247,-1.18949021380898,-0.9354273755422402,-0.06599314064395934,-0.04424652802846776,-0.014532421658608442,276944.3762821331,40594.0,205337.3707233606,20874.58243768053,49367.47283595567,135095.31544972368,70242.05527363622,144479.0,137314.0,102.7466402,102.194,101.881,0.05,0.1,0.12,1.37,2.72,3.8,844.3365121072625,45.86587352,100.252,64.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,102.7655838,0.08,,,,,,,MO,2013-11-01
2013-12-01,-0.05511851012477012,1.8860434607114442,-1.617345171375,-0.8573220506317673,0.026850318184471145,0.016081043191177473,0.005917063789829183,277076.3292974413,46441.0,205257.3370949414,20855.080130088947,49277.65369695545,135124.60326789704,70132.7338270444,144778.0,137368.0,103.0183197,102.333,102.084,0.02,0.1,0.13,1.58,2.9,3.89,844.3451201951334,45.98264516,100.252,64.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,103.0289728,0.09,,,,,,,MO,2013-12-01
2014-01-01,0.2597890630631535,1.7871967537817335,-0.7511022802087567,-0.9864014188976091,-0.12658203040095597,-0.07977279477704041,-0.027888813464917304,275587.19046781026,60170.0,205357.3023198215,20876.63850811836,49241.495401422304,135239.1684102808,70118.13390954066,145150.0,137552.0,103.2680542,102.426,102.278,0.02,0.07,0.12,1.65,2.86,3.77,842.4745724398208,45.96752774,100.403,64.3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,103.2923617,0.07,,,,,,,MO,2014-01-01
2014-02-01,0.42850021364026153,1.666202042158119,0.522663054355938,-1.0556267988970083,-0.20881473691467653,-0.13386262900956558,-0.046000257291712046,274462.5977968428,60528.0,205725.91152194983,20925.47896838584,49269.90300116604,135530.52955239793,70195.38196955188,145134.0,137707.0,103.3817294,102.489,102.338,0.05,0.08,0.12,1.52,2.71,3.66,841.6910859113917,45.9512831,100.403,64.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,103.380158,0.07,,,,,,,MO,2014-02-01
2014-03-01,0.18309611527195105,1.8537021852003284,-0.8728343703678165,-0.9550090718086363,-0.08924181705965335,-0.05874391360801021,-0.01965569856325749,272952.81004066585,47491.0,205802.6632729684,20944.603727216872,49228.56752776884,135629.49201798267,70173.17125498572,145648.0,137986.0,103.5928407,102.684,102.543,0.05,0.08,0.13,1.64,2.72,3.62,839.6987735876656,45.93391123,100.403,64.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,103.5996488,0.08,,,,,,,MO,2014-03-01
2014-04-01,0.13377741538987112,1.9964292144805817,-0.822690017015865,-0.9347733221033913,-0.06519131998345,-0.04195353675574936,-0.014361245274729734,274321.37457579863,37097.0,205891.131831838,20964.876421846275,49190.26947759115,135735.98593240057,70155.14589943743,145667.0,138298.0,103.7859569,102.879,102.742,0.02,0.05,0.11,1.7,2.71,3.52,841.4317689941796,46.39146258,100.403,64.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,103.8191396,0.09,,,,,,,MO,2014-04-01
2014-05-01,0.33515771563254065,1.8776733734177005,-0.6076689147412572,-1.0173351391571408,-0.16331992417991545,-0.10412945564920797,-0.03597977399152191,275743.57828324503,35211.0,206023.28854082627,20989.55651207911,49162.62627244075,135871.1057563064,70152.18278451987,145825.0,138501.0,103.9834622,103.061,102.919,0.03,0.05,0.1,1.59,2.56,3.39,843.34209893217,46.84959628,100.403,64.4,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,103.9947322,0.09,,,,,,,MO,2014-05-01
2014-06-01,0.2175153200238682,1.9439244650475933,-0.04276036994014086,-0.9691319209780718,-0.10601223439479385,-0.06917056421638597,-0.02335065955074956,277324.98665502016,38798.0,206277.0417819188,21026.59290532344,49164.16751589267,136086.28136070268,70190.76042121611,146247.0,138833.0,104.1208381,103.18,103.035,0.02,0.06,0.1,1.68,2.6,3.42,845.7500786140633,47.3083123,100.403,64.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,104.1264267,0.1,,,,,,,MO,2014-06-01
2014-07-01,0.24145054120486498,1.9420608146407858,-0.41516511680592605,-0.9789355430971602,-0.11765956215575007,-0.07542162965896228,-0.02592014556424123,278519.20405724103,39698.0,206452.16752269308,21055.58516652127,49147.12342927289,136249.45892689892,70202.70859579416,146399.0,139076.0,104.2380246,103.369,103.19,0.02,0.06,0.11,1.7,2.54,3.33,847.6098718868107,47.62973727,100.403,64.3,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,104.2581212,0.09,,,,,,,MO,2014-07-01
2014-08-01,0.350550888495479,1.9110383569311247,1.1711249945962994,-1.023681383668239,-0.1708245049525581,-0.10920141911522024,-0.037632259176678014,280165.28231421055,35813.0,206963.21208538045,21118.82170121897,49210.1275801131,136634.2628040484,70328.94928133208,146530.0,139258.0,104.2213464,103.408,103.177,0.03,0.05,0.11,1.63,2.42,3.2,850.8495524196284,47.95141295,100.403,64.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,104.2581212,0.09,,,,,,,MO,2014-08-01
2014-09-01,0.06807548418859632,2.1447006950726153,0.7799530223417864,-0.9078776645161419,-0.03319279306859315,-0.022892374017918077,-0.00730802955362877,281705.27988527465,31975.0,207395.98170595817,21174.0695522417,49254.52748466614,136967.38466905034,70428.59703690784,146778.0,139563.0,104.2288077,103.536,103.203,0.01,0.04,0.11,1.77,2.53,3.26,853.7696009805917,48.27333934,100.403,64.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,104.2581212,0.09,,,,,,,MO,2014-09-01
2014-10-01,0.3444557391014364,1.9388596955627109,1.281260795284509,-1.0211582740119232,-0.16783280761796146,-0.10569538467265416,-0.03697793007465243,282725.21976797155,30605.0,207933.2764731161,21239.98888641199,49323.75109439768,137369.53649230642,70563.73998080967,147427.0,139805.0,104.2081794,103.629,103.177,0.02,0.05,0.1,1.55,2.3,3.04,857.8902334822683,48.52426835,100.403,64.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,104.214223,0.09,,,,,,,MO,2014-10-01
2014-11-01,0.2509452245259176,1.9519698859323127,1.7767367861685723,-0.9828742595025826,-0.1223061868924989,-0.07963910134386543,-0.026939417826146343,283891.54008807155,32257.0,208578.0115359493,21316.89428181604,49418.40126222943,137842.71599190382,70735.29554404547,147404.0,140089.0,104.0119908,103.74,103.098,0.04,0.07,0.13,1.62,2.33,3.04,862.4633837707812,48.77568882,100.403,64.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,104.0386304,0.09,,,,,,,MO,2014-11-01
