Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-1.1934515087300912,0.4131674722439439,0.29781066655938093,-0.22114257302796694,-1.5674930890859906,0.6625457497994275,-0.43121989864874244,0.06981448133495329,333174.8132551261,60178.0,227208.6027974132,22860.104276332284,48451.07033639144,155897.4031182634,71311.17461272371,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,1008.3688514563594,52.41639792,100.0,67.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,MD,2012-03-01
2012-04-01,-0.5618474943626229,0.8102631206112789,0.3679100430858763,-0.5514943713977873,-1.414025043220874,0.3983203469835804,-0.28103951159309026,0.022329962599700364,332288.76694771,55483.0,227404.78908403963,22935.23321250476,48499.58944986282,155969.93304361144,71434.82266236757,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,1005.4630244527668,52.54748345,100.0,67.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,MD,2012-04-01
2012-05-01,-0.2814380973471677,0.9223151366076742,0.378717376990413,-2.400693542108467,-1.2950175877243446,0.21922362403545023,-0.14578435333067277,0.03621410227196434,332212.34236221097,53065.0,228154.89437349176,23066.217896024216,48666.24396014195,156422.39074790684,71732.46185616616,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,1004.9847765503137,52.67561231,100.0,67.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,MD,2012-05-01
2012-06-01,-0.30913257520117293,0.7440943539455832,0.3916811439182714,-1.9255088672875194,-1.1764416029125608,0.2368295270961953,-0.08887890446740483,0.04725598869922883,331929.2104629704,57917.0,228764.3424536629,23183.071892802694,48802.9066035465,156778.31380887429,71985.9784963492,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,1003.8585232287572,52.80078449,100.0,67.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,MD,2012-06-01
2012-07-01,-0.2848154817874968,0.5964526172989715,0.37690388030898714,-1.2501098847483023,-1.0979653685373856,0.2038745830278303,-0.0804581574139222,0.05341179944055352,333010.82815319835,60789.0,229176.6258939914,23279.952877481453,48897.508522157616,156999.1060089563,72177.46139963907,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,1007.398156206136,52.89378128,100.0,67.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,MD,2012-07-01
2012-08-01,-0.6520728342782192,0.1078646408893193,0.36750767307883525,1.03724611064155,-0.9857341072664924,0.3764155820323815,-0.12360912655167387,0.07414273897226419,333093.47989008244,59391.0,228902.6563410772,23306.919810142397,48845.66575068699,156750.00416354433,72152.58556082938,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,1007.9214529103172,52.9868437,100.0,67.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,MD,2012-08-01
2012-09-01,-0.638070420335829,-0.01748143970480623,0.3763495884988459,0.7864144873102492,-0.9465716245512422,0.3568291395364397,-0.19710663102355913,0.06931221543826924,333278.4745813367,53146.0,228701.12274479723,23340.91293995756,48809.23798802539,156550.89709999104,72150.15092798295,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,1008.7593211727552,53.07997177,100.0,67.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,MD,2012-09-01
2012-10-01,-0.4168330160386096,0.11565598894972332,0.4208121233063506,0.7933506665240596,-0.9532816834890349,0.24373165694169074,-0.16493797131776816,0.06790536058686364,331554.3768685995,53267.0,228514.4240160781,23376.09384467157,48775.93690713867,156362.31049130682,72152.03075181023,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,1004.0944605023986,53.17032689,100.0,67.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,MD,2012-10-01
2012-11-01,0.17065800991919566,0.5055903415274435,0.5018750881487847,-1.9607114744545555,-1.0148709485723846,-0.05688442395202388,-0.052756072433723995,0.05887929801455209,331040.36418213084,52967.0,229159.45226901476,23496.23294138696,48920.15127871264,156742.97693711997,72416.38422009959,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,1003.0708177200848,53.25798387,100.0,67.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,MD,2012-11-01
2012-12-01,0.029428476027602294,0.2154417054769206,0.5572275803497989,-1.5878891050665505,-0.973311308429856,0.00025980802675433507,0.023412199289576878,0.0831672268171244,330354.79605936795,58491.0,229686.5587068683,23604.32634477548,49039.19755847823,157042.93539311882,72643.5239032537,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,1001.5056097342756,53.34294273,100.0,67.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,MD,2012-12-01
