                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 48 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3736.509
                ,+ 8 factors in 7 blocks,  AIC                ,8001.019
                ,+ AR(1) idiosyncratic  ,  BIC                ,8758.048
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,8308.625
Time:           ,23:06:10               ,  EM Iterations      ,241
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.07   ,-0.03   ,.       ,-0.02   ,.    ,.          ,.         ,.        ,0.52                   ,0.72
Cases2          ,0.12    ,0.09    ,.       ,-0.21   ,.    ,.          ,.         ,.        ,0.12                   ,0.92
Cases3          ,-0.08   ,0.06    ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.84                   ,0.10
Cases4          ,0.09    ,-0.03   ,.       ,-0.34   ,.    ,.          ,.         ,.        ,0.85                   ,0.06
Cases5          ,-0.09   ,-0.06   ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.87                   ,0.02
Hosp1           ,-0.09   ,0.10    ,.       ,-0.31   ,.    ,.          ,.         ,.        ,0.84                   ,0.14
Hosp2           ,-0.02   ,-0.06   ,.       ,-0.41   ,.    ,.          ,.         ,.        ,0.97                   ,0.00
Deaths1         ,-0.13   ,-0.09   ,.       ,0.20    ,.    ,.          ,.         ,.        ,0.05                   ,0.92
Deaths2         ,-0.14   ,-0.09   ,.       ,0.19    ,.    ,.          ,.         ,.        ,0.00                   ,0.92
Deaths3         ,-0.14   ,-0.20   ,.       ,0.15    ,.    ,.          ,.         ,.        ,0.40                   ,0.31
Deaths4         ,-0.16   ,-0.22   ,.       ,0.00    ,.    ,.          ,.         ,.        ,0.13                   ,0.43
Deaths5         ,-0.14   ,-0.21   ,.       ,0.13    ,.    ,.          ,.         ,.        ,0.31                   ,0.33
Vax1            ,-0.17   ,0.14    ,-0.23   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.01
Vax3            ,-0.20   ,0.12    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.00
Gather1         ,-0.21   ,0.11    ,-0.27   ,.       ,.    ,.          ,.         ,.        ,0.95                   ,0.00
Gather2         ,-0.22   ,0.13    ,-0.19   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.02
Gather3         ,-0.19   ,0.16    ,-0.04   ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.04
Gather4         ,-0.13   ,0.18    ,0.09    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.07
Curfew          ,0.20    ,0.08    ,0.22    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.13
Mask1           ,0.19    ,0.09    ,0.20    ,.       ,.    ,.          ,.         ,.        ,0.94                   ,0.12
Mask2           ,0.20    ,0.10    ,0.25    ,.       ,.    ,.          ,.         ,.        ,0.93                   ,0.12
School          ,0.16    ,0.03    ,0.09    ,.       ,.    ,.          ,.         ,.        ,0.99                   ,0.34
ARP             ,0.22    ,-0.00   ,0.10    ,.       ,.    ,.          ,.         ,.        ,0.84                   ,0.21
PPP             ,0.00    ,-0.06   ,0.03    ,.       ,.    ,.          ,.         ,.        ,-0.04                  ,0.97
CARES           ,0.15    ,0.06    ,-0.28   ,.       ,.    ,.          ,.         ,.        ,0.17                   ,1.17
Cons1           ,0.07    ,0.07    ,.       ,.       ,.    ,-0.03      ,.         ,.        ,-0.39                  ,0.89
Cons2           ,0.21    ,-0.03   ,.       ,.       ,.    ,0.37       ,.         ,.        ,0.04                   ,0.00
Cons3           ,0.21    ,-0.03   ,.       ,.       ,.    ,0.37       ,.         ,.        ,0.06                   ,0.00
Cons4           ,0.24    ,-0.01   ,.       ,.       ,.    ,0.31       ,.         ,.        ,-0.03                  ,0.28
Cons5           ,0.24    ,-0.02   ,.       ,.       ,.    ,0.31       ,.         ,.        ,0.00                   ,0.30
Employment1     ,0.19    ,-0.02   ,.       ,.       ,.    ,.          ,0.48      ,.        ,-0.17                  ,0.72
Employment2     ,0.21    ,0.00    ,.       ,.       ,.    ,.          ,0.47      ,.        ,-0.06                  ,0.74
UI              ,-0.01   ,-0.12   ,.       ,.       ,.    ,.          ,0.05      ,.        ,0.58                   ,0.56
PartR           ,-0.18   ,-0.18   ,.       ,.       ,.    ,.          ,0.23      ,.        ,1.11                   ,0.00
UR              ,0.02    ,-0.07   ,.       ,.       ,.    ,.          ,-0.24     ,.        ,0.41                   ,0.72
CPI             ,0.01    ,0.03    ,.       ,.       ,.    ,.          ,.         ,-0.49    ,0.09                   ,0.89
CPIU            ,0.01    ,-0.01   ,.       ,.       ,.    ,.          ,.         ,0.09     ,-0.02                  ,1.02
PCE             ,-0.01   ,-0.04   ,.       ,.       ,.    ,.          ,.         ,-0.76    ,0.06                   ,0.82
PCEC            ,0.01    ,0.02    ,.       ,.       ,.    ,.          ,.         ,-0.39    ,-0.00                  ,0.97
FixAss          ,0.10    ,0.07    ,.       ,.       ,-0.14,.          ,.         ,.        ,0.08                   ,1.17
Prod            ,0.02    ,0.00    ,.       ,.       ,0.01 ,.          ,.         ,.        ,-0.00                  ,1.00
GDP             ,-0.13   ,-0.20   ,.       ,.       ,0.12 ,.          ,.         ,.        ,0.30                   ,0.67
TBill1mo        ,-0.17   ,0.14    ,.       ,.       ,-0.19,.          ,.         ,.        ,0.83                   ,0.30
TBill6mo        ,0.00    ,-0.26   ,.       ,.       ,-0.22,.          ,.         ,.        ,0.31                   ,0.12
TBill1yr        ,0.01    ,-0.26   ,.       ,.       ,-0.23,.          ,.         ,.        ,0.26                   ,0.10
TBill5yr        ,0.01    ,-0.28   ,.       ,.       ,-0.21,.          ,.         ,.        ,0.57                   ,0.00
