                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-3120.433
                ,+ 8 factors in 7 blocks,  AIC                ,6758.866
                ,+ AR(1) idiosyncratic  ,  BIC                ,7501.558
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,7060.646
Time:           ,23:13:50               ,  EM Iterations      ,364
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.02   ,-0.00   ,.       ,-0.04   ,.    ,.          ,.         ,.        ,0.52                   ,0.73
Cases2          ,0.09    ,0.10    ,.       ,-0.21   ,.    ,.          ,.         ,.        ,0.10                   ,0.95
Cases3          ,-0.05   ,0.02    ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.87                   ,0.10
Cases4          ,0.11    ,-0.08   ,.       ,-0.31   ,.    ,.          ,.         ,.        ,0.92                   ,0.02
Cases5          ,-0.04   ,-0.07   ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.92                   ,0.02
Hosp1           ,-0.09   ,0.07    ,.       ,-0.32   ,.    ,.          ,.         ,.        ,0.87                   ,0.17
Hosp2           ,0.03    ,-0.08   ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.90                   ,0.00
Deaths1         ,-0.11   ,-0.11   ,.       ,0.20    ,.    ,.          ,.         ,.        ,0.08                   ,0.95
Deaths2         ,-0.12   ,-0.11   ,.       ,0.19    ,.    ,.          ,.         ,.        ,0.04                   ,0.97
Deaths3         ,-0.12   ,-0.21   ,.       ,0.16    ,.    ,.          ,.         ,.        ,0.38                   ,0.29
Deaths4         ,-0.14   ,-0.22   ,.       ,0.02    ,.    ,.          ,.         ,.        ,0.15                   ,0.41
Deaths5         ,-0.12   ,-0.22   ,.       ,0.15    ,.    ,.          ,.         ,.        ,0.29                   ,0.30
Vax1            ,-0.20   ,0.14    ,-0.30   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.01
Vax3            ,-0.23   ,0.11    ,-0.26   ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.00
Gather1         ,-0.24   ,0.10    ,-0.25   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.00
Gather2         ,-0.25   ,0.11    ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.91                   ,0.07
Gather3         ,-0.22   ,0.14    ,0.08    ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.23
Gather4         ,-0.15   ,0.15    ,0.23    ,.       ,.    ,.          ,.         ,.        ,0.86                   ,0.42
Curfew          ,0.20    ,0.09    ,-0.19   ,.       ,.    ,.          ,.         ,.        ,1.06                   ,0.00
Mask1           ,0.18    ,0.09    ,-0.22   ,.       ,.    ,.          ,.         ,.        ,1.05                   ,0.00
Mask2           ,0.21    ,0.11    ,-0.12   ,.       ,.    ,.          ,.         ,.        ,1.07                   ,0.01
School          ,0.16    ,-0.00   ,-0.02   ,.       ,.    ,.          ,.         ,.        ,0.96                   ,0.39
ARP             ,0.20    ,-0.00   ,0.24    ,.       ,.    ,.          ,.         ,.        ,0.77                   ,0.26
PPP             ,0.00    ,-0.05   ,-0.03   ,.       ,.    ,.          ,.         ,.        ,-0.04                  ,0.97
CARES           ,0.13    ,0.08    ,-0.03   ,.       ,.    ,.          ,.         ,.        ,0.04                   ,1.05
Cons1           ,0.08    ,0.07    ,.       ,.       ,.    ,-0.01      ,.         ,.        ,-0.42                  ,0.87
Cons2           ,0.21    ,-0.05   ,.       ,.       ,.    ,-0.37      ,.         ,.        ,-0.45                  ,0.00
Cons3           ,0.21    ,-0.04   ,.       ,.       ,.    ,-0.37      ,.         ,.        ,-0.42                  ,0.00
Cons4           ,0.24    ,-0.02   ,.       ,.       ,.    ,-0.32      ,.         ,.        ,0.04                   ,0.34
Cons5           ,0.24    ,-0.02   ,.       ,.       ,.    ,-0.32      ,.         ,.        ,0.03                   ,0.34
Employment1     ,0.18    ,-0.03   ,.       ,.       ,.    ,.          ,0.54      ,.        ,-0.07                  ,0.85
Employment2     ,0.21    ,-0.01   ,.       ,.       ,.    ,.          ,0.52      ,.        ,0.03                   ,0.84
UI              ,0.00    ,-0.11   ,.       ,.       ,.    ,.          ,-0.08     ,.        ,0.60                   ,0.49
PartR           ,-0.18   ,-0.20   ,.       ,.       ,.    ,.          ,0.11      ,.        ,1.09                   ,0.00
