Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,0.754750004094091,1.0187602224456376,2085285.5065924705,559405.0,1371684.5139619994,131580.43816112698,274584.724519978,965519.3763473204,406165.1376146789,142036.0,133744.0,100.4235391,99.595,99.735,CA,2012-03-01
2012-04-01,0.43711860215198184,0.8301081590853647,2087551.0183646083,542349.0,1374460.6439295355,132036.5957049116,275104.80710819195,967319.2744944897,407141.36943504296,141899.0,133827.0,100.5903214,99.746,99.866,CA,2012-04-01
2012-05-01,-1.6212217016744566,2.3130184342087405,2094901.3573390536,506456.0,1380584.421009012,132814.30652739035,276294.94389531546,971475.212355728,409109.20865328703,142206.0,133935.0,100.3822825,99.847,99.754,CA,2012-05-01
2012-06-01,-1.1876572327163244,2.1129268382738884,2100960.944395411,474499.0,1385859.6445478618,133510.69164727593,277315.2030008826,975033.8000481426,410825.8444997192,142391.0,134007.0,100.2993302,99.95,99.704,CA,2012-06-01
2012-07-01,-0.4917138837321553,1.6223948687908631,2108027.103803219,509437.0,1389940.662388881,134092.056012299,278096.49254729,977752.1723146852,412188.4900741929,142292.0,134153.0,100.3282977,100.053,99.74,CA,2012-07-01
2012-08-01,2.093688272425836,-0.3948260653282838,2108768.790074114,491712.0,1389853.7430260603,134270.63036056256,278044.00033308315,977539.1789491212,412314.5640769423,142291.0,134330.0,100.9111577,100.116,100.075,CA,2012-08-01
2012-09-01,1.9293953472732244,-0.5091399894401418,2110157.004951235,461216.0,1390196.604867552,134489.53466362486,278077.7104772911,977629.4344434594,412567.1704240927,143044.0,134512.0,101.3926317,100.24,100.379,CA,2012-09-01
2012-10-01,1.7751138008825507,-0.21239472759791345,2117676.231909969,443676.0,1390620.2674559928,134715.14513410907,278127.79151808954,977777.4135767524,412842.8538792375,143431.0,134671.0,101.6660668,100.482,100.677,CA,2012-10-01
2012-11-01,-1.277782105534845,1.9186541946907814,2132882.0483256965,383845.0,1396101.8232298605,135430.31272881452,279189.54401031026,981482.0576025336,414619.7656273296,143333.0,134834.0,101.4953345,100.591,100.609,CA,2012-11-01
2012-12-01,-0.9477441513299965,1.8733438647167744,2146998.0018490357,486565.0,1400866.2630600538,136076.06891135566,280107.8603878998,984682.4331712942,416183.8298887597,143330.0,135075.0,101.4830453,100.664,100.593,CA,2012-12-01
2013-01-01,1.6621619114153838,1.147769477978652,2145477.392917737,509897.0,1401870.1568654687,136113.73490628751,280078.81307443714,985677.6915673648,416192.4652981039,143292.0,135265.0,101.6840618,100.871,100.787,CA,2013-01-01
2013-02-01,3.266960274200278,-0.30039839284259084,2140253.5687453044,478456.0,1400443.226303927,135915.71434220413,279565.3907496016,984962.1871169284,415481.0391869983,143362.0,135544.0,102.2361988,100.992,101.156,CA,2013-02-01
2013-03-01,-0.9412134373228618,2.672166297521394,2145677.222018748,522515.0,1405978.6632746998,136393.54404442554,280442.37450877525,989142.7942151788,416835.86905952106,143316.0,135689.0,101.9487188,101.085,101.023,CA,2013-03-01
2013-04-01,-0.6616430932830117,2.8076169274227114,2155356.237121572,488189.0,1410773.597242035,136799.41353621808,281171.1774185023,992803.0393089236,417970.5579331114,143635.0,135876.0,101.735852,101.163,100.944,CA,2013-04-01
2013-05-01,0.5862442691421053,1.8516404600842638,2161942.480942481,470484.0,1413543.9807939806,137008.9595089595,281496.45249645284,995038.5852885852,418505.3955053955,143882.0,136091.0,101.7779865,101.272,101.01,CA,2013-05-01
2013-06-01,1.9140548027444662,0.8011639970797932,2165263.958588533,438138.0,1414184.0696250051,137012.19030307824,281398.13095191057,995773.7483700163,418410.3212549888,143999.0,136269.0,102.0202597,101.438,101.228,CA,2013-06-01
