Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,84180.5323318988,6549.0,59096.21903639338,4822.921520791645,12695.147245598166,41578.15027000356,17518.06876638981,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,253.9163057481977,14.69986576,111.724,61.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,84110.70626100682,6301.0,59128.04396672134,4811.198153883521,12690.137851460466,41626.7079613773,17501.33600534405,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,253.34447777372927,14.73791936,111.724,61.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,84240.97606563747,6823.0,59300.227874065415,4810.949485386935,12715.2969948539,41773.98139382464,17526.24648024077,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,253.372552432275,14.77560237,111.724,61.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,84368.76336016737,7289.0,59470.55078000637,4810.56988220312,12740.07367990176,41919.90721790149,17550.64356210488,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,253.3895238095238,14.8129148,111.724,61.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,84635.7960772915,7233.0,59597.29110275464,4806.695490520218,12755.539205890693,42035.05640634367,17562.234696410975,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,253.8359506421785,14.86183963,111.724,60.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,84995.3389266214,6545.0,59789.28316323439,4808.109057010378,12784.991343720898,42196.18276250317,17593.10040073121,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,254.56035521011148,14.91075792,111.724,60.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,85325.97747874455,6318.0,59961.00519930677,4807.906938760696,12810.120954204362,42342.97730634171,17618.02789296506,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,255.19844456341252,14.95966967,111.724,60.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,85302.09587978346,6303.0,60055.71001210499,4801.566098850176,12818.82699558362,42435.31691767113,17620.393094433857,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,255.0348143049908,14.91454054,111.724,60.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,85409.54174172546,5777.0,60242.60954053472,4802.6293952752985,12847.239195309725,42592.740949949766,17649.86859058496,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,255.2608703799256,14.86947451,111.724,60.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,85346.22886866059,5689.0,60308.7523479266,4794.104898136107,12849.931368299378,42664.716081491104,17644.036266435483,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,254.9736880508597,14.82447158,111.724,60.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
