Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,74887.93253108925,8466.0,55484.70436665662,7471.674753067808,12458.03751724642,35554.99209634239,19929.712270314227,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,225.4186287839332,13.05006219,105.818,64.2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,75140.88783627863,5280.0,55507.95530454846,7461.134389992102,12435.112649541536,35611.708265014844,19896.24703953361,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,225.7988678265622,13.13549651,105.818,64.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,75571.41470045631,4337.0,55662.99671084574,7468.360095640356,12441.81777357022,35752.81884163514,19910.177869210605,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,226.71630479900963,13.22112415,105.818,64.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,75999.27229726657,4548.0,55816.300541228906,7475.371810615363,12448.17392095329,35892.75480966025,19923.54573156865,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,227.6284259789876,13.30694509,105.818,64.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,76523.6070993878,4203.0,55928.71394747515,7476.936375582074,12445.470840070033,36006.306731823075,19922.40721565208,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,228.58262502952024,13.38328281,105.818,64.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,77131.07906875385,4011.0,56102.374120752094,7486.712914199932,12456.44620394917,36159.21500260296,19943.159118149128,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,229.7897709112701,13.45983212,105.818,64.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,77712.03281098299,3106.0,56257.02087889155,7493.965900532635,12463.22828858421,36299.82668977469,19957.194189116846,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,230.92204297367684,13.53659302,105.818,64.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,77983.57226302491,3501.0,56339.42505939279,7491.630668731451,12454.078105708684,36393.71628495268,19945.708774440107,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,231.56455421424883,13.5419901,105.818,64.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,78374.47609736669,4500.0,56508.33416312876,7500.829795387549,12464.115121285882,36543.38924645529,19964.944916673456,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,232.56413473463144,13.54734264,105.818,64.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,78607.86013581851,7181.0,56563.99003034243,7495.033232191879,12449.248663487931,36619.708134662615,19944.28189567981,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,233.0989874115012,13.55265063,105.818,64.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
