Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2019-03-01,222308.8731120309,15065.0,172392.5011193041,18813.583326480453,42142.37091453999,111436.54687828368,60955.95424102043,156755.0,150320.0,111.6005829,111.35,109.443,2.45,2.51,2.49,2.37,2.57,2.98,673.6300206500187,38.99816848,105.177,58.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,111.6330114,2.41,,,,,,
2019-04-01,222145.07803485787,13788.0,172470.82042873654,18808.98159956276,42119.26884071169,111542.56998846146,60928.250440274445,156683.0,150563.0,111.9912044,111.65,109.78,2.43,2.46,2.42,2.33,2.53,2.94,672.7915889050828,39.13860001,105.177,58.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.0280948,2.42,,,,,,
2019-05-01,222509.67933779943,14033.0,172958.60793523613,18849.084255752983,42196.32215506363,111913.20152442016,61045.40641081661,156814.0,150630.0,112.0623063,111.773,109.856,2.4,2.42,2.34,2.19,2.4,2.82,673.5482093831926,39.27844758,105.177,58.2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.071993,2.39,,,,,,
2019-06-01,222867.69454677764,15520.0,173440.98785646062,18888.61600036385,42272.11534088325,112280.25651521354,61160.7313412471,157164.0,150797.0,112.0781068,112.0,109.935,2.22,2.17,2.0,1.83,2.07,2.57,674.2788440442079,39.41771119,105.177,58.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.1158911,2.38,,,,,,
2019-07-01,224037.61028454505,16194.0,173796.2937732002,18914.336839428124,42317.02757037922,112564.9293633922,61231.36440980735,157525.0,150879.0,112.3146742,112.157,110.094,2.15,2.08,1.96,1.83,2.06,2.57,677.0762679165076,39.64213455,105.177,58.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.3353819,2.4,,,,,,
2019-08-01,225451.57931694057,15854.0,174341.91091901806,18960.792503541204,42408.35240136082,112972.7660141167,61369.144904902016,157782.0,151111.0,112.4371275,112.27,110.132,2.07,1.93,1.77,1.49,1.63,2.12,680.6227985508299,39.86717324,105.177,57.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.4670764,2.13,,,,,,
2019-09-01,226788.40726995567,13805.0,174828.4364877004,19000.83479270827,42485.3457584364,113342.25593655575,61486.180551144666,158302.0,151318.0,112.6201491,112.339,110.207,1.99,1.89,1.8,1.57,1.7,2.16,683.9473985318538,40.09282727,105.177,57.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.642669,2.04,,,,,,
2019-10-01,227552.68377059128,13927.0,175090.4400955118,19016.509241734057,42507.88634010423,113566.04451367288,61524.39558183829,158474.0,151447.0,112.9313296,112.496,110.423,1.73,1.67,1.61,1.53,1.71,2.19,686.0903706655316,40.12284626,105.177,57.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,112.9499561,1.83,,,,,,
2019-11-01,228665.3269242955,14716.0,175621.26780665436,19061.41089355385,42595.78856210041,113964.06835100074,61657.19945565426,158642.0,151662.0,113.1433186,112.524,110.469,1.58,1.59,1.57,1.64,1.81,2.28,689.2922660655931,40.15270247,105.177,57.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.1694469,1.55,,,,,,
2019-12-01,229318.46915185664,15902.0,175800.10114145352,19068.144054327408,42598.432307470015,114133.5247796561,61666.57636179743,158834.0,151764.0,113.3517964,112.772,110.736,1.55,1.58,1.55,1.68,1.86,2.3,691.1176308517554,40.18239589,105.177,57.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,113.3889377,1.55,,,,,,
