                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 47 more  ,  No. Observations:  ,46
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-1166.906
                ,+ 8 factors in 7 blocks,  AIC                ,2851.811
                ,+ AR(1) idiosyncratic  ,  BIC                ,3325.430
Date:           ,Mon, 03 Jun 2024       ,  HQIC               ,3029.232
Time:           ,00:25:45               ,  EM Iterations      ,422
Sample:         ,03-01-2019             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                                 Observation equation:
Factor loadings:,Global.1,Global.2,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.04   ,-0.04   ,.       ,-0.03   ,.    ,.          ,.         ,.        ,0.45                   ,0.74
Cases2          ,0.10    ,0.20    ,.       ,-0.13   ,.    ,.          ,.         ,.        ,0.02                   ,0.50
Cases3          ,-0.03   ,0.06    ,.       ,-0.41   ,.    ,.          ,.         ,.        ,0.78                   ,0.00
Cases4          ,0.17    ,-0.04   ,.       ,-0.27   ,.    ,.          ,.         ,.        ,0.63                   ,0.19
Cases5          ,0.05    ,0.07    ,.       ,-0.40   ,.    ,.          ,.         ,.        ,0.69                   ,0.06
Hosp1           ,-0.08   ,0.07    ,.       ,-0.38   ,.    ,.          ,.         ,.        ,0.77                   ,0.02
Hosp2           ,0.11    ,0.02    ,.       ,-0.37   ,.    ,.          ,.         ,.        ,0.64                   ,0.11
Deaths1         ,-0.11   ,-0.22   ,.       ,0.13    ,.    ,.          ,.         ,.        ,-0.25                  ,0.40
Deaths2         ,-0.12   ,-0.21   ,.       ,0.11    ,.    ,.          ,.         ,.        ,-0.30                  ,0.39
Deaths3         ,-0.11   ,-0.20   ,.       ,-0.03   ,.    ,.          ,.         ,.        ,0.29                   ,0.34
Deaths4         ,-0.11   ,-0.19   ,.       ,-0.14   ,.    ,.          ,.         ,.        ,0.07                   ,0.40
Deaths5         ,-0.10   ,-0.20   ,.       ,-0.05   ,.    ,.          ,.         ,.        ,0.10                   ,0.39
Vax1            ,-0.19   ,0.18    ,-0.18   ,.       ,.    ,.          ,.         ,.        ,0.61                   ,0.02
Vax3            ,-0.22   ,0.17    ,-0.07   ,.       ,.    ,.          ,.         ,.        ,0.81                   ,0.00
Gather1         ,-0.23   ,0.16    ,-0.02   ,.       ,.    ,.          ,.         ,.        ,0.52                   ,0.01
Gather2         ,-0.24   ,0.12    ,0.06    ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.06
Gather3         ,-0.23   ,0.10    ,0.04    ,.       ,.    ,.          ,.         ,.        ,0.83                   ,0.11
Gather4         ,-0.22   ,0.09    ,-0.02   ,.       ,.    ,.          ,.         ,.        ,0.80                   ,0.19
Curfew          ,0.17    ,-0.04   ,-0.33   ,.       ,.    ,.          ,.         ,.        ,0.53                   ,0.00
Mask1           ,0.17    ,-0.03   ,-0.34   ,.       ,.    ,.          ,.         ,.        ,0.85                   ,0.00
Mask2           ,0.17    ,-0.04   ,-0.34   ,.       ,.    ,.          ,.         ,.        ,0.72                   ,0.00
School          ,0.13    ,-0.01   ,-0.10   ,.       ,.    ,.          ,.         ,.        ,0.88                   ,0.35
ARP             ,0.20    ,-0.01   ,0.03    ,.       ,.    ,.          ,.         ,.        ,0.68                   ,0.31
PPP             ,0.00    ,-0.05   ,-0.01   ,.       ,.    ,.          ,.         ,.        ,-0.06                  ,0.96
CARES           ,0.13    ,0.19    ,0.16    ,.       ,.    ,.          ,.         ,.        ,-0.34                  ,0.37
Cons1           ,0.07    ,0.15    ,.       ,.       ,.    ,-0.12      ,.         ,.        ,-0.28                  ,0.85
Cons2           ,0.19    ,0.04    ,.       ,.       ,.    ,0.36       ,.         ,.        ,-0.12                  ,0.00
Cons3           ,0.19    ,0.04    ,.       ,.       ,.    ,0.36       ,.         ,.        ,-0.49                  ,0.00
Cons4           ,0.20    ,0.09    ,.       ,.       ,.    ,0.31       ,.         ,.        ,-0.11                  ,0.29
Cons5           ,0.20    ,0.09    ,.       ,.       ,.    ,0.30       ,.         ,.        ,-0.08                  ,0.29
Employment1     ,0.16    ,0.04    ,.       ,.       ,.    ,.          ,0.54      ,.        ,-0.40                  ,0.20
Employment2     ,0.17    ,0.09    ,.       ,.       ,.    ,.          ,0.49      ,.        ,-0.30                  ,0.18
UI              ,0.02    ,-0.10   ,.       ,.       ,.    ,.          ,-0.11     ,.        ,0.56                   ,0.57
PartR           ,-0.15   ,-0.04   ,.       ,.       ,.    ,.          ,0.14      ,.        ,0.89                   ,0.14
CPI             ,0.09    ,0.17    ,.       ,.       ,.    ,.          ,.         ,-0.17    ,-0.16                  ,0.61
CPIU            ,0.03    ,0.02    ,.       ,.       ,.    ,.          ,.         ,0.02     ,-0.01                  ,0.99
PCE             ,-0.02   ,-0.02   ,.       ,.       ,.    ,.          ,.         ,-0.69    ,-0.28                  ,0.56
PCEC            ,-0.01   ,-0.01   ,.       ,.       ,.    ,.          ,.         ,-0.67    ,-0.20                  ,0.63
FixAss          ,0.03    ,0.07    ,.       ,.       ,-0.08,.          ,.         ,.        ,-0.12                  ,0.92
Prod            ,0.01    ,-0.01   ,.       ,.       ,0.00 ,.          ,.         ,.        ,0.00                   ,1.00
GDP             ,-0.11   ,-0.21   ,.       ,.       ,0.02 ,.          ,.         ,.        ,0.39                   ,0.28
TBill1mo        ,-0.19   ,0.18    ,.       ,.       ,-0.01,.          ,.         ,.        ,0.85                   ,0.04
TBill6mo        ,0.06    ,-0.09   ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.46                   ,0.22
TBill1yr        ,0.07    ,-0.09   ,.       ,.       ,0.37 ,.          ,.         ,.        ,0.38                   ,0.22
TBill5yr        ,0.17    ,-0.09   ,.       ,.       ,0.30 ,.          ,.         ,.        ,0.83                   ,0.00
TBill10yr       ,0.17    ,-0.09   ,.       ,.       ,0.30 ,.          ,.         ,.        ,0.83                   ,0.00
