                         Dynamic Factor Results
Dep. Variable:  ,"Cases1", and 46 more  ,  No. Observations:  ,130
Model:          ,Dynamic Factor Model   ,  Log Likelihood     ,-2264.154
                ,+ 7 factors in 7 blocks,  AIC                ,4932.309
                ,+ AR(1) idiosyncratic  ,  BIC                ,5511.551
Date:           ,Sun, 02 Jun 2024       ,  HQIC               ,5167.674
Time:           ,22:39:20               ,  EM Iterations      ,43
Sample:         ,03-01-2012             ,                     ,
                ,- 12-01-2022           ,                     ,
Covariance Type:,Not computed           ,                     ,
                                            Observation equation:
Factor loadings:,Global,Response,Pandemic,Uncat,Consumption,Employment,Inflation,   idiosyncratic: AR(1),var.
Cases1          ,-0.06 ,.       ,-0.07   ,.    ,.          ,.         ,.        ,0.50                   ,0.68
Cases2          ,0.17  ,.       ,-0.19   ,.    ,.          ,.         ,.        ,0.08                   ,0.66
Cases3          ,-0.04 ,.       ,-0.44   ,.    ,.          ,.         ,.        ,0.96                   ,0.00
Cases4          ,0.08  ,.       ,-0.28   ,.    ,.          ,.         ,.        ,0.94                   ,0.08
Cases5          ,-0.02 ,.       ,-0.41   ,.    ,.          ,.         ,.        ,0.96                   ,0.04
Hosp1           ,-0.06 ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.96                   ,0.01
Hosp2           ,0.02  ,.       ,-0.39   ,.    ,.          ,.         ,.        ,0.96                   ,0.04
Deaths1         ,-0.19 ,.       ,0.20    ,.    ,.          ,.         ,.        ,-0.13                  ,0.65
Deaths2         ,-0.20 ,.       ,0.18    ,.    ,.          ,.         ,.        ,-0.18                  ,0.64
Deaths3         ,-0.15 ,.       ,0.15    ,.    ,.          ,.         ,.        ,0.72                   ,0.30
Deaths4         ,-0.16 ,.       ,0.01    ,.    ,.          ,.         ,.        ,0.55                   ,0.51
Deaths5         ,-0.14 ,.       ,0.14    ,.    ,.          ,.         ,.        ,0.70                   ,0.33
