Time,Factor_Global,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.609830077922015,0.0608689887744926,0.973551218274669,-0.22169965339319145,0.31627624515886665,0.25538533047472883,-0.05231270165587314,100705.06843134304,26490.0,80738.85797363012,7714.568606808041,22344.43776006417,50679.85160675791,30058.931167594128,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,304.78850774552564,15.84332527,100.0,59.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,MS,2012-03-01
2012-04-01,-0.21167504134741108,-0.0017742873293651682,0.40382107615801244,-0.5286288952309364,0.08389963246322613,-0.061123737033576916,0.0016051167072597395,100760.78612006787,24811.0,80780.74619990788,7736.299975300232,22345.910186316363,50698.536038291306,30082.143405496667,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,304.8835481545271,15.93381637,100.0,59.1,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,MS,2012-04-01
2012-05-01,0.18158479348603743,-0.10311267782212957,-1.9892593018424463,-0.7935092692969022,-0.07855699115592375,-0.08600172595086149,-0.00031474118882593026,101061.9457198037,25741.0,81019.4077430479,7776.872773689947,22401.81680266786,50840.71816669006,30178.631099170656,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,305.719650841069,16.02409329,100.0,59.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,MS,2012-05-01
2012-06-01,0.28431515819175246,-0.020090361026205168,-1.3692389513506331,-0.862921389395388,-0.13089442133485843,-0.02364473768772281,0.015213268404787985,101300.75022065314,30533.0,81208.07590467785,7812.675519537833,22443.883896333147,50951.51648880687,30256.5092674316,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,306.3653886504052,16.11415601,100.0,59.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,MS,2012-06-01
2012-07-01,0.3855422218448966,0.05294599597544975,-0.5052794205141092,-0.9283997767434975,-0.1751990652055886,0.010612020862051461,0.013645288387690685,101176.42537263586,32431.0,81326.74954882696,7841.7468752088735,22466.604839248743,51018.39783436936,30308.30993917516,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,306.0773418889112,16.07069446,100.0,59.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,MS,2012-07-01
2012-08-01,0.1571444371687324,0.3339825239892276,2.4698134530916724,-0.7835054759553531,-0.07178004877201785,0.057857522394003796,0.009238722870383263,100750.27063036022,29052.0,81201.99850112415,7847.281205762348,22422.11674577397,50932.60054958781,30269.364643184308,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,304.8707983012741,16.02718277,100.0,59.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,MS,2012-08-01
2012-09-01,0.2142896167032222,0.4142079613038454,2.155655932725676,-0.8199276530841221,-0.09757463783343545,0.033920820768717636,0.007556714061321975,100357.94339453473,28494.0,81103.1191783142,7855.203777682584,22384.836469779537,50863.07893085207,30240.01534185437,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,303.7610245170804,15.98362093,100.0,58.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,MS,2012-09-01
2012-10-01,0.36322487528511493,0.4042586914400555,2.093263109635569,-0.9146362663365453,-0.16550585167639856,0.03982680653539533,0.015557852841197916,99689.4358526108,25540.0,81009.6645708553,7863.547119335428,22349.113170502394,50797.00428101751,30212.643735245685,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,301.9059109826474,15.98697793,100.0,58.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,MS,2012-10-01
2012-11-01,0.5741123073191989,0.40975282891241993,-1.5035965454005926,-1.0487204127782508,-0.2615564267718993,0.055009094512754105,0.02296241950343857,99385.11133861454,24584.0,81211.12425329743,7900.477757125775,22394.774158706776,50915.87233746484,30295.243632942085,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,301.1443136299933,15.98923895,100.0,58.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,MS,2012-11-01
2012-12-01,0.38383093163569415,0.6682532556569168,-0.9900171605839382,-0.9277540630166777,-0.17491239028654668,0.09185101088075479,0.017675669336917634,99029.15709840645,25295.0,81370.7713260366,7933.3552036424,22428.89664290756,51008.51947948665,30362.25184654996,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,300.2173951467796,15.99040401,100.0,58.7,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,MS,2012-12-01
