Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Vax1,Vax3,Gather1,Gather2,Gather3,Gather4,Curfew,Mask1,Mask2,School,ARP,PPP,CARES,Cons1,Cons2,Cons3,Cons4,Cons5,Employment1,Employment2,UI,PartR,UR,CPI,CPIU,PCE,PCEC,RPFI,FixAss,Prod,GDP,TBill1mo,TBill6mo,TBill1yr,TBill5yr,TBill10yr,TBill30yr,FFR
2012-03-01,42306.21146036998,12140.0,34767.68436356345,4151.025216824585,8500.175464982203,22116.483681756657,12651.200681806788,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,128.04168907605154,6.655782869,100.0,63.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,
2012-04-01,42192.13746420203,9726.0,34809.57816807852,4160.374902369175,8510.036782622043,22139.166483087334,12670.411684991188,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,127.6680026235155,6.672181962,100.0,64.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,
2012-05-01,42180.86492772219,7664.0,34936.2598659369,4179.85744932534,8540.626608122651,22215.77580848888,12720.48405744802,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,127.60253232953065,6.688202333,100.0,64.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,
2012-06-01,42143.34429912541,7068.0,35041.42261092835,4196.772446441468,8565.955227473321,22278.694937013563,12762.72767391479,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,127.45475256760012,6.703843982,100.0,64.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,
2012-07-01,42265.75763652166,6690.0,35116.3859367689,4210.071185081211,8583.901477173984,22322.413274513736,12793.972662255164,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,127.85925396029678,6.71329342,100.0,64.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,
2012-08-01,42261.43725539176,6136.0,35086.15205262723,4210.741943542343,8576.134565742363,22299.275543342494,12786.876509284735,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,127.88085395953034,6.722748888,100.0,64.1,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,
2012-09-01,42270.19595732176,5180.0,35066.94627362297,4212.708833520956,8571.065661144263,22283.171778957752,12783.77449466522,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,127.94241883262436,6.732210387,100.0,64.1,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,
2012-10-01,42241.06134800728,6024.0,35049.94520430018,4214.915025278861,8566.537871940292,22268.49230708106,12781.452897219126,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,127.92240730256164,6.773940581,100.0,64.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,
2012-11-01,42365.65979849388,8749.0,35160.48928690942,4232.449383255972,8593.184175040673,22334.85572861275,12825.633558296671,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,128.3679480960948,6.815688371,100.0,64.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2012-12-01,42468.4620202201,11021.0,35252.95000646168,4247.810483830883,8615.410615052737,22389.72890757806,12863.22109888362,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,128.74764784825982,6.857453757,100.0,64.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,
2013-01-01,42638.30322032276,13149.0,35285.76767506395,4261.801290510353,8599.513495457419,22424.45288909612,12861.314785967734,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,129.23471588597735,6.907702864,101.393,64.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,
