Time,Factor_Global,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.4871655469959824,-0.18809474242294746,-0.8084251318688803,-0.6319069060736276,0.25379782560489006,0.22528769697339499,0.03157419386939354,67498.27041660399,13742.0,55466.71178623352,5343.7108337093305,12072.617436205946,38050.383516318245,17416.403469193363,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,204.28661071840375,10.61909862,100.0,69.2,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,NH,2012-03-01
2012-04-01,-0.10237742273348834,-0.24599605126025642,-0.22989994432794755,-0.7256410414890957,0.052251247610325284,-0.04593366646121298,-0.0006424886965392685,67658.39558341507,11685.0,55527.94077397042,5356.978350990327,12080.55460984389,38090.4078131363,17437.59971695402,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,204.71969709410607,10.69905569,100.0,69.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,NH,2012-04-01
2012-05-01,0.2494152162737057,-0.32477422949456414,2.2036452636120893,-0.8125438470990913,-0.12741557289757388,-0.11222193852384528,-0.0009489406217768032,67983.30559843885,10416.0,55724.42374908946,5383.292900535316,12117.918412628364,38223.21243592567,17501.26979035096,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,205.652257754075,10.77912706,100.0,69.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,NH,2012-05-01
2012-06-01,0.14326205469581457,-0.12273583680894475,1.562491047877351,-0.798615213719251,-0.07319398575605829,-0.0384008478077779,-0.0005666487680920885,68266.46874749257,9772.0,55886.57425980904,5406.30265586135,12147.807510230285,38332.464093717404,17554.160314531015,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,206.4593123645992,10.85931274,100.0,69.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,NH,2012-06-01
2012-07-01,0.17057684826822175,-0.007269825749285227,0.6747614930495479,-0.8133371879122376,-0.08714706858802089,-0.025514554372966482,-0.0006734280691077136,68500.96918655174,10863.0,56000.55978878414,5424.654100661721,12167.226455450873,38408.67923267165,17591.92233139493,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,207.22357329055544,10.88034387,100.0,69.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,NH,2012-07-01
2012-08-01,-0.07474441687016266,0.2835532442591472,-2.377942947002172,-0.7666154378983432,0.038178268399664775,0.04859208293518491,0.00029621639838964107,68529.93588142224,10133.0,55946.80656174539,5426.729952535598,12150.220667832426,38369.85594137727,17576.98392872016,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,207.36742263302523,10.90139036,100.0,69.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,NH,2012-08-01
2012-09-01,0.0896487581223464,0.3040133833230821,-2.0700836646773606,-0.8099386305660968,-0.045799720887406484,-0.005969661471137533,-0.0003541725696792293,68579.88224628658,8111.0,55910.6735472559,5430.46852429293,12137.07548391596,38343.12953904701,17567.568913816638,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,207.57594855497663,10.92245222,100.0,69.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,NH,2012-09-01
2012-10-01,0.32981624070035614,0.24418046610424024,-2.014512728618882,-0.8698565786563641,-0.16850154561150582,-0.0001103375867287028,-0.0013022118101444144,68684.43967672189,8260.0,55878.088673016966,5434.50837827905,12124.732229473166,38318.84806526485,17559.257162344224,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,208.00138949313148,11.01440383,100.0,69.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,NH,2012-10-01
2012-11-01,0.5963457911666209,0.21980061590667113,1.6535100781892138,-0.9367416372318346,-0.30466772826059846,-0.015073199586100266,-0.0023548879555839067,69038.62146196334,8444.0,56048.85414492412,5458.30889880627,12156.525095501696,38434.02015061605,17614.842277198564,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,209.18513940104765,11.10667221,100.0,69.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,NH,2012-11-01
2012-12-01,0.26486019743368544,0.5616591859401239,1.112347976405403,-0.8714219434202451,-0.13532601963323443,0.0826269376566496,-0.0010443817887667971,69357.41055540644,9817.0,56190.78862346287,5479.307705307527,12182.060381935124,38529.42053622022,17661.36808724265,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,210.26434781744257,11.19925735,100.0,69.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,NH,2012-12-01
