Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,0.001316609071431623,1.9515259277271244,1.8201611618798048,0.9555834030849641,-0.7001244986223303,0.008574385396209727,0.11599561040477646,-0.025107549720172127,269789.0409585401,50853.0,205714.74407179025,21876.04652328671,47264.95212312629,136573.72035895122,69140.94851356094,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,816.5289044969169,42.44429399,100.0,61.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,AZ,2012-03-01
2012-04-01,0.11625860353059553,1.9019540373904382,1.8604509373987652,0.5704932216346943,-0.5432263697377159,-0.17953091891098052,0.112227774948004,-0.02744942450502098,270279.8750325436,54484.0,205975.24015514087,21927.282558628565,47294.97526685759,136752.94895159514,69222.22444742626,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,817.8111235054973,42.74042449,100.0,61.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,AZ,2012-04-01
2012-05-01,0.20090536272804443,1.8805277429131804,1.8734218126048536,-1.255692611017166,-0.45254334917117023,-0.20838949382623168,0.1085073979141218,-0.029367830373595683,271429.01537782943,56817.0,206737.44077096356,22031.92353188844,47440.20289913186,137265.2725705235,69472.10972325249,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,821.0863615494114,43.03669854,100.0,61.1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,AZ,2012-05-01
2012-06-01,0.30260133396059463,1.8318080159301477,1.8822873499333341,-0.7162023861886601,-0.33267744909994373,-0.26869097277496273,0.10669727512709501,-0.031377412522371535,272411.23726229643,58684.0,207372.3220733371,22123.03418117628,47556.16625210624,137693.07149161518,69679.20043328252,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,823.8574185589346,43.33311615,100.0,61.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,AZ,2012-06-01
2012-07-01,0.3589567025566982,1.8097947693598209,1.9168821745224431,-0.005552054508731061,-0.27139858438906805,-0.3001173906050315,0.10609879596285383,-0.03255508167731254,272322.50518013537,63324.0,207828.4874005745,22195.08221375577,47631.14096651294,138002.20573491076,69826.2398903817,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,823.8223258472027,43.25507014,100.0,61.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,AZ,2012-07-01
2012-08-01,0.4320628475874376,1.741961087431857,1.9490316098357676,2.3981112177470907,-0.15087005522448385,-0.339662892920464,0.10849406500365423,-0.0335781562299219,271420.4679823462,52744.0,207662.02015155336,22200.549587809142,47563.52735448413,137897.87659255558,69764.11025064532,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,821.3161632775418,43.1769272,100.0,60.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,AZ,2012-08-01
2012-09-01,0.4629445778932054,1.718045658605976,1.9791600996433336,2.1959228010616823,-0.10455742025737338,-0.35655681321720484,0.10998406845513053,-0.0340712149210853,270607.99569631094,46769.0,207560.74477729405,22212.83834268124,47511.03318423176,137836.79853355783,69723.9213381285,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,819.0698138056765,43.09868734,100.0,60.9,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,AZ,2012-09-01
2012-10-01,0.4986666200625466,1.695401485914885,1.9616584674298292,2.1731662416015,-0.05946045607643144,-0.3763646368657793,0.11116316673123652,-0.03470604763551147,270407.5740569673,43114.0,207472.4448814853,22226.37742483387,47461.68439663477,137784.3002870566,69688.128039837,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,818.8997623091668,43.36361744,100.0,60.8,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,AZ,2012-10-01
2012-11-01,0.5370481901775851,1.7310349573025772,2.0136860987671423,-0.6439366620779654,-0.08640452589856391,-0.40062237301503173,0.10845701460821727,-0.036158560913849676,271191.31157915,37439.0,208139.09955040505,22320.74168314962,47585.10670019581,138233.16005526346,69905.9312122507,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,821.7098394775816,43.62863378,100.0,60.8,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,AZ,2012-11-01
2012-12-01,0.6157642771857216,1.6963867595179236,2.0475346487005632,-0.19613122168773606,-0.010494947694591618,-0.4450230000697123,0.10889220554504131,-0.03775339210339309,271835.5153937153,37414.0,208698.7166104997,22403.64637698448,47684.03368027597,138610.93714274353,70087.7794677562,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,824.0982023600052,43.89373638,100.0,60.7,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,AZ,2012-12-01
