Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.9428045958221705,0.051299940466827676,0.8929485403615751,2.171336288933937,-0.16123711148487171,0.8256617419410432,-0.15380597777849037,0.27666052415188563,63498.06988519577,11144.0,35549.230460720915,4068.180678798817,7588.835413846695,23892.23943450143,11657.016092645512,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,192.179820424124,9.989771032,100.0,62.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,DE,2012-03-01
2012-04-01,-0.435469486269477,-0.16008610830003223,0.9031438489953894,1.6653717172452744,0.35069649714666773,0.2621056975902678,-0.15088241375120912,0.03619093221759492,63179.92776987833,10429.0,35566.42567707398,4074.092617440701,7589.169487112731,23903.19695058048,11663.262104553402,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,191.17691827048245,9.991283323,100.0,62.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,DE,2012-04-01
2012-05-01,0.20146653071614118,-0.522419260983511,0.9039255026412196,-0.024611009158075507,1.1126927771406856,-0.2497780424062977,-0.10379710299926352,0.004008172447495031,63015.7520834586,9089.0,35670.257165961564,4089.927889274285,7607.990657016259,23972.38038909046,11697.918546290572,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,190.6333053311145,9.991918604,100.0,62.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,DE,2012-05-01
2012-06-01,-0.0434790662557831,-0.11915447011971067,0.8610766123385433,0.21083213250728183,0.6612101449844746,-0.06142566484339872,-0.05934527743574444,0.032067772501968315,62812.12388670465,9032.0,35752.07614539036,4103.24560699671,7622.11144989168,24026.76923694135,11725.35705688839,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,189.96365481826209,9.991676876,100.0,62.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,DE,2012-06-01
2012-07-01,-0.027789461887756106,0.04358460308574941,0.8407586755331756,0.6895651608588721,0.5760143648342577,0.09779638982827578,-0.03860849329711408,0.041765487689382784,62667.46875208873,9897.0,35803.079673818625,4113.0272040638965,7629.662121515941,24060.44883363415,11742.689325579808,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,189.58160066172047,9.954046129,100.0,62.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,DE,2012-07-01
2012-08-01,-0.643016370835948,0.7355453574651898,0.8092915892160686,2.521298356608448,-0.353859520280626,0.6083703026367764,-0.054397951464424776,0.09802401547056981,62336.11458073115,9603.0,35746.92314097757,4110.48380381381,7614.3892080939295,24022.11674577397,11724.87301190777,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,188.63033235073692,9.916373853,100.0,62.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,DE,2012-08-01
2012-09-01,-0.3582874300826997,0.6130228362503016,0.8544936761493336,2.2874422757963955,-0.04415838737394778,0.5461560974308648,-0.0911129677574118,0.0856938754991633,62026.121001404674,8005.0,35702.16379920103,4109.226033333665,7601.565068390799,23991.447414299804,11710.791101724464,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,187.73918060550517,9.878660048,100.0,61.9,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,DE,2012-09-01
2012-10-01,-0.15073107334359057,0.4889555167819318,0.9033779685068657,2.232819151677303,0.2047923215913877,0.15939544816745238,-0.08752507663077524,0.07252516749181774,61491.60185543867,8182.0,35659.79982187262,4108.220679334237,7589.270637782212,23962.39127771656,11697.49131711642,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,186.22664094083052,9.861354448,100.0,61.8,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,DE,2012-10-01
2012-11-01,0.631371681580629,-0.06988026301323114,1.01898489210572,-0.14289011582350747,1.1909808182260497,-0.3764976005044005,-0.036041660732931885,0.018968226641431288,61182.001610193925,8251.0,35747.257534945486,4122.162695848951,7604.612907393971,24020.5730434984,11726.775603242952,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,185.38755876710832,9.843141122,100.0,61.7,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,DE,2012-11-01
2012-12-01,0.2849979304910525,0.3750440940581409,1.0655586400702879,0.09043689579961453,0.6363167805559914,-0.2728641939814989,0.01289681429213772,0.05173842861401256,60840.51574165201,8954.0,35816.3092859344,4133.98546618552,7616.036901176026,24066.38632906862,11750.022367361547,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,184.44447764755003,9.82402007,100.0,61.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,DE,2012-12-01
2013-01-01,0.14325954111492178,0.5717892437580162,1.1071438614954454,0.9456955626639234,0.39703936506136206,0.1434617581926412,0.02269980139911857,0.0679424108278312,60499.79990805688,10105.0,35824.92451076696,4133.957421757439,7623.569177241777,24067.480594388857,11757.526598999177,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,183.3871151041305,9.802193565,94.971,61.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,,DE,2013-01-01
2013-02-01,-0.19617231468062155,0.8769928617056664,1.1129170467334168,2.0473898313397707,-0.06870892095196392,0.23015172494212766,0.00673499940309875,0.09503875898161784,60056.315657664105,10319.0,35771.51462427666,4126.777782171428,7617.8707474923185,24026.931999420005,11744.648529663787,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,182.0064971924552,9.779481809,94.971,61.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,,DE,2013-02-01
