Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.628694202333886,-0.18459487336912886,-2.029715829691303,1.0009755863925134,-0.3461564884038895,0.36271509275332203,0.031146542037892255,0.20809974829346897,237392.89116157815,49344.0,141249.6365368226,15784.854865393292,36910.88885546698,88553.94294881435,52695.6685215822,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,718.4804714493407,37.34760177,100.0,59.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,LA,2012-03-01
2012-04-01,-0.1669678092822185,0.14269235561753124,-1.8836844304798508,0.5486672477253351,-0.997434073887579,0.09765015316464354,0.019008405603763125,-0.0003397170266870481,237537.66714063543,46694.0,141415.9640585054,15834.484876401077,36951.21462760098,88630.29793256293,52785.63274788216,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,718.744921995474,37.56302915,100.0,59.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,LA,2012-04-01
2012-05-01,0.24535980649329048,0.4445294699161817,-1.7884878666840758,-1.5692025128328198,-1.5775264122679422,-0.1611490329812007,0.13770664104388072,-0.035053368639298435,238261.05552993665,45321.0,141926.748133742,15922.67812151222,37081.54560218136,88922.54111781652,53004.1652465064,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,720.7565880064959,37.77797982,100.0,59.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,LA,2012-05-01
2012-06-01,0.12207078499394441,0.23429796300908068,-1.7240384808662748,-1.0728702414649918,-1.341827281586737,-0.08014579457285498,0.061542024878466384,-0.025591633633778588,238837.4588782797,47536.0,142350.1063146915,16001.11329535425,37189.02952740111,89159.96349193614,53190.09267431598,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,722.31973361149,37.9924538,100.0,59.7,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,LA,2012-06-01
2012-07-01,0.10941440177821526,0.16764639884314292,-1.5955725394649252,-0.3189199592840659,-1.2944541340266114,-0.07059393655307253,0.04913764202871453,-0.01793580425204874,237505.11329456588,47912.0,142650.7837042982,16065.762649555543,37264.46260276719,89320.54174186215,53330.18347704031,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,718.5114160818127,37.72568517,100.0,59.6,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,LA,2012-07-01
2012-08-01,-0.33631183405185183,-0.27767278503340087,-1.4777864580190077,2.2717595257420684,-0.6124548441039268,0.2092458658790931,-0.145608602575371,0.02887752852291801,235468.09892580565,44027.0,142524.14022816188,16082.171704554885,37228.278790906814,89213.65642434843,53310.41718710967,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,712.5422460154883,37.4586378,100.0,59.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,LA,2012-08-01
2012-09-01,-0.23881807950762557,-0.22821103894163874,-1.3325386938690646,1.9908149665246413,-0.7434788871616342,0.14949125578445768,-0.10269743842610114,0.0324052550505643,233516.7714362566,42959.0,142442.31861245877,16103.442951214896,37203.82251267696,89135.00333735145,53307.24055828411,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,706.8029826955838,37.19131171,100.0,59.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,LA,2012-09-01
2012-10-01,-0.15347038244182898,-0.16618201242147534,-1.2317908425109392,1.9389135934798847,-0.8661121058574917,0.09671251833280821,-0.06669899899582274,0.022781605851550844,232110.7104899828,40156.0,142369.47531875898,16125.546715403416,37181.7296899987,89062.13269498822,53307.259850810005,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,702.9371698600473,37.22299104,100.0,59.5,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,LA,2012-10-01
2012-11-01,0.367396354069232,0.20859209076481733,-1.110902473303499,-1.2578518664488478,-1.586119310782932,-0.2254556877041778,0.14799318844239495,-0.026759696844896933,231552.2468168852,37305.0,142814.71670857776,16206.262196556272,37294.94876203918,89313.42292107735,53501.20267570496,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,701.6187351032214,37.25240393,100.0,59.6,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,LA,2012-11-01
2012-12-01,0.22794762552237913,-0.05681857622784747,-1.0180693530651335,-0.8586209404530852,-1.299020454893677,-0.13365296652334863,0.07323473418985571,-0.016002193918367654,230873.61943674012,39333.0,143186.50403109562,16278.667501714832,37388.98332885986,89518.75379002516,53667.6508305747,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,699.9178693348445,37.27955037,100.0,59.7,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,LA,2012-12-01
