Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.41879470173094846,-1.691225183256453,-1.1620132651950899,0.6906686972847298,0.010733386158493133,0.5797385388679012,0.18352282538858739,-0.5840855387107666,643289.0158921141,222678.0,474284.2532711686,49704.21617285808,105645.68606808042,318934.37609665614,155349.95237379055,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,1946.9437068230811,101.2048081,100.0,63.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,PA,2012-03-01
2012-04-01,0.08668207813563411,-1.3029136162764197,-0.8840840380693226,0.04599725726699321,-0.6928064369583122,-0.11055531687028179,0.0616765474728708,-0.02364487657002829,644471.8589576703,210712.0,474524.2291337061,49748.56307451986,105625.17106255682,319150.52837468905,155373.7675151373,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,1950.0386277612,101.91287,100.0,63.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,PA,2012-04-01
2012-05-01,0.4922840985559511,-0.9985421263241387,-0.6757499167053619,-2.407882779434664,-1.2500117791996956,-0.34504042052110023,0.20185438369273917,-0.0056479438289176115,647224.4053705445,193044.0,475920.0967713906,49914.088658098924,105861.9620934168,320144.0877892946,155776.0674592828,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,1957.886015598372,102.6213005,100.0,63.5,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,PA,2012-05-01
2012-06-01,0.4059714341568942,-1.19297392504709,-0.3722179696430529,-1.6718313527602946,-1.0156184207288477,-0.33135065616229653,0.17831912397737243,-0.005261434775643601,649578.9537029607,199804.0,477022.2859664608,50048.84457995667,106033.30859343658,320940.1829415069,156082.15317339325,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,1964.5314390596168,103.3300995,100.0,63.5,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,PA,2012-06-01
2012-07-01,0.4410088871299662,-1.2402797227834435,-0.13345268713056277,-0.7993770552975467,-0.9976109313206584,-0.35518692032287885,0.19222107147172093,-0.005264895813756421,651012.3989038169,221876.0,477713.3213020524,50140.46520954482,106113.25279058854,321459.661787314,156253.70129002107,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,1969.4010818127133,103.4040706,100.0,63.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,PA,2012-07-01
2012-08-01,0.15375634025496554,-1.5929243571090947,0.1843714792165089,2.102975603401965,-0.4816327937265785,-0.24941781437284472,0.11587137037384301,-0.005638863815000472,650495.4617370302,202637.0,476974.5024564906,50081.93854609043,105875.85977183812,321016.77075526654,155957.7650095758,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,1968.37089782663,103.4780646,100.0,63.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,PA,2012-08-01
2012-09-01,0.34927681715868975,-1.4279521817476613,0.3337164424720791,1.608060604055976,-0.766821289035517,-0.32965188214495017,0.17282315431990694,-0.005448512644767236,650182.7075384294,174841.0,476387.6906524273,50039.25123780871,105672.67555962902,320675.83857181284,155711.87698622225,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,1967.9574801502304,103.5520815,100.0,63.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,PA,2012-09-01
2012-10-01,0.48415191758934983,-1.2515532865410846,0.46237756193274065,1.3772835709128095,-1.0236428038814656,-0.3782213842176548,0.2072126147527275,-0.005263527769918295,647320.9041456011,170372.0,475832.7787544989,49999.80134489506,105477.00401614368,320356.0561664203,155476.73914267108,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,1960.370033870695,103.8084758,100.0,63.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,PA,2012-10-01
2012-11-01,0.7860210585074361,-0.9888301502569867,0.5635236537437252,-2.255645984077037,-1.468397626412834,-0.5012046649551336,0.2908468416872071,-0.004939193438110443,646820.4965095896,179911.0,477010.1415711647,50142.33319086762,105665.48883963365,321202.41065245954,155807.73920159528,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,1959.8960053275557,104.0605588,100.0,63.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,PA,2012-11-01
2012-12-01,0.4824590281217369,-1.3526539407535159,0.8143809950176865,-1.59435006927674,-0.9292704830164734,-0.38831370717979513,0.20872304398779928,-0.005321043310324728,645985.3071287266,207018.0,477941.90450627776,50259.06375195093,105799.50891215094,321883.4312526717,156058.47325360612,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,1958.3729871859875,104.3083305,100.0,63.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,PA,2012-12-01
2013-01-01,0.1923959510896771,-1.723190184975437,0.9968172816291387,0.22245882783165202,-0.3917860199654908,-0.2829144183641667,0.13364221741370308,-0.005714090771656596,648250.7333948496,242906.0,477950.2895545388,50224.49158456279,105699.6686080546,322026.228581067,155924.06924173454,143292.0,135265.0,101.6840618,100.871,100.787,0.05,0.11,0.15,0.81,1.91,3.08,1964.8260370881164,105.0215831,100.958,63.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7120281,0.14,,,,,,,PA,2013-01-01
2013-02-01,0.21027255810224554,-1.7082834745373532,1.0517058093483036,1.8103172885699943,-0.41854020334743713,-0.29026356612899207,0.14095778850650534,-0.005710865222055183,649382.0765286617,226260.0,477131.7733665496,50103.22340411513,105417.52342915891,321611.125390486,155520.6644522648,143362.0,135544.0,102.2361988,100.992,101.156,0.08,0.12,0.16,0.85,1.98,3.17,1967.8619281110364,105.73617,100.958,63.4,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,102.238806,0.15,,,,,,,PA,2013-02-01
2013-03-01,0.7635821760994363,-1.253851125723922,0.9983509695334265,-3.1426914350815007,-1.2051915062500136,-0.5186159838843949,0.2963245092699314,-0.005144426885712806,653737.6637003456,212928.0,478686.1160329826,50231.20972451818,105659.8744840284,322795.13081179536,155891.0099680271,143316.0,135689.0,101.9487188,101.085,101.023,0.08,0.11,0.15,0.82,1.96,3.16,1980.687290023064,106.4520914,100.958,63.3,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.975417,0.14,,,,,,,PA,2013-03-01
2013-04-01,0.5961111453611673,-1.5449200985315887,1.1299011916998598,-2.2811592146216135,-0.8213397285325457,-0.4661126943743764,0.25340314494569927,-0.005412022652643463,655906.2450467586,180018.0,479987.6499181061,50332.593649284056,105846.21176097637,323808.94357267395,156178.73936704212,143635.0,135876.0,101.735852,101.163,100.944,0.05,0.09,0.12,0.71,1.76,2.93,1992.474980187034,106.8570835,100.958,63.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.7559263,0.15,,,,,,,PA,2013-04-01
