Time,Factor_Global.1,Factor_Global.2,Factor_Response,Factor_Pandemic,Factor_Uncat,Factor_Consumption,Factor_Employment,Factor_Inflation,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,Factor_Vax1,Factor_Vax3,Factor_Gather1,Factor_Gather2,Factor_Gather3,Factor_Gather4,Factor_Curfew,Factor_Mask1,Factor_Mask2,Factor_School,Factor_ARP,Factor_PPP,Factor_CARES,Factor_Cons1,Factor_Cons2,Factor_Cons3,Factor_Cons4,Factor_Cons5,Factor_Employment1,Factor_Employment2,Factor_UI,Factor_PartR,Factor_UR,Factor_CPI,Factor_CPIU,Factor_PCE,Factor_PCEC,Factor_RPFI,Factor_FixAss,Factor_Prod,Factor_GDP,Factor_TBill1mo,Factor_TBill6mo,Factor_TBill1yr,Factor_TBill5yr,Factor_TBill10yr,Factor_TBill30yr,Factor_FFR,State,Time
2012-03-01,-0.7306735932587114,1.2672226381262426,-1.2296854187759472,1.1685357634165259,0.11431527904534577,0.5633522855956414,0.13675813349959068,-0.18062760207061643,44326.16433548905,4271.0,27356.24404672382,2723.2415902140674,5992.831002155713,18640.196520780068,8716.047525943752,142036.0,133744.0,100.4235391,99.595,99.735,0.06,0.14,0.19,1.02,2.17,3.28,134.15516909811,6.973569957,100.0,70.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.4389816,0.13,,,,,,,SD,2012-03-01
2012-04-01,-0.764459102764353,1.063834458478087,-1.146298926512865,-0.8866707511826465,0.3103362795066124,0.3445315658778391,0.11016050963870773,-0.12626889204269046,44304.50136516262,2741.0,27428.554262712038,2728.422753155899,5998.237638435504,18701.927249180604,8726.627013531463,141899.0,133827.0,100.5903214,99.746,99.866,0.07,0.14,0.18,0.89,2.05,3.18,134.05804618188373,7.006138257,100.0,70.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.6145742,0.14,,,,,,,SD,2012-04-01
2012-05-01,0.38449994254444675,2.227107990207924,-0.7401168780034367,-2.6235048567267576,0.2728377667694432,-0.23903176665281536,0.0133692889358172,-0.597178419594565,44390.76795583806,2043.0,27567.66645949034,2740.2493467262766,6018.254907071395,18809.20397511208,8758.462484378239,142206.0,133935.0,100.3822825,99.847,99.754,0.07,0.15,0.19,0.76,1.8,2.93,134.28606501994906,7.038515276,100.0,70.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3950834,0.16,,,,,,,SD,2012-05-01
2012-06-01,0.24658335101769946,1.9108209971496972,-0.7066740972353731,-2.2182392783366476,0.34425518998703675,-0.18489885444505208,-0.10115204632445565,-0.49839963941502513,44449.57072935891,2048.0,27689.86199149483,2750.3911578271686,6034.562304421087,18904.95867768595,8784.903313808874,142391.0,134007.0,100.2993302,99.95,99.704,0.05,0.15,0.19,0.71,1.62,2.7,134.42950794351282,7.070701013,100.0,70.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3072871,0.16,,,,,,,SD,2012-06-01
2012-07-01,-0.019711575755070092,1.5540615059186589,-0.5822843448069628,-1.5102276507165175,0.3986153551080532,-0.018816607695240243,-0.10821655940899144,-0.36841175400569937,43784.57322371496,2028.0,27788.199318227395,2758.162890181141,6045.668738720674,18984.42617472097,8803.773143506447,142292.0,134153.0,100.3282977,100.053,99.74,0.07,0.15,0.19,0.62,1.53,2.59,132.46501654301184,6.95512054,100.0,70.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.3511853,0.16,,,,,,,SD,2012-07-01
2012-08-01,-1.310132449329205,0.025530879226683685,-0.7435512679015539,1.0316922276121478,0.5641749379282914,0.7298976696155004,0.04212402494069696,0.21358538926639692,42991.22324922978,1783.0,27803.147639270548,2757.66508451994,6038.670996752436,19006.878174702277,8796.269464568244,142291.0,134330.0,100.9111577,100.116,100.075,0.09,0.14,0.18,0.71,1.68,2.77,130.10025650761926,6.839423787,100.0,70.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,100.9218613,0.13,,,,,,,SD,2012-08-01
2012-09-01,-1.334624076052893,-0.04594188360656351,-0.5476312183436606,0.7146941426422213,0.575523449045928,0.7480237952297082,0.20311892859043493,0.23478895927217155,42216.20059972703,1530.0,27826.58723438169,2758.022096255193,6033.58272148557,19035.05713346417,8791.530100917524,143044.0,134512.0,101.3926317,100.24,100.379,0.08,0.14,0.18,0.67,1.72,2.88,127.77898703912174,6.723610755,100.0,70.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.404741,0.14,,,,,,,SD,2012-09-01
2012-10-01,-1.0178886877281514,0.12447320388251269,-0.527301490459985,0.5576610510872202,0.5619475924425046,0.5668729250298146,0.24418202873198297,0.1409148277166622,42861.659895838464,1621.0,27851.54504007866,2758.5413417828,6028.88445225821,19064.20201899808,8787.343021080613,143431.0,134671.0,101.6660668,100.482,100.677,0.11,0.15,0.18,0.71,1.75,2.9,129.79346881611488,6.873019857,100.0,70.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.6681299,0.16,,,,,,,SD,2012-10-01
2012-11-01,0.5747448585182163,1.652981595053381,-0.1301187512613512,-2.061892066477867,0.4087582793386529,-0.35364448430799555,0.07962139256602971,-0.4917542249390186,43661.56771925643,2152.0,27977.765408661257,2769.0945475388185,6046.129073939707,19162.63289897852,8815.132509682702,143333.0,134834.0,101.4953345,100.591,100.609,0.12,0.14,0.18,0.67,1.65,2.8,132.28618791559404,7.023727073,100.0,70.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,SD,2012-11-01
2012-12-01,0.5164056517261019,1.2855147873045447,-0.20684516309490128,-1.8235603974157628,0.45041316900309997,-0.31586344038448705,-0.09267363627432156,-0.39407815628686244,44439.5733301522,3410.0,28089.628502977343,2778.2251250086983,6060.262642529799,19251.24014593461,8838.388357042735,143330.0,135075.0,101.4830453,100.664,100.593,0.04,0.12,0.16,0.7,1.72,2.88,134.7232808445916,7.175732404,100.0,70.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,101.4925373,0.16,,,,,,,SD,2012-12-01
