Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,-1.5270046820621614,-0.3572730092699322,188925.2519175816,34524.0,137932.47104827795,14639.84559081566,37736.8526595478,85555.84799719257,52376.62305108538,142036.0,133744.0,100.4235391,99.595,99.735,AL,2012-03-01
2012-04-01,-0.5935097884590746,0.08187117527334853,189220.98945920836,32981.0,138016.7424348627,14673.028524890053,37742.64180668767,85601.1388594049,52415.60357545781,141899.0,133827.0,100.5903214,99.746,99.866,AL,2012-04-01
2012-05-01,1.7867365127690737,0.13050988131471597,189977.6115911813,33835.0,138437.20552559293,14741.948526709002,37840.37064512029,85854.94483095083,52582.26069464212,142206.0,133935.0,100.3822825,99.847,99.754,AL,2012-05-01
2012-06-01,0.8803358936883655,-0.19803963570111893,190617.3272887748,36905.0,138772.26590708498,14801.813367568002,37914.727593677286,86055.77509427907,52716.4908128059,142391.0,134007.0,100.2993302,99.95,99.704,AL,2012-06-01
2012-07-01,0.16096621657263227,-0.03797530774324233,190205.66807031585,39609.0,138987.71806697414,14848.923868725387,37956.40331528645,86182.43265824474,52805.2854087294,142292.0,134153.0,100.3282977,100.053,99.74,AL,2012-07-01
2012-08-01,-2.385586820255951,0.4120720570670049,189227.24623199305,35107.0,138787.1096677492,14851.494712299076,37884.519943375766,86051.12832042637,52735.981347322806,142291.0,134330.0,100.9111577,100.116,100.075,AL,2012-08-01
2012-09-01,-1.5920804244993105,0.9869631844542782,188313.4918658285,33539.0,138630.6398748742,14858.635770430072,37824.79403062394,85947.23497942797,52683.404895446256,143044.0,134512.0,101.3926317,100.24,100.379,AL,2012-09-01
2012-10-01,-1.2921986134754222,1.2761131871441138,187905.08259085985,32992.0,138483.36760133892,14866.619651625197,37767.67947661004,85849.08502769578,52634.282573643126,143431.0,134671.0,101.6660668,100.482,100.677,AL,2012-10-01
2012-11-01,1.9525785080923557,0.9595574907756208,188181.17663429715,32507.0,138840.21310220758,14928.667746755558,37848.08847452345,86063.46516381906,52776.74793838852,143333.0,134834.0,101.4953345,100.591,100.609,AL,2012-11-01
2012-12-01,0.8766353167138865,0.3223402288162452,188360.22387243647,33019.0,139125.5852792938,14983.050510472896,37908.99963218117,86233.53513663972,52892.05014265406,143330.0,135075.0,101.4830453,100.664,100.593,AL,2012-12-01
2013-01-01,-1.088419041396685,0.4484411909098893,189534.7945006132,36970.0,139189.02404741384,14994.832336180954,37900.87842016658,86293.313291066,52895.71075634754,143292.0,135265.0,101.6840618,100.871,100.787,AL,2013-01-01
2013-02-01,-2.3539067402859426,0.9528642282759802,190374.93244757305,34839.0,139011.3125601378,14980.607510511783,37827.233843436574,86203.47120618974,52807.84135394836,143362.0,135544.0,102.2361988,100.992,101.156,AL,2013-02-01
2013-03-01,2.4290333230873706,0.8918245118595016,192159.11228136168,31562.0,139524.78643477228,15040.857032556944,37941.73109093969,86542.19831127564,52982.58812349663,143316.0,135689.0,101.9487188,101.085,101.023,AL,2013-03-01
2013-04-01,1.2897528801779372,0.19751969315598275,192197.7532097004,30435.0,139964.6998996146,15093.186981560766,38036.17187087226,86835.3410471813,53129.35885243303,143635.0,135876.0,101.735852,101.163,100.944,AL,2013-04-01
2013-05-01,-0.25749968882496743,0.05542099606307645,191960.49896049892,30999.0,140203.75045375014,15123.85737385734,38076.02382602386,87003.86925386921,53199.8811998812,143882.0,136091.0,101.7779865,101.272,101.01,AL,2013-05-01
2013-06-01,-1.389726267248919,0.4680339183963166,191435.66997273485,33547.0,140231.60587979612,15131.732327024143,38058.59050855495,87041.28304421702,53190.3228355791,143999.0,136269.0,102.0202597,101.438,101.228,AL,2013-06-01
2013-07-01,-0.31062122144945037,0.696646728537718,191889.74617018868,36236.0,140386.65633982577,15153.31577112566,38075.762508961954,87157.57805973785,53229.078280087626,144264.0,136391.0,102.2199594,101.567,101.354,AL,2013-07-01
2013-08-01,-0.5752209884050787,0.7434902119946744,192285.85032673329,33806.0,140499.78655633237,15170.360883985122,38081.63399336686,87247.79167898068,53251.99487735198,144326.0,136635.0,102.4639882,101.685,101.51,AL,2013-08-01
2013-09-01,0.48714102279091387,0.6886316390769358,192900.83702609548,32311.0,140773.1905465288,15204.702117183651,38130.99458394879,87437.49384539634,53335.696701132445,144418.0,136819.0,102.5026115,101.799,101.55,AL,2013-09-01
2013-10-01,-0.6851515950979197,0.827353488256987,192395.9746498624,30260.0,140863.3497833969,15219.24133094778,38130.77144898183,87513.337003467,53350.01277992961,143537.0,137039.0,102.557474,102.015,101.722,AL,2013-10-01
2013-11-01,-0.6564676538387222,0.7308774206437417,191917.3022120582,30768.0,140971.19024482777,15235.675281292197,38135.41451955389,87600.100443982,53371.089800846086,144479.0,137314.0,102.7466402,102.194,101.881,AL,2013-11-01
2013-12-01,-0.9341870164873202,0.9142643641486874,191357.6074605227,31046.0,141017.88723012424,15245.484111124171,38123.60409074879,87648.79902825125,53369.088201872975,144778.0,137368.0,103.0183197,102.333,102.084,AL,2013-12-01
2014-01-01,-0.5623059575241033,1.0945169225167202,190322.2915322288,34098.0,141111.26048612603,15261.208014757132,38118.11109590205,87731.94137546686,53379.319110659184,145150.0,137552.0,103.2680542,102.426,102.278,AL,2014-01-01
2014-02-01,0.5591546691379443,0.9139574173623108,189538.75067586527,32393.0,141389.1711778616,15296.875712508256,38162.54307621148,87929.75238914187,53459.41878871974,145134.0,137707.0,103.3817294,102.489,102.338,AL,2014-02-01
2014-03-01,-1.0117911643352833,0.7299917067137407,188489.21915684151,28432.0,141466.43359371187,15310.820826385028,38152.8968335235,88002.71593380338,53463.71765990853,145648.0,137986.0,103.5928407,102.684,102.543,AL,2014-03-01
2014-04-01,-0.8617713277482725,0.846504985150961,189309.9543841204,27347.0,141551.6536567324,15325.60523771515,38145.516601454816,88080.53181756244,53471.121839169966,145667.0,138298.0,103.7859569,102.879,102.742,AL,2014-04-01
