Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,-1.6771903668297283,-0.8033821899335392,298815.46097157465,62762.0,200405.2739760365,21292.048929663608,50458.48999849602,128654.6598485988,71750.61412743772,142036.0,133744.0,100.4235391,99.595,99.735,IN,2012-03-01
2012-04-01,-0.7404291357183284,-0.28486545028961624,299531.07163599227,53624.0,200751.5403974656,21332.01823777192,50491.92584730208,128927.5295562724,71824.0108411939,141899.0,133827.0,100.5903214,99.746,99.866,IN,2012-04-01
2012-05-01,1.8674951766999528,-0.17668367010640257,300976.2014555807,48281.0,201586.77012116503,21423.94457030966,50648.353282408025,129514.41379125947,72072.35632990487,142206.0,133935.0,100.3822825,99.847,99.754,IN,2012-05-01
2012-06-01,1.06698369510854,-0.48106146381181447,302236.52009949455,49145.0,202298.0020861751,21502.697986038675,50773.53967744524,130021.7142742518,72276.2878119233,142391.0,134007.0,100.2993302,99.95,99.704,IN,2012-06-01
2012-07-01,0.2802869610408298,-0.3171920307150419,302537.096450772,49665.0,202834.9040839513,21562.92193035222,50854.96457456056,130416.97580375677,72417.92828019522,142292.0,134153.0,100.3282977,100.053,99.74,IN,2012-07-01
2012-08-01,-2.518588149564889,0.23349569574370777,301932.65051211586,44011.0,202763.79382130105,21558.49779332171,50784.14522441499,130421.11749521158,72342.67632608874,142291.0,134330.0,100.9111577,100.116,100.075,IN,2012-08-01
2012-09-01,-1.7901803061726613,0.8950694474357714,301425.29812012473,43289.0,202755.75568595028,21560.7597206587,50729.46034529134,130465.51071439248,72290.24497155781,143044.0,134512.0,101.3926317,100.24,100.379,IN,2012-09-01
2012-10-01,-1.4988922763439614,1.263277683634904,299723.47209392407,40672.0,202759.84915455664,21564.293069254443,50678.12575530329,130517.41377540748,72242.43537914984,143431.0,134671.0,101.6660668,100.482,100.677,IN,2012-10-01
2012-11-01,2.146365688894792,0.9722877569876889,299115.88426482724,42799.0,203501.54227421703,21646.265907291297,50811.267712961366,131044.00037107315,72457.54190314317,143333.0,134834.0,101.4953345,100.591,100.609,IN,2012-11-01
2012-12-01,1.2384206785856087,0.3320837568630923,298353.1657272376,50365.0,204138.65775948623,21717.11749326494,50918.25474933643,131503.28551688488,72635.37224260138,143330.0,135075.0,101.4830453,100.664,100.593,IN,2012-12-01
2013-01-01,-1.9339426393867485,0.560183137360683,301508.0648628623,63782.0,204133.35383862304,21725.69378987369,50916.01595443857,131491.64409431076,72641.70974431225,143292.0,135265.0,101.6840618,100.871,100.787,IN,2013-01-01
2013-02-01,-3.2847090299226087,1.3491664315052423,304123.79558965063,59986.0,203774.92849328465,21696.636877693854,50825.7048519119,131252.58676367885,72522.34172960576,143362.0,135544.0,102.2361988,100.992,101.156,IN,2013-02-01
2013-03-01,1.9418488251381296,1.3323336813845317,308244.657157281,54906.0,204429.93179770943,21775.4620234996,50988.16606119399,131666.30371301586,72763.62808469358,143316.0,135689.0,101.9487188,101.085,101.023,IN,2013-03-01
2013-04-01,0.9706228533969783,0.6205743516808585,307470.9740053891,48925.0,204976.95091667952,21842.803930892373,51123.692344270086,132010.45464151708,72966.49627516246,143635.0,135876.0,101.735852,101.163,100.944,IN,2013-04-01
2013-05-01,-0.6604744989446071,0.420820041728446,306255.81625581626,43653.0,205229.79572979605,21878.79912879913,51185.84793584793,132165.148665149,73064.64706464707,143882.0,136091.0,101.7779865,101.272,101.01,IN,2013-05-01
2013-06-01,-1.9952100145686882,0.8539089842605607,304584.20595092274,42346.0,205173.76615165768,21881.84099261074,51170.97048247521,132120.9546765717,73052.81147508595,143999.0,136269.0,102.0202597,101.438,101.228,IN,2013-06-01
2013-07-01,-0.8678473786162304,1.1279891110530027,305631.8777091512,45081.0,205304.1649400448,21904.73488959489,51202.59190559821,132196.83814485173,73107.32679519309,144264.0,136391.0,102.2199594,101.567,101.354,IN,2013-07-01
2013-08-01,-1.1339119351080629,1.2054491290238498,306586.3133353039,40568.0,205373.5264177588,21921.09151807703,51218.99320264013,132233.44169704165,73140.08472071716,144326.0,136635.0,102.4639882,101.685,101.51,IN,2013-08-01
2013-09-01,0.05365173772264953,1.162261099348959,307889.11866075825,40023.0,205677.35105859183,21962.45691777449,51293.87001477105,132421.02412604625,73256.32693254555,144418.0,136819.0,102.5026115,101.799,101.55,IN,2013-09-01
2013-10-01,-1.2522246490416253,1.2847777950731358,308518.2163150548,38061.0,205713.64437715837,21975.236428697823,51302.02905959379,132436.37888886672,73277.26548829162,143537.0,137039.0,102.557474,102.015,101.722,IN,2013-10-01
2013-11-01,-1.1631009791606697,1.2031995403872895,309184.6369784357,39190.0,205776.0688123075,21990.778457219694,51316.70772764304,132468.58262744476,73307.48618486273,144479.0,137314.0,102.7466402,102.194,101.881,IN,2013-11-01
2013-12-01,-1.4610979611727961,1.4729816594843477,309715.43042984215,46745.0,205749.57877826103,21996.786959758632,51309.21593981427,132443.57587868816,73306.0028995729,144778.0,137368.0,103.0183197,102.333,102.084,IN,2013-12-01
