Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,1.735857721135175,-0.5318237999081622,1401218.729633529,156008.0,829826.7408632877,94523.63763974531,200521.30646212463,534781.7967614178,295044.94410187,142036.0,133744.0,100.4235391,99.595,99.735,TX,2012-03-01
2012-04-01,0.8606883499438096,0.05819981038421556,1402617.707728356,150991.0,832015.9680638725,94977.8369682041,201107.4172724781,535930.7138231901,296085.2542406825,141899.0,133827.0,100.5903214,99.746,99.866,TX,2012-04-01
2012-05-01,-1.4557854940439112,0.851530045376961,1407433.185636666,150338.0,836231.5629782594,95663.31508845088,202183.3126157016,538384.9352741071,297846.6277041522,142206.0,133935.0,100.3822825,99.847,99.754,TX,2012-05-01
2012-06-01,-0.7940164525278934,0.42339251090552904,1411381.2886142984,163045.0,839934.0046537752,96290.41964214074,203135.23028163367,540508.3547300008,299425.6499237744,142391.0,134007.0,100.2993302,99.95,99.704,TX,2012-06-01
2012-07-01,-0.12274711663282684,0.2601384559096906,1415825.1119577603,170755.0,842912.7397901213,96834.5865918054,203912.1298709976,542166.023327318,300746.7164628033,142292.0,134153.0,100.3282977,100.053,99.74,TX,2012-07-01
2012-08-01,2.2787112493553847,-0.1780421081387241,1416022.316595883,159931.0,843362.0118244647,97087.4177700058,204076.9089849283,542197.6850695309,301164.3267549338,142291.0,134330.0,100.9111577,100.116,100.075,TX,2012-08-01
2012-09-01,1.6411024870538589,0.38765677236228907,1416655.57536935,150908.0,844068.8789487842,97368.62291913648,204303.6641130117,542396.591916636,301672.28703214816,143044.0,134512.0,101.3926317,100.24,100.379,TX,2012-09-01
2012-10-01,1.3711488924943145,0.6759710541749191,1424369.0548321162,145959.0,844821.8229254615,97653.94942903212,204541.23914432587,542626.6343521032,302195.1885733583,143431.0,134671.0,101.6660668,100.482,100.677,TX,2012-10-01
2012-11-01,-1.7281743140626227,1.337579191362291,1437246.5352668946,142535.0,848646.376898024,98293.87364284835,205522.36049127515,544830.1427639008,303816.2341341232,143333.0,134834.0,101.4953345,100.591,100.609,TX,2012-11-01
2012-12-01,-0.9338479538174089,0.6553677076946821,1449391.8065869394,151373.0,852035.4299006889,98883.52072211784,206398.0595071228,546753.8496714483,305281.58022924064,143330.0,135075.0,101.4830453,100.664,100.593,TX,2012-12-01
2013-01-01,1.3977437289925727,0.7466321806569421,1454081.0818855604,163680.0,853446.1206967833,99090.76402049202,206640.0428626708,547715.3138136198,305730.80688316247,143292.0,135265.0,101.6840618,100.871,100.787,TX,2013-01-01
2013-02-01,2.697477829897587,0.6608654766071127,1456228.696271106,149473.0,853372.4972649502,99125.42673362629,206523.1919016173,547723.8786297076,305648.6186352436,143362.0,135544.0,102.2361988,100.992,101.156,TX,2013-02-01
2013-03-01,-1.847164493662568,2.0004389511722014,1465607.534917791,149562.0,857539.5949437257,99652.57911564692,207432.86182354516,550454.1540045337,307085.4409391921,143316.0,135689.0,101.9487188,101.085,101.023,TX,2013-03-01
