Time,Cases1,Cases2,Cases3,Cases4,Cases5,Hosp1,Hosp2,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5
2012-03-01,29130.89687672332,8833.0,25314.68391236777,2425.728179676142,5851.155562239936,17037.8001704517,8276.883741916079,142036.0,133744.0,100.4235391,99.595,99.735
2012-04-01,29272.19140314692,8114.0,25333.213172317606,2427.653055093826,5848.7706860526405,17056.78943117107,8276.423741146467,141899.0,133827.0,100.5903214,99.746,99.866
2012-05-01,29484.76585734236,8114.0,25413.450421369867,2435.491308619203,5860.63382587833,17117.325286872405,8296.125134497534,142206.0,133935.0,100.3822825,99.847,99.754
2012-06-01,29679.35087860066,5470.0,25478.01492417556,2441.827810318543,5868.871860707695,17167.31525314932,8310.69967102624,142391.0,134007.0,100.2993302,99.95,99.704
2012-07-01,29597.92126194777,5765.0,25520.62027939312,2446.0597553639464,5872.050665062493,17202.509858966616,8318.11042042644,142292.0,134153.0,100.3282977,100.053,99.74
2012-08-01,29428.36206178696,5262.0,25486.81821966855,2442.967774169373,5857.673411607964,17186.17703389128,8300.641185777336,142291.0,134330.0,100.9111577,100.116,100.075
2012-09-01,29268.970601420617,4051.0,25461.10242182129,2440.6499367397564,5845.196704489984,17175.255780591557,8285.84664122974,143044.0,134512.0,101.3926317,100.24,100.379
2012-10-01,29036.65517777973,4168.0,25437.057785459136,2438.4914131330884,5833.1429555244285,17165.42341680155,8271.634368657516,143431.0,134671.0,101.6660668,100.482,100.677
2012-11-01,28910.50171124522,5466.0,25505.60420373257,2445.208679144013,5842.336835339453,17218.058689249174,8287.545514483467,143333.0,134834.0,101.4953345,100.591,100.609
2012-12-01,28769.29806248944,6340.0,25561.023132822364,2450.6675414790293,5848.518286560695,17261.83730478264,8299.185828039725,143330.0,135075.0,101.4830453,100.664,100.593
2013-01-01,28843.46856902845,8433.0,25555.29648334279,2454.2599740045835,5844.809681142736,17256.235096457578,8299.06965514732,143292.0,135265.0,101.6840618,100.871,100.787
2013-02-01,28867.327032833746,8301.0,25505.391013220476,2453.586539602198,5831.0101888831805,17220.810760936867,8284.59672848538,143362.0,135544.0,102.2361988,100.992,101.156
2013-03-01,29034.57628460845,8193.0,25582.34263484553,2465.106955841739,5846.2181879374,17271.04223790622,8311.32514377914,143316.0,135689.0,101.9487188,101.085,101.023
2013-04-01,29030.914830665217,7534.0,25645.770592275618,2475.3328578221585,5858.330691604581,17312.14006445821,8333.663549426741,143635.0,135876.0,101.735852,101.163,100.944
2013-05-01,28985.57898557895,5614.0,25672.39217239214,2482.006732006732,5862.035112035116,17328.391578391547,8344.041844041847,143882.0,136091.0,101.7779865,101.272,101.01
2013-06-01,28896.846722250764,4957.0,25660.39040581657,2484.934998221836,5856.926937211049,17318.577863832143,8341.861935432884,143999.0,136269.0,102.0202597,101.438,101.228
2013-07-01,28821.194361676207,5143.0,25671.721556787797,2490.1089251534227,5857.152488637184,17324.517697048665,8347.261413790606,144264.0,136391.0,102.2199594,101.567,101.354
2013-08-01,28737.23442682169,4731.0,25675.43427576918,2494.532558368633,5855.646405937021,17325.320986438084,8350.178964305655,144326.0,136635.0,102.4639882,101.685,101.51
2013-09-01,28686.26292466765,3605.0,25708.46873461349,2501.797144263909,5860.832102412604,17345.9133431807,8362.629246676514,144418.0,136819.0,102.5026115,101.799,101.55
2013-10-01,28740.357706952967,3919.0,25708.07363860984,2505.800121900867,5858.401656803179,17343.95378253151,8364.201778704046,143537.0,137039.0,102.557474,102.015,101.722
2013-11-01,28797.944006569724,4829.0,25710.960172488787,2510.109834022045,5856.726638594704,17344.213674123046,8366.83647261675,144479.0,137314.0,102.7466402,102.194,101.881
2013-12-01,28842.91367893108,5642.0,25702.75459425571,2513.322361976412,5852.533207946397,17336.996982876848,8365.855569922809,144778.0,137368.0,103.0183197,102.333,102.084
2014-01-01,28734.59264618657,7697.0,25725.155947515592,2519.318263295459,5846.850414230499,17359.07689499863,8366.168677525959,145150.0,137552.0,103.2680542,102.426,102.278
2014-02-01,28664.165152077723,7465.0,25781.18587425981,2528.5980443888584,5848.837512295853,17403.83174708642,8377.435556684712,145134.0,137707.0,103.3817294,102.489,102.338
2014-03-01,28553.387359449203,7436.0,25800.61535160859,2534.278302760793,5842.548979452522,17423.861209443843,8376.827282213315,145648.0,137986.0,103.5928407,102.684,102.543
2014-04-01,28668.86635131368,6934.0,25821.475151349983,2540.084223913618,5836.626371558535,17444.829443330575,8376.710595472154,145667.0,138298.0,103.7859569,102.879,102.742
2014-05-01,28790.051723523644,4972.0,25847.77834996453,2546.4119032119143,5831.973040287343,17469.45008534216,8378.384943499257,145825.0,138501.0,103.9834622,103.061,102.919
2014-06-01,28927.93710874946,4026.0,25889.309457951185,2554.229145436017,5830.785655359829,17504.34318435483,8385.014800795847,146247.0,138833.0,104.1208381,103.18,103.035
2014-07-01,29095.261168717898,4396.0,25920.94679717027,2561.060503278738,5827.397680653813,17532.528991827403,8388.458183932551,146399.0,139076.0,104.2380246,103.369,103.19
2014-08-01,29309.72988165967,4103.0,25994.746891264524,2572.052556932911,5833.502944777741,17589.223696495632,8405.555501710653,146530.0,139258.0,104.2213464,103.408,103.177
2014-09-01,29513.09554954798,3059.0,26058.71437845799,2582.07125761848,5837.40298247144,17639.264362470083,8419.47424008992,146778.0,139563.0,104.2288077,103.536,103.203
2014-10-01,29648.242017762383,3253.0,26135.81515260184,2593.391291986906,5844.245002923781,17698.19501116208,8437.636294910688,147427.0,139805.0,104.2081794,103.629,103.177
2014-11-01,29798.767515697007,4569.0,26226.43019263225,2606.0560502305284,5854.098365956013,17766.283859370018,8460.15441618654,147404.0,140089.0,104.0119908,103.74,103.098
2014-12-01,29972.50825723723,5218.0,26337.38099863999,2620.7499514280166,5868.467068195066,17848.163979016907,8489.217019623082,147615.0,140366.0,103.6911544,103.837,102.94
2015-01-01,30047.49589290655,7059.0,26490.45202426848,2638.9986824769435,5884.375152491094,17967.078189300442,8523.381967826408,148145.0,140562.0,103.0306089,103.816,102.465
2015-02-01,29934.16736494076,7061.0,26477.75915713438,2640.742833758793,5863.407837558704,17973.608485816883,8504.166910250668,148045.0,140829.0,103.2917548,103.92,102.634
2015-03-01,29813.09138294872,6681.0,26457.901800040843,2641.7617255496884,5840.918594587235,17975.221479903917,8482.704631871711,148128.0,140924.0,103.5700178,104.08,102.831
2015-04-01,29836.782949502773,5841.0,26468.435202280347,2645.8070158390838,5825.187056651444,17997.44112978982,8471.026463252678,148511.0,141202.0,103.6779874,104.256,102.91
2015-05-01,29812.09688885445,4376.0,26436.08547571959,2645.556244910621,5800.074644228159,17990.45458658081,8445.67128103714,148817.0,141540.0,104.019891,104.385,103.156
2015-06-01,29800.78563411897,3676.0,26415.64108518132,2646.48399705871,5777.651998916367,17991.50508920624,8424.184372460233,148816.0,141695.0,104.3078098,104.511,103.356
2015-07-01,29881.47833064259,3888.0,26424.620476084627,2650.3514080490327,5761.714407246644,18012.554660788952,8412.122208150859,148830.0,141989.0,104.4732753,104.603,103.441
2015-08-01,29986.36917306317,3830.0,26455.050495285574,2656.367819647726,5750.468861777615,18048.213813860235,8406.901129779655,149181.0,142130.0,104.4728364,104.679,103.442
2015-09-01,30136.122917251592,2738.0,26524.96877692687,2666.353629137662,5747.780499375538,18110.83464841367,8414.206740311165,148826.0,142265.0,104.2380246,104.814,103.289
2015-10-01,30147.084454945096,2724.0,26559.556777762748,2672.7927648778978,5737.407285473594,18149.356727411254,8410.280741845314,149246.0,142585.0,104.3411662,104.829,103.274
2015-11-01,30135.285522126636,3693.0,26574.081242278466,2677.2114537871234,5722.708226482286,18174.161562009056,8400.00838679918,149463.0,142810.0,104.465814,104.94,103.337
2015-12-01,30166.387417314752,4379.0,26626.441846726004,2685.4425537272527,5716.153525805546,18224.84576719321,8401.692929019013,150128.0,143083.0,104.3534555,105.009,103.253
2016-01-01,30227.83445943769,6476.0,26635.93273059329,2688.0094089404297,5709.897456746627,18238.03393155606,8397.995598835818,150653.0,143198.0,104.3056153,105.204,103.306
2016-02-01,30323.54403569603,6378.0,26675.610055339203,2693.622750431025,5710.111517922289,18271.8919302868,8403.814984857587,150939.0,143410.0,104.1669227,105.369,103.242
2016-03-01,30330.30218107672,6269.0,26637.112126863867,2691.3394729467245,5693.605589431876,18252.191223509628,8385.017539451686,151218.0,143666.0,104.4934648,105.521,103.481
2016-04-01,30283.174248480587,5546.0,26572.40367420196,2686.3989674734885,5671.543556501614,18214.49325615066,8358.006735822823,151074.0,143856.0,104.8937422,105.786,103.823
2016-05-01,30291.025899958644,4206.0,26556.04925448253,2686.339286572992,5659.84143929266,18209.908601581792,8346.236828016454,151132.0,143901.0,105.141721,105.948,103.977
2016-06-01,30286.057115430765,3879.0,26528.533717302616,2685.145188384929,5645.788336933046,18197.64818814495,8330.981521478281,151223.0,144152.0,105.4335899,106.077,104.175
2016-07-01,30359.790695145464,3846.0,26540.53682345343,2687.9473795313666,5640.164526921136,18212.480889417664,8328.151886750205,151554.0,144515.0,105.380483,106.257,104.218
2016-08-01,30400.514815311577,3914.0,26523.783062192982,2687.83413493782,5628.445142787792,18207.56765733488,8316.311214159341,151779.0,144664.0,105.5753549,106.456,104.374
2016-09-01,30433.838649514608,2510.0,26500.74123666969,2687.078571086988,5615.417722729664,18198.316675433984,8302.520204676965,151761.0,144961.0,105.8523012,106.579,104.555
2016-10-01,30388.34704381625,2673.0,26465.14483486983,2685.043803561545,5599.762054727416,18180.418503744106,8284.821763721613,151793.0,145069.0,106.10028,106.737,104.786
2016-11-01,30398.342650360315,3336.0,26477.86172641645,2687.906626218686,5594.350002225908,18195.69254447055,8282.264578126296,151954.0,145189.0,106.2253667,106.789,104.826
2016-12-01,30364.60763495434,4541.0,26452.479122427794,2686.8983117019147,5580.905948560709,18184.770084843403,8267.804260262625,152157.0,145408.0,106.493535,106.929,105.017
2017-01-01,30305.131805302542,6065.0,26426.16468073268,2684.75827261688,5572.26839202591,18169.224979761213,8257.034570431088,152152.0,145639.0,106.9240965,107.205,105.408
2017-02-01,30311.70471409179,6005.0,26457.31110479616,2688.4531590413944,5575.763316598779,18193.173565722554,8264.23226295349,152480.0,145845.0,107.09439,107.414,105.57
2017-03-01,30381.47319736144,6095.0,26543.59219804382,2697.7500189551897,5590.880658124194,18255.03260292668,8288.654371066797,153065.0,145975.0,107.0443553,107.364,105.512
2017-04-01,30325.093307106505,4962.0,26556.93624854999,2699.6330761083373,5590.64028849549,18266.725929288372,8290.304887274928,153255.0,146172.0,107.1764644,107.62,105.744
2017-05-01,30343.978407148817,3760.0,26636.073115512896,2708.203265414231,5604.256137629198,18323.66889279878,8312.498817564372,153069.0,146389.0,107.0935122,107.719,105.714
