Time,Factor_Global,Factor_Pandemic,Factor_Cases1,Factor_Cases2,Factor_Cases3,Factor_Cases4,Factor_Cases5,Factor_Hosp1,Factor_Hosp2,Factor_Deaths1,Factor_Deaths2,Factor_Deaths3,Factor_Deaths4,Factor_Deaths5,State,Time
2012-03-01,1.596365386994775,-0.13798864223920942,396461.12197322905,90662.0,250699.87968115503,25171.57968616835,52666.64160024064,172861.6583947461,77838.22128640898,142036.0,133744.0,100.4235391,99.595,99.735,WA,2012-03-01
2012-04-01,0.7454812721401866,0.21900136053771302,397454.58914946025,81411.0,251121.16903317143,25220.12830526235,52685.26492166173,173215.77580624737,77905.39322692408,141899.0,133827.0,100.5903214,99.746,99.866,WA,2012-04-01
2012-05-01,-1.580083179763001,0.2815017311024085,399416.06351624994,74684.0,252154.10743762957,25330.103721822383,52832.22560832979,173991.77810747738,78162.32933015218,142206.0,133935.0,100.3822825,99.847,99.754,WA,2012-05-01
2012-06-01,-0.6217579334552787,-0.03531181411134415,401132.3517612132,66565.0,253031.9244965097,25424.5065393565,52946.57185268395,174660.84610446924,78371.07839204045,142391.0,134007.0,100.2993302,99.95,99.704,WA,2012-06-01
2012-07-01,0.1428856810534641,0.08439074230719386,402560.85823140165,65702.0,253691.69006082517,25497.000534723586,53015.28139830229,175179.40812779928,78512.28193302586,142292.0,134153.0,100.3282977,100.053,99.74,WA,2012-07-01
2012-08-01,2.618079751957157,0.549532117871445,402781.3140144891,62927.0,253591.04005329305,25493.04688150557,52925.33932883666,175172.6538429508,78418.38621034224,142291.0,134330.0,100.9111577,100.116,100.075,WA,2012-08-01
2012-09-01,1.7860031199865707,1.1389640032315826,403124.7571703245,65702.0,253569.34717420972,25496.991402584208,52852.31472718398,175220.04104444158,78349.30612976819,143044.0,134512.0,101.3926317,100.24,100.379,WA,2012-09-01
2012-10-01,1.4355637033280053,1.4818939997033154,401091.0800546967,61027.0,253562.89586168336,25502.431869576263,52782.87659213792,175277.58739996917,78285.30846171419,143431.0,134671.0,101.6660668,100.482,100.677,WA,2012-10-01
2012-11-01,-1.8125777276503792,1.2853159528115898,400521.1594721477,69679.0,254478.8819423044,25600.633806783397,52905.61314925434,175972.63498626664,78506.24695603774,143333.0,134834.0,101.4953345,100.591,100.609,WA,2012-11-01
2012-12-01,-0.7518695793271208,0.7556083147405035,399743.7197419304,78021.0,255264.0839819868,25685.683894505582,53001.10345650294,176577.2966309783,78686.78735100852,143330.0,135075.0,101.4830453,100.664,100.593,WA,2012-12-01
2013-01-01,0.5694033196544037,-0.25295563031471063,402876.2968769117,87246.0,255579.2165656285,25791.404976170837,53052.5762251084,176735.23536434956,78843.98120127922,143292.0,135265.0,101.6840618,100.871,100.787,WA,2013-01-01
2013-02-01,1.8683673938286063,0.1792577993876014,405294.462678108,81436.0,255450.4428803037,25851.91848893461,53011.98149393017,176586.54289743863,78863.89998286478,143362.0,135544.0,102.2361988,100.992,101.156,WA,2013-02-01
2013-03-01,-2.8762821243484797,0.16641867789650458,409720.9546340933,75881.0,256591.3455351752,26040.753095829667,53234.90690238857,177315.68553695694,79275.65999821822,143316.0,135689.0,101.9487188,101.085,101.023,WA,2013-03-01
2013-04-01,-1.7115389957140514,-0.46086721928816093,410399.9247107306,70822.0,257597.38072594703,26216.053785597254,53429.82247582817,177951.5044645219,79645.87626142542,143635.0,135876.0,101.735852,101.163,100.944,WA,2013-04-01
